researchlogid	government	researchlogtype	researchlogdate	researchlogvolumefrom	researchlogfrom	researchlogvolumeto	researchlogto	researchlogismissing	researchlognotes	researchlogdisposition	event
677	2319	102	2015-11-06	1	1830	1	1853	f	Checked page by page.		\N
678	2319	102	2015-11-06	1A	1830	1A	1836	f	Checked page by page.		\N
679	2319	109	2015-11-06	1836-1842 (unlabeled)	1836	1836-1842 (unlabeled)	1842	f	Checked page by page.		\N
680	2319	26	2016-08-17	36, p. 320	1883	36, p. 438	1883	f	I checked May Term 1883, nothing regarding borough incorporations.		\N
681	2319	56	2014-10-03					f	Per memory.		\N
682	2319	109	2015-11-06	9	1902	22	1945	f	For Dockets 9-10, just noted case numbers and pages. For other dockets, printed relevant pages.		\N
683	2320	109	2016-08-19	A	1831	A	1837	f	Page by page.		\N
684	2320	109	2013-11-08	B	1837	C	1868	f	Page by page.		\N
685	2320	109	2013-11-08	G	1905	I	1968	f	"G" is unlabeled. Newer books renamed.		\N
686	2320	102	2013-11-08	1900	1900	1900	unk	f			\N
688	2320	102	2013-11-08	193-	1940	193-	unk	f			\N
689	2320	110	2016-08-19	D	1868	F	1904	f	Port Royal name change not found.		\N
690	2321	15	2014-07-24	G	1878	G	1980s	f			\N
691	2321	63	2015-12-30	2, p. 374	1899	3, p. 72	1901	f			\N
692	2321	71	2014-07-24					f			\N
693	2321	110	2014-06-04	14	1935	18	1975	f			\N
694	2321	79	2015-06-20					f	"Petitions to the Board of Elections, if on file with the Board of Elections, relating to referendums held on or about April 27, 1976, to annex territory from Covington Township to Spring Brook Township; and from Madison Township to the Borough of Moscow. ALSO, if not attached to the petitions but on file with the Board of Elections, any legal/deed descriptions and maps/plans/surveys relating to the referendums. ALSO, any returns of election, including a copy of the page with the final certification date, relating to the referendums."		\N
695	2321	15	2015-12-30	M-Z	1878	M-Z	1980s	f			\N
699	2321	102	2014-12-18	1	1878	3	1905	f	Docket 3 is only partially completed.		\N
700	2321	109	2017-04-25	1 (1)	1878	1 (1)	1878	f	This docket only has 19 pages filled out and only contains cases from October 1878 and prior. This docket may be from the Bentley court, whose acts were annulled on or about October 18, 1878.		\N
701	2321	110	2014-12-18	10	1918	13	1934	f			\N
703	2321	109	2017-04-25	2	1880	7	1889	f	Went through page-by-page.		\N
704	2321	36	2017-04-11	19	1976	19	1982	f			\N
705	2321	110	2017-04-11	1	form	6	1905	f			\N
706	2321	47	2017-04-11	1	form	4	1913	f			\N
710	2321	60	2016-12-03	1	1889	11	1911	f	Lackawanna Jurist		\N
711	2321	15	2014-07-24	L	1878	L	1980s	f			\N
712	2321	15	2014-07-24	A-C	1878	A-C	1980s	f			\N
713	2321	56	2014-07-24					f			\N
714	2321	37	2015-12-30	1878-1922, Scranton City	1878	1923-1955, Scranton City	1955	f			\N
715	2321	38	2015-12-30	1878-1922, Scranton City	1878	1923-1955, Scranton City	1955	f			\N
716	2321	38	2015-12-30	1878-1922, Dunmore Borough	1878	1923-1955, Dunmore Borough	1955	f			\N
717	2321	37	2015-12-30	1878-1922, Dunmore Borough	1878	1923-1955, Dunmore Borough	1955	f			\N
718	2321	15	2015-12-30	H-K	1878	H-K	1980s	f			\N
719	2321	15	2015-12-30	D-F	1878	D-F	1980s	f			\N
720	2322	102	2011-08-03	27	1955	29	1970s	f			\N
721	2322	40	2012-02-22	5	1950s	5	1972	f	"Special Elections and Loans." Nothing relevant.		\N
722	2322	41	2012-03-07	1960	1960	1981	1981	f			\N
723	2322	56	2011-08-03					f			\N
725	2322	41	2012-03-07	1990	1990	1999	1999	f			\N
726	2322	41	2011-02-22	1982	1982	1989	1989	f			\N
727	2322	105	2012-02-22	1955-1985	1955	1955-1985	1985	f			\N
728	2322	79	2011-04-23					f	"Annexation initiative petitions filed with the Board of Elections of Lancaster County (not including signature pages), for the following initiatives: 1. Lancaster Township to Pequea Township (for election to be held May 17, 2011); 2. Ephrata Township to Akron Borough (for election held May 18, 2010); and 3. Lancaster Township to Millersville Borough (for election held May 19, 2009)."		\N
729	2323	56	2016-03-14					f			\N
730	2323	109	2016-03-14	79	1962	79	1962	f			\N
731	2323	110	2014-06-08					f			\N
733	2323	102	2017-05-23	1	1848	2	1868	f			\N
734	2323	109	2017-05-23	19	1907	27	1917	f			\N
735	2323	109	2017-05-23	40	1928	45	1933	f			\N
736	2323	37	2016-03-05	1924-1945 (N-O)	1924	1924-1945 (R)	1945	f	Corporations		\N
737	2323	37	2016-03-05	1946-1963 (I-J)	1946	1946-1963 (L)	1963	f	Corporations		\N
738	2323	109	2016-03-14	28	1917	39	1928	f			\N
739	2323	109	2016-03-14	90	1969	96	1973	f			\N
740	2323	37	2016-03-05	1849-1923	1849	1849-1923	1923	f	Corporations		\N
741	2323	38	2016-03-05	1849-1923	1849	1849-1923	1923	f	Corporations		\N
742	2323	102	2017-05-19	3	1869	3	1881	f			\N
744	2323	104	2014-06-08					f			\N
746	2323	109	2016-03-14	72	1956	73	1958	f			\N
747	2323	109	2016-03-14	65	1951	65	1952	f			\N
748	2323	15	2016-03-14					f			\N
749	2324	12	2015-09-11	2	1956	2	1972	f	No index, just skimmed. Title "Statement of Indebtedness of Municipalities."		\N
750	2324	109	2015-01-14	1		7		f			\N
751	2324	109	2015-01-14	12	1928	16	1952	f			\N
753	2324	112	2015-01-14	1947	1947	1948	1948	f	I pulled the papers I deemed pertinent for the above years.		\N
754	2324	110	2015-01-14	1937	1937	1985	1985	f	I re-examined the Sessions Indexes. It appears that they use categories to index most cases (such as Annexation, Incorporation, Ordinance, Resolution, Roads). Some boundary cases were under Roads. The indexes are incomplete, as I located 4 cases in front-of-book indexes that were not in the main Sessions Indexes.		\N
755	2324	112	2015-01-04	1961	1961	1969	1969	f	I pulled the papers I deemed pertinent for the above years, and verified whether the cases match the ordinances.		\N
756	2324	47	2015-02-14	1869-1914	1869	1869-1914	1914	f			\N
757	2324	109	2015-02-04	8	1905	11	1928	f	Verified starting points in legal descriptions matched for Dockets 9 and 10 (excepting overturned ordinance).		\N
758	2324	109	2015-02-04	17	1952	19	1960	f			\N
759	2324	110	2015-02-04					f	Note only. Dockets 20-on do not have indexes in the front.		\N
760	2324	112	2015-09-11	1927	1927	1929	1929	f	I pulled the papers I deemed pertinent for the above years.		\N
761	2324	112	2015-09-11	1939	1939	1946	1946	f	I pulled the papers I deemed pertinent for the above years.		\N
762	2324	56						f	Per memory.		\N
764	2324	63	2015-09-11	9, p. 239 (1909-06-02)	1909	9, p. 464 (1912-02-14)	1912	f	Nothing found regarding first class proclamations. Double checked also pp. 384 (1910-11-30) to 393 (1911-01-04).		\N
765	2324	40	2015-09-11	1891-1913	1891	1891-1913	1913	f	This is on microfilm at the Lebanon County Historical Society. No township election results, except justice of the peace.		\N
767	2324	112	2015-09-11	1970	1970	1970	1970	f	I pulled the papers I deemed pertinent for the above years.		\N
768	2324	112	2015-09-11	1949	1949	1955	1955	f	I pulled the papers I deemed pertinent for the above years.		\N
769	2325	64	2016-04-19	5, p. 1	1850	5, p. 200	1853	f	Did not find Allentown surrender of special charter.		\N
770	2325	56	2011-~01-~01					f			\N
771	2325	109	2015-01-28	R	1912	X	1924	f	Nothing found in Dockets T, W, or X. Docket X is only criminal. Docket R was missing index for letter "A", so will have to manually search for Alburtis incorporation.		\N
773	2325	64	2016-04-19	14, p. 180	1879	14, p. 300	1880	f	Did not find Coopersburg charter.		\N
774	2325	102	2016-04-19	9	1961	9	1998	f			\N
775	2325	64	2016-04-19	8, p. 300	1869	8, end	1870	f	Did not find Coplay charter.		\N
776	2326	109	2017-06-28	12	1881	12	1882	f			\N
779	2326	109	2015-02-11	135	1941	135	1941	f			\N
780	2326	109	2015-02-11	81	1919	81	1919	f	Nothing found.		\N
781	2326	56	2014-~01-~01					f	Per memory.		\N
782	2326	60	2015-12-30	Luz. Leg. Reg. Rep., 32	1938	Luz. Leg. Reg. Rep., 33	1940	f			\N
784	2326	104	2014-12-20	A-J	1800	A-J	1859	f	Part of Film 10 at Wyoming County Historical Society. The following pages were filmed: 1-4, 21-25, 41-42, 61-62, 81-82, 101-102, 121-122, 141-145, 181, 201-203, 221-222, 261-265, 281, 301-306, 341-342, 361-364, 381-382, 401-402, and 441-445. It appears letters "I," "M," and "Q" were missed.		\N
785	2326	60	2015-12-30	Luz. Leg. Reg. Rep., 22	1923	Luz. Leg. Reg. Rep., 26	1930	f			\N
786	2326	109	2014-09-03	177	1955	178	1955	f			\N
787	2326	109	2014-09-03	208	1965	208	1965	f			\N
788	2326	109	2017-06-28	43	1900	46	1901	f			\N
789	2326	109	2014-09-03	228	1972	228	1972	f			\N
790	2326	109	2014-09-03	231	1973	231	1973	f			\N
791	2326	109	2016-12-22	1	1850	7	1875	f	Went through Dockets 1-3 page by page.		\N
792	2326	102	2015-12-30	1	1942	2	1959	f	Mapping Department		\N
793	2326	102	2015-12-30	Extra	1797	Extra	1884	f	Mapping Department		\N
794	2326	102	2015-05-16	S	1901	V	1926	f	Parts of Films 11 and 12 at Wyoming County Historical Society. Dockets are called "1901-1906" (S), "1907-1908" (T), "1910-1914" or "1909-1914" (U), and "1920-1944" (V). [Edited after reviewing dockets at Mapping Department.]		\N
795	2326	102	2016-01-16	C	1810	M	1881	f	Mapping Department. Went through page by page.		\N
796	2326	109	2015-01-02	129	1939	130	1939	f			\N
797	2326	109	2015-01-02	155	1948	155	1948	f			\N
798	2326	109	2015-01-02	159	1949	159	1949	f			\N
799	2326	109	2015-01-02	171	1953	171	1953	f			\N
800	2326	109	2015-01-02	173	1954	173	1954	f			\N
801	2326	102	2016-12-01	A	1800	B	1810	f	Mapping Department. Went through page by page.		\N
803	2326	109	2015-02-11	101	1929	101	1929	f			\N
804	2326	109	2015-02-11	96	1926	96	1926	f			\N
805	2326	102	2015-05-16	W	1926	Z	1945	f	Parts of Films 12 and 13 at Wyoming County Historical Society.		\N
806	2326	102	2015-05-16	N	1886	Q	1898	f	Parts of Films 10 and 11 at Wyoming County Historical Society.		\N
808	2326	102	2015-05-16	2	1952	2	1958	f	Part of Films 13 and 16 at Wyoming County Historical Society.		\N
809	2326	109	2015-02-11	93	1925	93	1925	f			\N
810	2326	103	2016-01-16	1789-1855	1789	1920-1936	1936	f	Mapping Department. Went through page by page.		\N
811	2326	104	2014-12-20	N	1882	O	1889	f	Part of Film 10 at Wyoming County Historical Society.		\N
812	2326	104	2014-12-20	L	1872	L	1877	f	Part of Film 10 at Wyoming County Historical Society. Index is bad. Will have to go through page-by-page.		\N
813	2326	102	2014-12-20	M	1877	M	1881	f	Part of Film 10 at Wyoming County Historical Society.		\N
814	2326	102	2014-12-20	K	1860	K	1872	f	Part of Film 10 at Wyoming County Historical Society.		\N
815	2326	109	2017-06-08	35	1897	35	1897	f			\N
817	2326	109	2017-06-28	14	1884	17	1887	f			\N
818	2326	109	2017-06-28	20	1889	20	1889	f			\N
820	2326	106	2014-12-20	1-1802	1788	1-1802	1802	f	Film 6 at Wyoming County Historical Society.		\N
822	2326	109	2014-12-12	95	1926	95	1926	f			\N
823	2326	109	2014-12-12	97	1927	97	1927	f			\N
824	2326	110	2014-12-12	1938-1957 (T-Z)	1938	1938-1957 (T-Z)	1957	f			\N
825	2326	109	2014-12-12	99	1928	99	1928	f			\N
826	2326	79	2015-06-20					f	"Any legal/deed descriptions and maps/plans/surveys, if on file with the Board of Elections, that were attached to the original petitions or are otherwise on file relating to a referendum held on or about May 20, 1975, to annex territory from Kingston Township to the Borough of Swoyersville. ALSO, a copy of the page with the final certification date from the returns of election for this referendum."		\N
827	2326	109	2015-01-02	105	1931	106	1931	f			\N
828	2326	106	2016-10-15	1-1853	1840	1-1853	1853	f	Film 8 at Wyoming County Historical Society.		\N
829	2326	109	2014-09-03	117	1935	117	1935	f			\N
830	2326	109	2014-09-03	121	1936	121	1936	f	Nothing relevant found.		\N
831	2326	109	2014-09-03	188	1959	188	1959	f			\N
832	2326	109	2014-09-03	199	1962	199	1962	f			\N
833	2326	109	2014-09-03	201	1963	201	1963	f			\N
834	2326	109	2017-06-28	32	1895	32	1896	f			\N
836	2326	109	2014-09-03	212	1967	212	1967	f			\N
837	2326	109	2014-09-03	215	1968	215	1968	f			\N
840	2326	109	2016-09-21	8	1875	10	1879	f			\N
841	2326	109	2014-09-03	218	1969	218	1969	f			\N
842	2326	106	2016-10-15	1-1839	1818	1-1839	1839	f	Film 9 at Wyoming County Historical Society.		\N
843	2326	106	2016-10-15	2-1817	1803	2-1817	1817	f	Film 7 at Wyoming County Historical Society.		\N
844	2326	110	2014-09-03	1938-1957 (A-E)	1938	1938-1957 (M-S)	1957	f			\N
845	2326	109	2014-12-12	84	1920	84	1920	f			\N
846	2326	109	2014-12-12	87	1922	87	1922	f			\N
847	2326	109	2015-01-02	175	1954	175	1954	f			\N
848	2326	109	2017-06-08	25	1892	25	1892	f			\N
849	2326	110	2014-07-03	1918-1927	1918	1918-1927	1927	f			\N
850	2326	109	2017-06-08	13	1883	13	1884	f			\N
851	2326	110	2014-07-03	1928-1937	1928	1928-1937	1937	f			\N
852	2326	109	2017-06-28	76	1916	76	1916	f			\N
853	2326	110	2014-07-03	1958-1965	1958	1958-1965	1965	f			\N
854	2326	109	2017-06-28	62	1909	62	1909	f			\N
855	2326	109	2017-06-28	59	1908	59	1908	f			\N
856	2326	109	2017-06-08	28	1893	28	1894	f			\N
858	2326	109	2015-12-23	38	1898	38	1898	f			\N
859	2326	109	2015-12-23	40	1898	42	1899	f			\N
860	2326	60	2015-12-27	Luz. Leg. Reg. Rep., 1	1882	Luz. Leg. Reg. Rep., 21	1922	f			\N
862	2326	109	2017-06-08	68	1912	68	1912	f			\N
863	2326	81	2015-12-16					f	"Commissioners' minutes for the period from 1911 to 1915."		\N
865	2327	104	2014-11-05	p. 154		p. 352		f			\N
866	2327	109	2014-11-05	33	1919	51	1944	f			\N
867	2327	109	2016-07-25	11	1879	14, p. 463	1889	f			\N
870	2327	63	2016-07-25	1934-1937, p. 231	1936	1937-1940, p. 138	1938	f			\N
871	2327	56	2014-05-29					f	Per memory.		\N
872	2327	109	2014-12-19	31	1916	32	1919	f			\N
873	2327	109	2014-12-19	15	1889	26	1909	f	Nothing relevant found in Dockets 25 or 26.		\N
874	2327	106	2014-12-19	McHenry		McNett		f	McHenry: Found some papers from formation, but scattered and in bad shape. McIntyre: Oldest is Aug S. 1847 (asking for annexation of Fox). Too water damaged to copy. There is an out card in the 1871-1913 container stating Attorney ?W.H. Spencer? signed out a report with a similar title in 1910. McNett: Formation papers were loose in docket box, copied report and map. In the back of the box, there was a registered letter from W.W. Champion, Esquire, from 1911, with various papers regarding multiple townships (some going back to 1820s). Must re-check that, although is very brittle.		\N
876	2327	109	2014-11-20	27	1909	30	1916	f			\N
877	2327	109	2014-11-20	55	1949	55	1949	f	No index. Went through page by page.		\N
878	2327	109	2014-11-20	52	1944	53	1947	f	No index. Went through page by page.		\N
879	2327	104	2014-12-19	5	1850s	5	1860s	f	I checked index to docket only, still need to review docket.		\N
882	2327	15	2014-11-05					f			\N
883	2327	102	2014-11-20	6	1859	15	1982	f	Starting in book 15, case numbers are in format YY-14,NNN.		\N
885	2327	109	2016-07-25	4	1851	4	1859	f	Went through page-by-page, as index difficult to follow.		\N
886	2327	109	2014-05-29	59	1953	83	1971	f			\N
887	2327	109	2014-11-05	84	1971	86	1972	f			\N
888	2327	109	2014-11-05	54	1948	54	1948	f			\N
889	2327	70	2014-11-05					f	(is also Grantor Index.) Corporations only. For Commonwealth of Pennsylvania, only typed portion.		\N
890	2327	109	2014-11-05	56	1950	58	1953	f			\N
891	2327	104	2014-05-29	p. 1		p. 153		f	Index seems to be thorough through 1915 (where it is typed) and very complete after. Entries mostly stop in late 1930s and early 1940s, but some extend into early 1950s.		\N
892	2328	109	2016-10-12	A	1827	F	1886	f	Docket A is labeled 1862-1876, but covers 1827-1862. Docket B is labeled 1862-1897, but covers 1862-1879. Nothing found in Dockets A, D-E. Went through Dockets A-E page by page. The coverage of non-criminal matters prior to Docket F is very limited, and very few of the incorporations were found.		\N
893	2328	8	2016-10-12					f	I verified that Kane's books start in the 1880s.		\N
895	2328	56	2015-10-29					f			\N
896	2328	109	2015-10-29	G	1887	Z	1968	f	Checked Docket K page by page.		\N
897	2328	102	2015-10-29	C	1883	F	1998	f			\N
898	2328	70	2015-10-29	Corporations	1827	Corporations	1972	f			\N
899	2328	71	2015-10-29	Corporations	1827	Corporations	1972	f			\N
900	2328	102	2015-10-29	12	1999	12	comp	f	This is the book immediately after F.		\N
901	2328	6	2016-10-12	132, p. 343	1983	132, p. 445	1983	f	Nothing found regarding Bradford charter.		\N
902	2328	79	2016-10-12					f	to the Board of Elections: "Election returns for the following: Nov. 1961, Nov. 1962, Nov. 1982, 1987-1988"		\N
903	2328	102	2016-10-12	A-B	form	A-B	1892	f	Went through page by page, but not through index.		\N
907	2329	109	2015-11-05	5	1846	23	1920	f			\N
908	2329	109	2014-10-02	22	1917	76	1966	f			\N
909	2329	109	2015-11-05	3	1831	3	1839	f			\N
910	2329	67	2014-10-02	1	1966	5	comp	f			\N
911	2329	53	2015-11-05	In re	1968	In re	1989	f			\N
912	2329	53	2015-11-05	In re	1937	In re	1941	f			\N
913	2329	112	2017-01-25	1860	1860	1860	1860	f	I did not see that many papers for January Sessions 1860. Leesburg case not found.		\N
914	2329	73	2014-06-26		1920		unk	f			\N
916	2329	63	2017-01-25	10 (1954 only)	1954	10 (1954 only)	1954	f			\N
917	2329	2	2015-08-30	1800-1973	1800	1800-1973	1973	f			\N
918	2329	56	2014-~01-~01					f	Per memory.		\N
919	2329	79	2015-06-20					f	to the Board of Elections of Mercer County: "Any returns of election, including a copy of the page with the final certification date, relating to a referendum held on or about November 4, 1980, or on or about May 19, 1981, to annex territory from the Borough of Stoneboro to Lake Township."		\N
921	2330	109	2015-11-07	M	1873	M	1897	f	Went through page by page. Prior to the late 1880s, there were no miscellaneous cases except road cases -- even then, the road cases were only in the early 1870s. The miscellaneous cases started to appear shortly after the handwriting changed.		\N
922	2330	109	2013-11-08	N	1897	Z	unk	f			\N
923	2330	109	2013-11-08	B2	unk	B3	1960s	f			\N
925	2330	109	2013-11-08	A		A		f	Newer		\N
926	2330	102	2013-11-08	1	1874	1	1910	f			\N
927	2330	71	2013-11-08	1	unk	1	1931	f	C (for Commonwealth, Common Pleas)		\N
928	2330	6	2013-11-08	1968-10	1968	1971-11	1971	f			\N
929	2330	70	2013-11-08	1	unk	1	1931	f	B, K (1920 only), L, Mc, N, C (for company, only part of late 1920s and early 1930s)		\N
930	2330	71	2013-11-08	2	1930s	3	1950s	f	C		\N
931	2330	70	2013-11-08	5	1950	5	unk	f	B, C, J, L, M, N, K		\N
932	2331	109	2016-09-01	1866-1880	1866	1880-1892	1892	f	Went through page-by-page.		\N
934	2331	72	2015-04-15	1 (A)	1984	1 (C)	1995	f			\N
935	2331	14	2015-04-15					f	This is one box that contains papers concerning township and county boundaries.		\N
936	2331	67	2015-04-15	8	1958	13	1978	f	Nothing found in Book 9.		\N
937	2331	63	2015-04-15		1991		1991	f	Searched a portion of February.		\N
939	2331	89	2016-09-01					f	They apparently have a Building Ordinance Book at the Archives.		\N
940	2331	67	2014-12-03	1	1892	7	1958	f			\N
941	2331	92	2016-12-21	1853-1913	1853	1853-1913	1913	f	I went through a 142-page book on Corporation Bureau microfilm that is labeled as Incorporation Book (or Docket) 1853-1913. The pages are about half the normal width. The scanning sheets say it comes from Prothonotary, and I did not see recording dates.		\N
942	2332	22	2015-06-24	62, p. 850	1967	62, p. 1100	1967	f	County classification certificate not found.		\N
943	2332	56	2009-~01-~01					f	Per memory.		\N
944	2332	15	2009-08-04					f			\N
946	2332	109	2016-12-06	10	1860	15	1890	f			\N
948	2332	109	2015-06-24	60	1988	60	1990	f			\N
950	2332	109	2015-06-24	51	1970	51	1972	f			\N
953	2334	102	2014-12-03	3	1798	3	1804	f			\N
954	2334	102	2014-12-03	5, p. 1	5	5, p. 210	1818	f			\N
955	2334	109	2016-09-01	1858-1864	1858	1864-1869	1869	f	Went through page-by-page.		\N
956	2334	111	2012-02-08	1		1		f			\N
957	2334	109	2012-08-29	20		20		f			\N
958	2334	102	2014-12-03	11	1912	16	1944	f			\N
959	2334	109	2012-08-29	9		14		f			\N
961	2334	109	2012-09-20	1		8		f			\N
962	2334	109	2012-02-08	15		18		f			\N
963	2334	109	2016-10-26	1846-1851	1846	1852-1857	1857	f	Went through page-by-page		\N
964	2334	109	2016-10-26	1869-1874	1869	1874-1878	1878	f	Went through page-by-page.		\N
965	2334	56	2011-~01-~01					f			\N
966	2334	14	2016-09-01					f	Went through both boxes.		\N
968	2335	109	2016-11-14	1850-1859	1850	1878-1882	1882	f	Checked November Session 1877, only thing found for Turbotville annexation is grand jury report.		\N
970	2335	104	2016-07-18	p. 51	form	p. 600	1930s	f			\N
971	2335	104	2015-08-12	p. 1	form	p. 50	1930s	f			\N
972	2335	109	2013-11-20	1945-1948	1945	1961-1967	1967	f			\N
973	2335	67	2013-11-20	1	1968	1	1980	f			\N
974	2335	109	2013-12-04	1908-1912	1908	1941-1944	1944	f			\N
975	2335	109	2013-12-12	1882-1887	1882	1905-1907	1907	f			\N
976	2335	102	2015-08-12	7	1950s	7	1980s	f			\N
977	2335	63	2015-08-12	1897-1899, month 1899-12	1899	1897-1899, month 1899-12	1899	f			\N
978	2335	15	2011-08-24	1	form	1	1991	f	and Town Plots		\N
979	2335	56	2013-12-04					f			\N
980	2335	102	2016-11-14	1	1874	1	1888	f			\N
981	2336	109	2015-08-26	O	1950	S	1970s	f	Book R stops in 1969, and appears to be like the previous books. Book S, which starts in 1970, is labeled Common Pleas Docket, Criminal Division, and has no "civil" matters in the index.		\N
982	2336	56	2015-08-26					f			\N
983	2336	109	2014-11-22	1821	1821	1942	1949	f	Went through 1821 and 1827 volumes page by page. Manually checked Jan. S. 1900 (1899:1) to Apr. S. 1900 (1899:56) for Duncannon.		\N
984	2336	79	2015-06-08					f	to the Board of Elections of Perry County: "Any copies of petitions to the Board of Elections (excepting pages wholly consisting of signatures), election returns, legal/deed descriptions, or maps/plans/surveys that are on file with the Board of Elections relating to two annexation initiatives held by referendum on November 8, 1977: one involving Tyrone Township and the Borough of Landisburg; and the other involving Oliver Township and the Borough of Newport."		\N
985	2336	110	2015-08-26	1820-1890	1820	1941-1958	1958	f	Went through a typed index done by the Perry Historians.		\N
986	2336	95	2015-08-26					f	I examined the Plan Index at the Perry Historians. Although it has a few plans listed in the inside cover that are older, the index mostly appears to cover the 1970s and later.		\N
988	2336	102	2015-08-26	A	1850	D	2015	f			\N
989	2336	78	2015-05-22					f	"Certification issued by the Governor under the Great Seal of the Commonwealth reclassifying the County of Perry after the 23rd (2010) Census, pursuant to the Act of August 9, 1955 (P.L. 323, No. 130), § 211, as amended, 16 P.S. § 211."		\N
990	2337	67	2016-02-17	1882-1895 (QS 240)	1874	1882-1895 (QS 240)	1895	f	This docket almost exclusively contains ward and election district matters.		\N
992	2337	81	2010-01-26					f	"duplicate copies of 2 microfilms for records that are currently maintained by the city archives, within your department. These records are as follows: those microfilms, numbered 966339 & 966373, containing those portions of subseries or subrecord 21.25, being the Clerk of Quarter Sessions Court Road Docket[s and Indexes], that include entries dating before September 10, 1784 (i.e., the formation of Montgomery County)."		\N
993	2337	102	2012-06-20	56 (QS 307)		56 (QS 307)		f			\N
994	2337	15	2014-12-26	p. 229	1799	p. 230	1873	f	Is organized by type of corporation. Checked Miscellaneous section only. Index purports to start in 1799, but earliest entries from 1840. Includes entries from Miscellaneous Books.		\N
995	2337	105	2014-12-26	1836-1854 (QS 334)	1836	1836-1854 (QS 334)	1854	f	Road Case Record. Went through page by page.		\N
996	2337	67	2016-02-17	1933 (QS 245)	1933	1933 (QS 245)	1933	f	This is a minute book for election district divisions.		\N
997	2337	105	2014-12-26	1901-1902 (QS 353)	1901	1906-1944 (QS 354)	1944	f	Road Case Record. QS 353 is almost completely blank, and is labeled as containing exceptions and rules to show cause. QS 354 is for Court No. 5 only, has major gaps.		\N
998	2337	67	2016-02-17	1861-1862 (QS 238)	1854	1861-1862 (QS 238)	1862	f	This book is labeled as Miscellaneous, but only a few pages are filled in. There are several mentions about road cases, but nothing relevant.		\N
999	2337	67	2016-02-17	1909-1911 (QS 242)	1909	1909-1911 (QS 242)	1911	f	This is a minute book. Only briefly glanced.		\N
1000	2337	67	2016-02-17	3 (QS 241)	1908	3 (QS 241)	1924	f	This docket is labelled Miscellaneous, and is of typical nature.		\N
1002	2337	63	2016-12-17	Commissioners, 1906	1906	Commissioners, 1906	1906	f			\N
1003	2337	67	2016-02-17	1902-1906 (QS 240.1)	1902	1902-1906 (QS 240.1)	1906	f	This is a minute book. Only briefly glanced, but may have useful info. May want to reference if the 1895-1909 book remains unfound. However, stops mid-1906.		\N
1004	2337	67	2016-02-17	20 (QS 244)	1925	20 (QS 244)	1925	f	This is a minute book. Only 26 pages filled in. Nothing relevant.		\N
1005	2337	67	2016-02-17	1912-1913 (QS 243)	1912	1912-1913 (QS 243)	1913	f	This is an index. Not sure for what. Only briefly glanced.		\N
1006	2337	67	2016-02-17	1879-1881 (QS 239)	1879	1879-1881 (QS 239)	1881	f	This book is not labeled inside or on the binding. It appears to contain mostly miscellaneous criminal cases, such as habeas corpus and forfeitures. There are several contested election, appointment, and road petitions, but nothing relevant.		\N
1007	2337	105	2014-12-26	1898-1838 (QS 352)	1898	1898-1838 (QS 352)	1938	f	Road Case Record. Is for Court No. 4 only.		\N
1008	2337	102	2012-06-20	71 (QS 322)		72 (QS 323)		f			\N
1009	2337	102	2012-06-20	52 (QS 303)		54 (QS 305)		f			\N
1010	2337	102	2012-06-20	49 (QS 300)		50 (QS 301)		f			\N
1011	2337	64	2014-12-26	10, p. 481	1838	11, p. 287	1840	f	Charter for West Philadelphia not found.		\N
1014	2338	109	2013-~01-~01	14	1960	17	1974	f			\N
1017	2338	102	2013-~01-~01	B	1830	E	comp	f			\N
1019	2339	105	2015-10-30	1	1855	2	1948	f	Went through page by page.		\N
1020	2339	109	2015-10-30	C	1868	M	1969	f			\N
1022	2339	56	2015-10-30					f			\N
1024	2339	102	2015-10-30	C	1892	E	comp	f			\N
1026	2339	70	2015-10-30	3	form	3	1980s	f	There is no grantor index. Only checked letters for known municipalities.		\N
1027	2339	35	2015-10-30	N	1970	N	1976	f	Although it is in sequence with the Sessions Dockets, it does not appear to have any miscellaneous cases.		\N
1028	2340	56	2011-~01-~01					f			\N
1029	2340	67	2012-10-05	8		8		f			\N
1030	2340	70	2017-03-28		form		1970s	f			\N
1031	2340	6	2016-07-13	1969-11	1969	1970-01	1970	f			\N
1032	2340	67	2016-07-13	12	1972	13	1981	f			\N
1033	2340	67	2012-10-04	1		7		f			\N
1034	2340	67	2012-10-05	10		10		f			\N
1035	2340	109	2015-11-07	Film 16834 (1st 3 books)	1864	Film 16834 (1st 3 books)	1876	f	Went through indexes for 1st 3 books on film. All appear to lack miscellaneous cases. Also checked Mar. S. 1867, no mention of Auburn.		\N
1036	2340	9	2016-07-06	6-2-6-1	1800s	6-2-6-6	1800s	f	Many of these are from around the time of the North Manheim-Cressona action, but they are in no particular order and do not appear to be complete. There are some municipal audits, but a lot of the audits are not related to political subdivisions.		\N
1037	2340	48	2016-07-06		1853		comp	f	Only looked for cases between political subdivisions.		\N
1038	2340	67	2012-10-04	9		9		f			\N
1039	2340	67	2012-10-04	11		11		f			\N
1041	2340	53	2016-07-13	18	1965	18	1968	f	Plaintiff		\N
1042	2340	71	2017-03-28		form		1970s	f			\N
1043	2341	70	2013-11-20	B/C/F/M/S	form	B/C/F/M/S	1972	f			\N
1044	2341	109	2013-11-20	8	1945	8	unk	f	Only contains criminal-type cases.		\N
1045	2341	67	2013-11-20	1	1945	3	comp	f			\N
