sourcecitationnoteid	sourcecitation	sourcecitationnotegroup	sourcecitationnotetype	sourcecitationnotetext
16100	5712	\N	600	March 19, 1789, Mifflin County was erected, taking from Northumberland County all of Upper Bald Eagle township to the mouth of Beech Creek ; thence by a straight line to Logan's Gap 1789. (Hecla) ; thence to the head of Penn's Creek ; thence down said creek to Sinking Creek, leaving George McCormick's (Spring Mills) in Northumberland County; thence to the top of Jack's Mountain, at the Northumberland and Cumberland line. This boundary is indicated by a blue line on Howell's map of 1792, engraved for this history. \nIt went by the name of Bald Eagle until Centre County was erected, in 1800, when it resumed the name of Upper Bald Eagle, changed, however, to Spring in 1801.
16102	5713	\N	600	At February sessions of 1790 of the Quarter Sessions of Northumberland County, Abraham Piatt presented a petition, whereon the court decreed, as recited, 'with the consent of the inhabitants of that part of Potter township remaining in Northumberland County,' that the name of Potter theretofore given to the division remaining in Northumberland County should be abolished, and ordered that hereafter it shall be known by the name of Haines. This was a compliment to Reuben Haines (brewer), of Philadelphia, who owned large bodies of land in the township.
16104	5714	\N	600	At the March sessions of 1791 of Mifflin county a petition from sundry citizens of Bald Eagle was presented, praying for annexation to Potter, by reason of the inconvenience attendant upon the extensive territory of Bald Eagle. The court considered and granted the application at the same sessions, and designated the territory to be annexed as 'lying within a northwest line drawn from the end of Nittany Mountain (so as to include Robert Moore's) till it intersects the Huntingdon County line.'
16106	5715	\N	600	In 1872 an act was passed repealing the third section of the act of 1870, annexing the 'remaining portion' to Lamar, and this part, which formed a neck between Lock Haven and Lamar township, was in 1873 added to Dunstable township, where it remained until 1877, when it and other parts of Dunstable were erected into Castanea township.
16108	5716	\N	600	Miles Township. — As early as 1794 a petition was presented to the Quarter Sessions of Northumberland County for a division of Haines township, setting forth that Penn's and Brush valleys were divided by a lofty mountain which renders communication difficult, and praying that a division line be run along the Middle Mountain. The court appointed six commissioners, but their report cannot be found, or any record of the erection of Miles township. The township, however, was organized in 1797, and an assessment made this year, upon which were the following taxable inhabitants [...].
16110	5717	\N	618	19. Portage was formed March 4, 1878, from Summerhill and Washington townships. The name originated from the 'portage' between the Conemaugh and Juniata rivers, in connection with the Allegheny Portage railroad.
16113	5719	\N	600	Erection of Centre County and Boundary Lines. —Centre County was erected Feb. 13, 1800 (3 Smith's Laws, 407), with the following boundary: Beginning opposite the mouth of Quinn's Run, on the West Branch of the Susquehanna ; thence a straight line to the mouth of Fishing Creek ; thence to the northeast corner of Miles township (late Haines), including Nittany valley ; thence by the northeastern boundaries of the said township to the summit of Tussey's Mountain ; thence by the summit of said mountain, by the lines of Haines township in Northumberland County, Potter townsliip in Mifflin, and Franklin township in Huntingdon County, to a point three miles southwest of the present line between Mifflin and Huntingdon Counties; thence by a direct line to the head of the Southwest Branch of Bald Eagle Creek ; thence a direct line to the head-waters of the Moshannon ; thence down the same to the Susquehanna, and down the Susquehanna to the place of beginning. \nThe northeast corner of Miles was the southeast corner of old Lamar, and Tussey Mountain in the act must mean the Seven Mountains, which no doubt were considered a continuation of Tussey. Shortly after the erection of Potter, in 1774, its southern boundary must have been limited to the Seven Mountains, as the McNitts, who lived on the eastern portion of Armagh, disappear from the Potter assessment. But the processes of change of township boundaries cannot be traced by the records, and we are in doubt how the eastern line of Centre changed from a northwesterly line to a northeasterly line. When Hartley was erected, in 1811, the county line from the four-mile tree in the Narrows is spoken of as a south line.
16115	5720	\N	600	The change of direction of the northern portion of the east boundary line of Centre is explained by the annexation of some of the territory of Lycoming by act of Assembly of March 23, 1818. That part of Wayne township in Lycoming County which includes the east end of Sugar valley, beginning on the summit of a mountain north of Sugar valley, at a water- pond on the division line between Lycoming and Centre Counties ; thence an east course to the head-waters of Sinking Fishing Creek, including Henry Barner's farm ; thence a south course to the Union County line, was annexed to Miles township, Centre County. This was the northeastern territory of the present township of Greene in Clinton County. \nHowever the change occurred, there was a difficulty and dispute about the line, arising from the fact, no doubt, that the act erecting Union County, March 22, 1813, made no locally identified boundary, merely erecting all that part of Northumberland County lying on the west side of the river into a separate county to be called Union. \nThe dispute was settled by the report of Jacob Kryder, of Centre County; James Dale, of Union; and John Hanna, of Lycoming County, who were authorized by act of Assembly, passed March 28, 1820, to employ two practical surveyors to run the division line between Union and Centre Counties, and the line agreed upon by the commissioners, or a majority of them, was to remain of record as the established line between the said counties. \nThese commissioners, in a report dated May 23, 1820, state that they employed Abraham Weber, of Centre County, and Adam Wilt, of Union County, as surveyors, and that they ran and marked the line from Hendrick's saw-mill on Penn's Creek to the top of the mountain north of the Brush Valley road, according to a draft accompanying their report. \nThe draft shows that they commenced at a spruce on the north side of Penn's Creek, opposite a small island, and ran N. 47° E. 40 perches to a spruce ; thence N. 83° E. 100 perches to a gum ; thence N. 47° E. 1960 perches, crossing Cherry Run (twice), then Laurel Run, to the four-mile tree on the Penn's Valley road. At this point they have dotted 'the old county line,' as running across the road in the direction N. 22 1/2° W. From the four-mile tree they ran N. 35°, 2250 perches to a pine north of Rapid Run and a little heyond the Brush Valley road. \nThis was not the extent of the east line, but probably as far as settled the dispute. Just fifty years afterwards, April 1, 1870, R. F. Brown, of Union County; H. P. Treziyulny, of Centre; John Swart- zell, of Mifflin ; and Aaron K. Gift, of Snyder, were authorized by act of Assembly to run the boundary line between Union County and Centre, etc. (P. L. 882). \nThey reported Feb. 10, 1871, they had marked the line upon the ground and placed monuments at corners and crossings of public roads : Beginning at the 'Tea Spring' (which is on the Joseph Wister tract at John Zimmerman's, near head of Big Fishing Creek), south forty-four and one-fourth degrees west five miles to a marked stone on south side of the public road in Brush Valley Narrows (about fifty perches west of where the road to McCall's mill enters the public road on the Jacob Sigfried tract) ; thence south thirty-eight and three-fourth degrees west seven miles to a marked stone on the north side of the turnpike in the Penn's Valley Narrows (on lines of Simon Snyder and Philip Gheer tracts) ; thence south forty-nine and a half degrees west six miles and forty perches to a gum corner, between counties of Centre, Mifflin, and Union (near the northwest corner of the Thomas Castoris survey; whole length of eastern boundary, eighteen miles and forty perches).\\" 
16119	5722	\N	600	A change in the northern boundary resulted from an act passed March 27, 1819, providing that from and after the 1st of May next all that part of the township of Bald Eagle beginning at the river opposite the mouth of Quinn's Run; thence along the division line of the counties of Centre and Lycoming one mile ; thence by a direct line to the mouth of Sinnemahoning Creek, should be annexed to the county of Lycoming, that part opposite to the township of Dunstable to be attached to that township, and that opposite to the township of Chapman to be attached to the township of Chapman.
16121	5723	\N	600	The line between Centre and Huntingdon was returned by James Hunter, Esq., the surviving commissioner, as run and marked by himself and Robert Boggs, commissioners appointed under the act of Jan. 7, 1801. They began at a B. O. on the top of Tussey's Mountain ; thence S. 58° W. 960 to a chestnut on the summit of Tussey's Mountain ; thence N. 70 W. 3494 perches to a red-oak at the head-springs of Bald Eagle Creek, and the North Branch of the Little Juniata; thence North 84° W. 3640 to a red-oak at the head of Big Moshannon.
16123	5724	\N	600	Abraham M. Elder, of Centre County, and Abednego Stephens, of Huntingdon County, two of the commissioners appointed by act of Assembly of 11th of April, 1848 (P. L., page 505), to run and mark the line between Blair and Centre Counties, reported Nov. 16, 1848, that they had run said line from a red-oak stump at the head-waters of the Juniata River and of Bald Eagle Creek S. 88 1/4 W. 4020 perches to the red-oak at the head of the Moshannon Creek.
16125	5725	\N	600	Joseph Deving, William P. Mitchell, and O. M. Irvine, commissioners appointed by the Courts of Quarter Sessions of Blair and Centre Counties, under the general act of April 17, 1876 (Pennsylvania Laws, 42), made their report, filed Dec. 11, 1876, that they had commenced, Sept. 26, 1876, at the common corner of Blair, Huntington, and Centre, where they found a pine stump and witnesses on the summit of Muncy Mountain (which is on a tract surveyed in the warrantee name of Christian Vanphole, warrant of 8th of April, 1863). From this point they ran N. 64 1/2 W. 246 perches to the head-waters of Bald Eagle Creek, where they made an elm corner. (This elm is on the Samuel Downing tract, warrant of 8th of December, 1784, about fifteen perches east of Dix Station, Lock Haven and Tyrone Railroad, which is on the division line between Samuel Downing and Joseph Downing warrantees, about 122 perches from their southern line.) From the elm they ran due west 3708 perches to the red-oak corner tree at the head of the Moshannon, bearing date of Elder and Stephen's survey of 1848. They re-marked the red-oak with witnesses to it. The corners and witnesses of Joseph Deving et al. line are each marked by four notches, and the line trees by a blaze below a notch. Their terminus, the red-oak at the head-waters of the Moshannon, is on the Joseph Stroud warrant, Dec. 26, 1793, on S. W. portion thereof. Running east from this red-oak the line enters what is known as the Morgan lands, at the N. W. corner of James Moore warrant, March 13, 1794, and passing through what is known as 'the Moore settlement,' crossing the Tyrone and Clearfield road south of Gardner's Station, leaving the Woomer heirs a little to the south of the line, enters the John Hoover warrant, Jan. 18. 1794, at N. W. end, little south of its chestnut, and ends at the elm which is on the Susanna Lamb warrant of 18th of January, 1794, Morgan tract, a little west of William Crane's house, between the public road and the railroad.
16127	5726	\N	600	By the act passed March 18, 1814, the towns of Bellefonte and Smithfield were erected into a borough, and the former act incorporating the borough of Bellefonte repealed, the boundaries of the new borough to be as follows : Beginning where Lamb Street adjoins Spring Creek; thence up Lamb Street to the end thereof; thence so as to include all the out-lots sold by the proprietors of the town of Bellefonte ; thence to the head of the big spring ; thence to Spring Creek, including the spring and the creek therefrom in the borough ; thence up Spring Creek to the lane which divides John McKee's field from Benjamin Williams' lots ; thence along said lane and the road leading to the Bellefonte Mills to the north side of James Steele's lots ; thence, including said lots, to the place of beginning, the name and title to be 'The Borough of Bellefonte.' \nBy a borough ordinance passed June 15, 1814, in Borough Council, all ordinances heretofore passed were extended to the town of Springfield and that part of Spring township then included in the borough.
16131	5729	\N	600	July 15, 1878, the court re-erected Allison township, and gave it political life and a place on the county map, to be composed of all that part of the original Allison township and the borough of Flemington lying west and north of the west and north lines of the First, Second, Third, and Fourth Wards of Lock Haven, — that is, the new Allison township to comprise what was the Fifth Ward of Lock Haven. Thus Allison township lives, but is sadly shorn of the original territory that marked its limits when first erected in 1839.
16133	5730	\N	565	Section 12.
16137	5732	\N	600	An act of Assembly of 1835-36 provided that Daniel Hanna, of the county of Lycoming, Jos. F. Quay and Jacob Bolinger, of the county of Centre, be appointed commissioners to run and mark the division line between the counties of Centre and Lycoming, beginning at the mouth of Fishing Creek; thence down the south side of Bald Eagle Creek to the Bald Eagle bridge (south of Lock Haven) ; thence to the dividing ridge between Nittany valley and Nippenose, so as to include all Nittany valley in Centre County ; thence a direct course to the Tea Spring, near the east end of Sugar valley.
16139	5733	\N	600	The final legislation upon the county line between Centre and Clinton was the act of Feb. 25, 1859, which authorized Joseph F. Quay, of Clinton County, and N.J. Mitchell and Henry P. Treziyulny, of Centre County, as commissioners to run the line, and the report of the said commissioners to be final and conclusive. \nThe report of Joseph F. Quay and Henry P. Treziyulny was filed, as directed by the act, on the 28th of November, 1859, and is as, follows : \n'Beginning at a fallen sugar-tree corner on the bank of the Susquehanna River, being a corner of two tracts of land surveyed in pursuance of warrants granted to Robert Irwin and Joseph F. Quay, thence south four miles and two hundred and sixty perches to a stone heap, the southwest corner of the Martin Withington survey ; then east along the division line of certain tracts of land (as per diagram on tile in the commissioners' office) to a black-oak corner tree; thence south three miles to a c. o. corner tree, N. 60 E. two hundred and twenty perches to a hemlock corner; thence south thirty degrees east two miles and two hundred and forty perches to a marked birch on the bank of Beech Creek ; thence down the middle of said creek, by the several courses thereof, eleven miles and one-half, to its junction with the Bald Eagle Creek; thence crossing the Bald Eagle Creek, south thirty degrees east one hundred and ninety perches to a stone heap on top of Muncy Mountain, and along the top of said ridge south fifty-four degrees west one mile and fifty-six perches to a pine-tree; thence south twenty-nine degress east six miles and three hundred perches to a large stone heap on the top of a mountain south of Sugar valley; thence north eighty degrees east four miles to a pine ; thence noi til eighty-five degrees east two and one-half miles to a pine; north eighty degrees east five and one-half miles to a pine; north seventy degrees east four miles to a double pine; thence north seventy-three degrees east three miles and two hundred and sixteen perches to a post at turnpike road leading from Loganville to the river, and along the said turnpike north forly-three west seventy-two perches to Tea Spring, the head of Fishing Creek.'
16141	5734	\N	600	Lower Bald Eagle Township. — Lower Bald Eagle township in 1801 was bounded on the north and east by the river and the Lycoming County line, south by Nittany Mountain, west by a diagonal line running from the top of Nittany at Logan's Gap to the mouth of Beech Creek, thence up Beech Creek about thirty-five miles to the river. It therefore included the eastern (triangular) half of Walker, and a small triangle of Marion in Centre County, all of Porter, Lamar, and Bald Eagle townships, and northern end of Greene, and parts of Beech Creek, Chapman, and Grugan in Clinton County.
16143	5735	\N	600	Union township was erected out of Boggs at January term, 1851. It was made by striking off the upper end of Boggs by a line a little above Ira Fisher's, near the mouth of Wallis' Run.
16145	5736	\N	600	In April, 1798, the inhabitants of Bald Eagle,[Footnote 1] in Mifflin County, petitioned for a division of that township equally by a line from the mouth of Antes Run up the said run to the head thereof, and from thence a southeast course to Potter township, and also from the mouth of said run (Curtin Station) a northwest course to the Susquehanna. At April sessions, 1799, the township was divided accordingly, and the division adjoining Lycoming County named 'Centre township,' the other part to retain the former name. Centre township therefore embraced the western half of the present township of Walker by a diagonal line running from Logan's Gap (now called Hecla Gap) towards Jacksonville, and all of Marion west of the same line continued towards the mouth of Beech Creek, all of the present townships of Howard, Liberty, and Curtin, and that part of the present township of Beech Creek, Clinton County, lying west of a line running from about the mouth of Big Run to the south bank of the river about a mile southwest of the mouth of the Sinnemahoning, and a strip three-fourths of a mile wide along the east side of Boggs, Snow Shoe, and Burnside townships.\\" \n[Footnote 1: \\"'Bald Eagle,' of Mifflin County, was, before 1789, known as 'Upper Bald Eagle,' of Northumberland County.\\"]
16147	5737	\N	600	Haines Township.--Haines township in 1801 included that portion of Gregg (now) south of Brush Mountain and east of a line running through Spring Mill to the head of Penn's Creek, and all of Penn township.
16149	5738	\N	600	Miles township, besides its present territory, included that part of Gregg between Brush and Nittany Mountains which is east of the head of Penn's Creek, all of Logan, and the southwestern portion of Greene townships (now in Clinton); the northeastern portion of Greene (now) was annexed to Miles township from Lycoming County March 23, 1818.
16151	5739	\N	600	Patton township, at the erection of Centre County, embraced all the western portion of the county except portions of Ferguson, Half-Moon, and Taylor, 1801, which were taken from Huntingdon County,--that is to say, Patton embraced that part of Harris township west of the end of Nittany Mountain, the eastern portion of Ferguson, the present townships of Patton, Huston, Rush. Ferguson was taken off the southern end of Patton that year, and that portion of Rush west of the extension of the west line of Patton thrown into Half-Moon township in January, 1802.
16153	5740	\N	600	Potter.--In 1801, Potter township embraced the western part of the present township of Gregg, from Spring Mills, all of Potter and the eastern half of Harris from the end of Nittany Mountain eastward, bounded by Nittany Mountain on the north and Seven Mountains on the south.
16156	5742	\N	600	Half-Moon Township.--That portion of the present township of Ferguson west of a line from a point three miles north sixty-five degrees east from the south corner of Ferguson to the present corner of Half-Moon and Patton and the larger part of the present township of Half-Moon were in Franklin and Warrior Mark townships, Huntingdon County, before 1800. Franklin was erected at March sessions, 1789, and Warrior Mark erected from Franklin at January sessions, 1798, of Huntingdon County. Warrior Mark was recognized as a township of Centre in the act of Feb. 25, 1801, annexing it and Patton to the First Election District, and directing their elections to be held in Bellefonte. \nAt April sessions of 1801 (Centre County) petitions were presented to have all that part of Warrior Mark which fell into Centre County erected into a township to be called \\" Half-Moon,\\" and at August sessions the people of Patton petitioned to have Warrior Mark annexed to Patton. Upon these petitions Thomas Ferguson, E.sq., James Watson, of Potter township, John Dunlop, David Craig, and Philip Benner were appointed commissioners. They not being able to agree, the court at January sessions, 1802, directed the old Mifflin County line to be continued in the course north forty-two and one-fourth degrees west, from the line of Ferguson till it would intersect the Moshannon Creek, and that part of the county lying north of Ferguson and west of said line should be called Half-Moon. \nHalf-Moon, therefore, beside its present territory, then embraced that of the present townships of Taylor and Worth, and that part of Rush southwest of a line running through its pre-ent territory north forty-two and a quarter west from the present corner of Huston and Worth to the Moshannon.
16158	5743	\N	600	Howard Township.--Howard township was erected out of Centre at January sessions, 1810, or rather was the residue of Centre township after Walker township was carved therefrom at the same sessions. The southern boundnry of Howard commenced 'at the line of Spring township, between the two ridges of Bald Eagle (Muncy Mountain), in Antes' Gap, thence north about sixty degrees east along the same opening between said ridges until it intersected the line of Bald Engle township,' a distance of twelve miles ; 'thence to the mouth of Beech Creek.' It embraced its present territory, that of Liberty and Curtin, and a slice about three-quarters of a mile deep of the eastern sides of Boggs, Snow Shoe, and Burnside townships.
16160	5744	\N	600	This township was formed in 1851 from Colebrook and Chapman, and named in honor of one of its most prominent families.
16162	5745	\N	600	Keating Township occupies the extreme southwestern portion of the county. It was erected Dec. 21, 1844, and its territory enlarged in 1860 by the addition of a part of Grove township. In 1875 it was divided into East and West Keating.
16164	5746	\N	600	Walker township was erected at January sessions, 1810, and on request of the petitioners called so in honor of the president of the courts, Jonathan H. Walker, Esq. \nIts boundaries were as follows: 'Beginning at the line of Spring township, between the two ridges of Bald Eagle (Muncy Mountain) in Antes Gap; thence north about sixty degrees east twelve miles along the small opening between said ridges until it intersects the line of Bald Eagle township ; thence along the line of said township south about thirty degrees east six miles to the line of Miles township in the middle of the Nittany hills ; thence along said township line in said hills south about sixty degrees west twelve miles to the corner and line of Spring township; thence along the said line by the ridge gap and Lamb's Run to the place of beginning in Antes Gap.' The real length of the north and south boundaries are but ten miles ; its territory then included that of the present townships of Walker and Marion.
16166	5747	\N	600	MAY 23, 1820.\n\tCopy of Draft attached to report of Jacob Snyder, James Dale, and John Hanna's line between Centre and Union Counties, Hendrick's Saw-Mill on Penn's Creek, to the top of the mountain north of the Brush Valley Road.
16168	5748	\N	600	Erection of Boggs Township.--On the 28th of August, 1814, the court confirmed the report of the commissioners appointed for the purpose of dividing Spring township, and named the western portion 'Boggs,' in honor of Hon. Robert Boggs, deceased. \nThe boundary of Boggs commenced at a corner of Howard and Walker townships, between the two ridges of Bald Eagle (Muucy?) Mountain, in Antes Gap; thence south about sixty degrees west ten miles along the small opening between said ridge until it intersects the line of Patton township; thence along the line of Patton northward until it intersected the line of Clearfield County ; thence along the line of Clearfield County to the corner of Howard township ; thence southward to the place of beginning in Antes Gap. \nBesides its present territory, Boggs then embraced that of Union, Snow Shoe, and Burnside townships. \nThe eastern portion of the division of Spring was called Covington, after Leonard Covington, who fell at the battle of Williamsburg, but at April sessions, 1815, on the petition of the inhabitants of the township, the township was awarded its old name, \n'Spring.'
16170	5749	\N	600	Borough Incorporation.--The act of Legislature erecting the town of Bellefonte into a borough was approved March 28, 1806. Section 1 provides that the town of Bellefonte, in Centre County, including the lots and land attached and belonging to the said town, shall be and the same is hereby erected into a borough which shall be called the 'Borough of Bellefonte,' bounded and limited as follows : By lands of John Dunlop and Nathaniel Simpson on the south and east, by land of James Dunlop on the north, and by Spring Creek and land of James Harris on the west, and it shall and may be lawful for the persons residing within the borough of Bellefonte to exercise and enjoy similar rights and privileges, and at the same times, under similar rules and regulations, shall and may elect similar borough officers, which said borough officers and inhabitants shall exercise similar and equal powers and authorities, and be in all things governed by similar rules and regulations as are granted to and provided for the inhabitants and borough officers of the borough of Williamsport, in the county of Lycoming, by an act of Assembly passed in the present session of the Legislature.' The act creating the borough of Williamsport provided that the voters of the borough should assemble annually on the first Monday of May in the court-house, between the hours of twelve and six in the evening, and elect one reputable citizen who should be styled the burgess of the borough, and five reputable citizens to be a Town Council, and 'shall also elect a high constable.'
16172	5750	\N	600	Benner Township was erected out of Spring at April sessions, 1853,--a mere division of Spring township by a line running from near Purdue's Gap southeasterly to Nittany Mountain.
16175	5752	\N	600	Township Organization.—At the April sessions in 1856, certain citizens of Snow Shoe living in the northern half petitioned for a division of the township. The commissioners who were appointed reported at the August sessions the same year marking the line of division at a point just west of the residence of J. H. Holt. There the township line crosses the Karthaus road, and passes in a straight line nearly southwest and northeast. The report was confirmed at the November sessions in 1856, and the place of election fixed at the Pine Glen school-house.
16177	5753	\N	600	The township was erected at April term, 1853.
16179	5754	\N	600	Before the formation of Clinton County, Lamar township belonged to Centre, and then included the present territory of Porter township, which was stricken off in May, 1840.
16181	5755	\N	600	BOGGS was formed by a division of Spring township in 1814, and had in 1880 a population of about two thousand one hundred, and an assessed valuation of three hundred and six thousand one hundred and twenty-eight dollars.
16183	5756	\N	600	Borough Incorporation.--At the November sessions of court in 1858 'the petition of sundry citizens of Unionville was presented and read, praying for the incorporation of said village, which petition was referred to the grand jury. And now, November sessions, 1858, the grand inquest inquiring for the said county made the following report, viz. : We, the majority of the grand inquest for the county of Centre, unanimously agree that the within-named village of Unionville should be incorporated March 9, 1859, the proceedings of the grand jury confirmed, and Unionville declared to be a borough according to law. Third Tuesday in May fixed for holding the election for borough officers.
16185	5757	\N	600	This township was erected in 1810, and its boundary then, with a list of its inhabitants, will be found in the general history of the county under that year.
16187	5758	\N	600	Borough Officers.— The town was incorporated as a borough by the court Feb. 16, 1849, and the first municipal election held on April 28th following.
16189	5759	\N	597	Formed from Blakely township; September 20, 1867, D. B. 121, p. 156.
16191	5760	\N	597	Formed from Greenfield and Providence townships in 1818.
16193	5761	\N	600	Borough Incorporation.—The act approved May 3, 1864, incorporated the town of Howard into a borough. Section 1 recites 'that the town of Howard, in the county of Centre, shall be and the same is hereby erected into a borough, which shall be called the borough of Howard, and shall be bounded and limited as follows, to wit: beginning at the Bald Eagle and Spring Creek Canal, at or near where the Bald Eagle public road crosses said canal ; thence south thirty-five degrees cast one hundred and eighty-one perches to a pine-tree; thence north fifty-five degrees east one hundred and eighty-seven perches to turnpike road ; thence by a continued line along said road north twenty-five degrees west sixty-six perches to a stone; thence south sixty-two degrees west twenty-eight perches to a stone ; thence along the lands of the Howard Furnace north thirty-five degrees west ninety-three perches to a stone ; thence south seventy-two degrees west one hundred and twenty-one perches to the Bald Eagle and Spring Creek Canal; thence along the north side of said canal to the place of beginning.'
16195	5762	\N	600	The village of Milesburg was founded in 1793, and in 1843 received a borough charter.
16197	5763	\N	600	Civil Organization.--Lock Haven was incorporated as a borough by act of Assembly approved May 25, 1840. This fact, coupled with its selection as the seat of justice of Clinton County, the building of the court-house in 1844, the extension of the Bald Eagle Branch of the West Branch Canal to Bellefonte in 1848, the building of the West Branch Boom in 1849, the advent of the Sunbury and Erie Railroad in 1859, the advent of the Bald Eagle Valley Railroad in 1864, all conspired to give Lock Haven a prominence it would otherwise not have possessed. Add to this the increase of wealth and population, and one would not wonder that the small cords of a borough were not strong enough to hold the people, and nothing short of the strong high walls of a city charter would keep them within due bounds of propriety, therefore an act of the Assembly was passed and approved March 28, 1870, making Lock Haven a city.
16199	5764	\N	600	Township Organization.--At the April session of court in 1809 the petition of sundry inhabitants of Centre township, in Centre County, was presented and read, humbly setting forth that, 'owing to the peculiar and natural situation of said township, from the Bald Eagle Ridge passing through the same, the inhabitants find it extremely inconvenient and difficult to attend township elections, and to transact the common business which relates to the same. And, therefore, they pray the court to divide the said township of Centre into two townships by a straight line along the summit of Bald Eagle Ridge, and that the new township on the south side of said ridge be called \\"Walker,\\" or, should they think proper, to appoint viewers agreeably to the act of Assembly in such case made and provided.' Whereupon the court accordingly did appoint Roland Curtin, John G. Lowrey, and William Petrikin to inquire into the propriety of granting the prayer of the petition, to make a plot or draft of the township proposed to be divided, and the division line proposed to be made therein, etc., and to make report thereon to August sessions next, together with their opinion of the same, etc., agreeably to the acts of Assembly in such case made and provided. \nA report on the division was made to August sessions. At the November sessions the confirmation of the same was held under advisement until January sessions, 1810. At the last-named sessions the court ordered as follows : 'The viewers having made a plot of that part of Centre township lying south of the Bald Eagle Ridge, are of the opinion that the following be the boundaries thereof, and adjudged that it is necessary and proper that it be established accordingly, and that it be called Walker township, in honor of the president of this court, the Honorable Jonathan Walker, Esquire, agreeably to the desire of the petitioners for the same, to wit : Beginning at the line of Spring township, between the two ridges of the Bald Eagle Mountain in Antes' Gap; thence north about sixty degrees east twelve miles along the small opening between said ridges until it intersects the line of Bald Eagle township ; thence along the line of said township south about thirty degrees east six miles to the line of Miles township in the middle of the Nittany Hills; thence along said township line in said hills south about sixty degrees west twelve miles to the corner and line of Spring township; thence along said line by the ridge gap in Nittany valley and Lamb's Run to the place of beginning in Antes' Gap. And that as the name Centre will not have any proper application to the remaining part of the township lying north of the Bald Eagle, they recommended it to the court to call it Howard township, as a tribute of respect to the memory of the benevolent philanthropist and eminently great John Howard, who spent the best of his days in searching out and ministering relief to the most distressed and wretched of the human race, and at last fell a victim to his unbounded goodness of heart. Whereupon the court at the present sessions confirmed the above and foregoing report, with all the circumstances of names and boundaries, and they most cordially concur with the viewers in the tribute of respect paid to the memory of the immortal Howard.' \nHoward originally embraced the present townships of Curtin and Liberty, and a strip of Boggs, Snow Shoe, and Burnside, as the west line of Centre township ran east of Eagle Works, or Curtin.
16201	5765	\N	600	Township Organization.--In November, 1837, sundry inhabitants of Patton township presented a petition to the court reciting that the natural division of the township made by Muncy Mountain caused much inconvenience to many in the transaction of township business, and praying for a legal division of the township by the mountain line. The court appointed as commissioners Joseph B. Shugert, John Rankin, and Samuel I. Green, who made a report April, 1838, but the court refused to confirm their report, and appointed other commissioners,--David Mitchell, Charles Carpenter, and George Sheneberger. They made report August, 1838, making the division line the top of Muncy Mountain. The court confirmed this last report, and named the new township Huston, for the Hon. Charles Huston, a late president judge of the court, and one of the judges of the Supreme Court of the State.
16203	5766	\N	600	Borough Officers.--The town was incorporated as a borough and called 'Quiggleyton' at the February term of court, 1869, but at the following term of August its corporate name was changed to 'Beech Creek.' The first election was held on the fourth Friday of August, 1869.
16207	5769	\N	600	The following very interesting and reliable history of Leidy was furnished by G. W. Botsford, Esq., a citizen of that township: 'Leidy was stricken off from Chapman township in the year 1847, and is bounded as follows: On the north by Stewardson township. Potter Co., on the east by Chapman township, on the south by Noyes township, and on the west by Grove township, Cameron Co., and extends north from Noyes a distance of about twelve miles, and eastward from Cameron County about fifteen miles, crossing on the east some of the upper branches of the Shingle Fork of Young Woman's Creek. […]'
16209	5770	\N	597	Incorporated by the Legislature May 24, 1871, P. L. 1124.
16212	5772	\N	600	Township Organization.--At the November session, 1834, the petition of sundry inhabitants of Potter, Ferguson, and Spring townships was presented and read, representing 'that they labor under great inconvenience by the said township being so large that many of their citizens are deprived of the right of suffrage on account of the distance being so great to the place of holding elections. Also the supervisors of the highways have too many roads to make, that they are not able to get them made in good season, with many other inconveniences too tedious to mention, and the business of the township is too great for any of the township officers to attend to as it should be done, and praying the court to appoint commissioners to view and lay out a new township according to law, to be called --- township, out of parts of the three aforesaid townships to be contained within the following bounds, viz.: Beginning at the Huntingdon County line in Ferguson township on Tussey Mountain, and running northward on the line between lands of Mrs. Rebecca Awl and Frederick Moyer, on the course of said line to the Patton township line; from thence in a straight line to Jacob Houser's fulling-mill ; from said fulling-mill a southward course to the top of Nittany Mountain ; thence along the top of said mountain in an eastward course, opposite a division line between the lands of Fergus Potter and Joseph Crotzer ; thence southward to the division line between lands of John Irvin and Jacob Hurst, and along said line to the Mifflin County line ; thence along said line to the Huntingdon County line and place of beginning. Thereupon the court appointed Jacob Bollinger, Joseph F. Quay, and George Buchanan to view and make such division and alteration in the said townships to lay out a township if they should think proper. At the April sessions, 1835, the court thus decreed upon the viewers' report: The persons appointed at November sessions last past, made report to January sessions last that in pursuance of an order of court that they have struck off a new township from the western end of Potter, the eastern end of Ferguson, and the southern end of Spring townships, containing an area of about six miles square. Whereupon the court at April sessions, 1835, confirmed the same, and the township was named Harris, for the late James Harris, Esq.
