metesdescriptionid	metesdescriptiontype	metesdescriptionsource	metesdescriptionbeginningpoint	metesdescriptionstateplane	metesdescriptionlongitude	metesdescriptionlatitude	metesdescriptionangle	metesdescriptionquality	metesdescriptionnotes	metesdescriptionname	event	metesdescriptionacres
1104	shape	report of commissioners (docket)	point in the Berks + Dauphin Turnpike on the boundary line between North and South Annville Townships and on the boundary line of North Lebanon and North Cornwall Townships	100007	-76.4863034	40.3354901	-1.6			North Annville	4452	717
1105	shape	ordinance	stake in the middle of Catasauqua Creek where the present eastern boundary line of said Borough of Catasauqua intersects with the line dividing Lehigh and Northampton Counties	100007	-75.4665148	40.6611854	-8.1				4461	435
1106	shape	decree (recorded)	point near center of Creek on the upper side of the Iron Bridge over North Ten Mills Creek, said Bridge being designated as the Corbert Bridge	100007	-80.0458981	39.9775604	2				4464	0
1107	shape	ordinance	a point in the middle of the Perkiomen and Reading Turnpike Road, a corner of this and land of said Turnpike Company and Abraham Grater, late land of William W. Taylor	100007	0.0000000	0.0000000	0	m			4466	0.4734375
1108	shape	decree (recorded)	point on Wenzell Avenue, at a corner common to the City of Pittsburgh, Union Township and Scott Township	100007	-80.0315045	40.4003451	-4	m			4467	0
1109	shape	ordinance	point in West Liberty Avenue on the line of Lebanon Heights Land Company's plan of lots and also the southern line of The Borough of Dormont	100007	-80.0401171	40.3906237	-4	m			4468	0
1110	whole before	ordinance	a point in the Middle of Main Street where the center line of Sixth Street intersects the same	100007	-75.5062766	40.4110223	-7.3	m		Before	4470	0
1111	shape	ordinance	a point in the northern boundary line of the Borough of East Greenville, said point being the intersection of the center lines of Main and Sixth Streets of said Borough of East Greenville	100007	-75.5062766	40.4110223	-7.3	m		Tract	4470	0
1112	whole after	ordinance	a point in the Middle of Main Street where the center line of Sixth Street intersects the same	100007	-75.5062766	40.4110223	-7.3	m		After	4470	0
1113	whole after	pleading exhibit	marble stone marker at or near the boundary-line of land of Uriah Spade and the "Ridge"Road in [Mount] Joy Township	100007	-76.5898852	40.1443133	-8.15			After	4473	445.617
1114	shape	ordinance (filed with Court)	point in the middle of the said Harrisburg and Lancaster Turnpike, which is the boundary-line between Mount Joy and West Donegal Townships, on the south side of the Borough	100007	-76.5937825	40.1419766	-8.15			West Donegal Township	4473	0
1115	shape	ordinance (filed with Court)	point in the middle of the said Harrisburg and Lancaster Turnpike, which is the boundary line between Mount Joy and West Donegal Townships on the north side of the Borough	100007	-76.6115500	40.1574940	-8.3			Mount Joy Township	4473	0
1116	whole before	pleading exhibit	marble stone marker on the West side of Hanover Street on the North side of the Borough of Elizabethtown	100007	-76.6081045	40.1574654	0.049999999999999			Before	4473	393.932
1117	shape	ordinance	on Broadway at the point of intersection of the West side of Carlisle Street with the Borough line	100007	-77.2311949	39.8381609	-6	i			4475	0
1118	shape	ordinance	iron pin on Madison street near the tracks of the Bessemer and Lake Erie R. R. Co on the present boundary line of the Borough of Grove City, and which is by true meridian [line 66] south seven degrees thirty five minutes West, three hundred eighty five and five tenths feet from the interseciton of Lincoln Avenue and Madison Street	100007	-80.0763658	41.1603410	1.4	m			4477	0
1119	shape	decree (recorded)	point at the Southwest corner of the Borough of West Hazleton at the intersection of the South side of Cranberry Avenue wit the centre line of a thirty-six feet wide Street	100007	-75.9947746	40.9566197	-9.4	m			4479	0
1120	shape	decree (recorded)	point at the intersection of the Woodlawn South Borough line with the U.S. Harbor line along the Ohio River	100007	-80.2369925	40.6135534	-2.5	m			4481	174.72
1121	shape	ordinance	a point in the middle line of Mt. Vernon Street, at its point of intersection with the middle line of Church Alley, 157.1 ft southeasterly from the middle line of Susquehanna Avenue	100007	-75.2896691	40.2394966	-9.25	m			4482	191.4
1122	shape	decree (recorded)	corner in the line between the Townships of Plymouth and Jackson, and at the intersection of said line with the original line between Plymouth and Kingston Townships	100007	-75.9261810	41.2866050	-3.25				4483	0
1123	shape	ordinance (newspaper)	a point in the borough line, on the southwest side of Jackson street, 200.86 ft west of Hamilton	100007	-75.3626523	40.1194679	0	m	Must add angles from other sources.		4489	0
1124	shape	ordinance (municipal minutes)	point at the intersection of the eastern boundary line of the Borough of Aspinwall and the northern boundary line of the City of Pittsburgh, in the line running down the middle of the Allegheny river, said middle line being the northern boundary line of the said City of Pittsburgh	100007	0.0000000	0.0000000	0				4491	207
1125	shape	ordinance	point at present easterly limit of said Borough, at or near line of southerly side of Pennsylvania Railroad Company's right of way	100007	-79.6360168	40.3295954	0	m			4492	0
1126	shape	decree (recorded)	red oak at corner of lands of Charlotte Miller, John R. Stewart and George Miller	100007	-79.1814262	40.7854156	-3.4				4493	0
1127	shape	decree (recorded)	point on the south side of the public road leading from Ringtown to Brandonville, said point being 23 ft east of the east side of the highway bridge over "Dark Run"	100007	-76.2220073	40.8583567	-8.6				4494	-1
1128	shape	ordinance	an iron pin at the point of intersection of the centre line of Walnut Street and the Northeasterly boundary line of said Borough	100007	-75.5316033	40.1898239	-8.45	m		148	4497	14.75
1129	shape	ordinance (newspaper)	[that portion of the plan of the Tarentum Land and Improvement Company, of record in the Recorder's office of Allegheny County in plan book Vol. 24, pages 144 and 145 situate in the Township of Harrison]	100007	0.0000000	0.0000000	0	m			4506	0
1130	shape	decree (recorded)	stump at the Westerly corner of the lands of the Thornburg Land Company, said stump being the common corner between the Chartiers Land Company, the Thornburg Land Company and McDermott	100007	-80.0927165	40.4323388	-3	m			4507	0
1131	shape	ordinance (municipal minutes)	corner common to the City of Pittsburgh, Township of Scott and Township of Union	100007	-80.0296122	40.4003022	-1.7	m			4509	0
1132	shape	ordinance	point, the intersection of the westerly curb line of Jackson Ave. in the first addition to Vandergrift, with the boundary line of the Borough of Vandergrift, near the Vandergrift Public School Building	100007	-79.5681944	40.6023986	-1.85				4512	0
1133	shape	decree (recorded)	point in the Lehigh River located 200 ft west from the east bank of the said Lehigh River (measuring from a point at low water mark)	100007	-75.5976530	40.7408310	-8.8	m			4513	0
1134	shape	ordinance (court reporter)	point in the western house line of Seventeenth street and 2.42 ft north of the northwest corner of the intersection of Seventeenth and Walnut streets	100007	-75.4916672	40.5951872	-5.65				4518	24.073
1135	shape	ordinance (code, 1912)	point on the present boundary line of Seventeenth and Page streets	100007	-75.4964181	40.6052638	-7.6000000000000005				4519	239
1136	shape	ordinance (code, 1912)	point where the middle of Jefferson street extended southward from Hamilton street intersect with the middle of the Little Lehigh Creek and in the present southern boundary line of the City of Allentown	100007	-75.4804140	40.5942401	-7.7				4520	182
1137	shape	ordinance (code, 1912)	point in line of land of the South Allentown Land Improvement Co. and land of the Fairview Real Estate Co. of Allentown	100007	-75.4681188	40.5889526	0				4521	363
1138	shape	ordinance (code, 1912)	North-west corner of Seventeenth and Chew streets, in the City of Allentown	100007	-75.4943253	40.6008244	-5.65				4522	113.08
1139	shape	ordinance (docket)	point, the intersection of the National Pike and a township road	100007	-79.9346217	40.0392734	-2.55				4530	0
1140	shape	ordinance (newspaper)	point on the line of the Borough of Crafton where the said line is intersected by the center line of Crotzer Avenue in the Crafton Terrace Plan	100007	-80.0589596	40.4370282	-1	m			4535	0
1141	shape	ordinance	point at Fourteenth Street, in the Borough of Ford City, where the Northerly boundary line of said Borough intersects with the westerly right of way line of the Buffalo and Allegheny Valley Division of the Pennsylvania Railroad	100007	-79.5277260	40.7769820	-1.5	m			4540	0
1142	shape	ordinance	point in the line between certified lots 24 and 25 in the third division certified Kingston Township where the same crosses the easterly line of the right of way of the D. L. & W. R. R.	100007	-75.8633232	41.2997014	0	m			4541	0
1143	whole after	pleading	a point marked on the plan as number two a common corner of the old borough and the borough as extended	100007	-75.2938737	40.2835153	-1.5	m		After	4544	262.65
1144	shape	decree (recorded)	white oak tree at the north west corner of same, which is in Big Beaver Township, Beaver County, Pennsylvania	100007	-80.3337693	40.8162289	0				4545	0
1145	shape	decree (docket)	point at the intersection of the Aliquippa South Borough line with the United States Harbor line	100007	-80.2359414	40.6331659	-2.2	m			4547	206.55
1146	line after	decree	a point in the center line of Washington Lane where the same is intersected by the line dividing the Township of Abington from the Township of Cheltenham, which line also divides the Borough of Jenkintown on the West from the said Township of Cheltenham	100007	-75.1317240	40.0893360	-1.25	m			4548	0
1147	shape	ordinance	point at a stone monument on the present city line	100007	-78.9200520	40.3062900	0		Difficult to read.		4549	-1
1148	shape	ordinance	present Borough line at a point at the intersection of Thirteenth (13th) Avenue and "Park Boulevard"	100007	0.0000000	0.0000000	0				4551	0
1149	shape	ordinance (filed with Court)	stake on the North bank of the Chiques Salunga Creek, on the land of Charles D. Cassel, where the Southwest boundary line of Manheim Borough meets said Creek	100007	-76.3963207	40.1531412	-8	m			4556	0
1150	shape	decree (recorded)	peg in a private lane at lands of Emanuel F. Hartman and William D. Linebaugh	100007	-76.7095900	40.0605390	-0.8				4563	-1
1151	shape	ordinance (newspaper)	point at the northwest corner thereof on the east line of the Borough of New Wilmington one thousand three hundred and three-tenths feet south of the north line of Water Street	100007	-80.3263749	41.1191448	0				4564	12.75
1152	line after	report of commissioners (docket)	point on the Certified Township Line of Exeter and Northmoreland, where the County Line of Luzerne and Wyoming intersects the same, (which point is on lands of Everett Eyet, and is 2280.9 rods from angle in County Line near Lake Harveys. The variation on lines given below from the way the needle now points is six (6) degrees and twenty-five (25) minutes	100007	0.0000000	0.0000000	0		NOT DONE		4565	0
1153	shape	ordinance	stone set in Pine Street, in the northwest line of said borough	100007	-75.9827844	39.7897776	0	m		Tract	4567	10
1154	whole after	ordinance	stone set in Pine St. in the northwest line of said Borough of Oxford	100007	-75.9827945	39.7897587	-4.5	m		After	4567	0
1155	whole before	ordinance	stone the northwest corner of said borough	100007	-76.0002798	39.7854140	-4.5	m		Before	4567	0
1156	shape	ordinance (municipal minutes)	point on Packer Street, the present Borough line	100007	-76.5479501	40.7951007	-4.8	m			4571	0
1157	shape	decree (recorded)	point in the center of the Ohio River in the line between Allegheny County and Beaver County	100007	-80.2284980	40.5730551	0	m			4573	0
1158	shape	ordinance (newspaper)	point in the present Borough line of the Borough of Steelton in the centre of Sixth or Reading street at a point in line with the northern line of Swatara street	100007	-76.8334837	40.2363747	-7	m			4575	19.31
1159	shape	ordinance (newspaper)	point at low water mark of the Susquehanna river and at the present lower line of the said Borough of Steelton	100007	-76.8259448	40.2204817	-6.25	m			4576	0
1160	shape	ordinance (newspaper)	point in the middle of Reading Street and Paxton Alley, where said line intersects the present line of the Borough of Steelton	100007	-76.8380420	40.2388621	-6.5	m			4577	0
1161	shape	ordinance (docket)	easterly line of Cherry alley as shown on the Plan of John F. Humes, of record in the Recorders office of Allegheny County in Plan Book Vol. 10, page 43, at its intersection with the division line between the Borough of Tarentum and the Township of Harrison	100007	0.0000000	0.0000000	0	m			4581	0
1162	shape	ordinance	post, being the north west corner of the land hereinafter described	100007	-79.0899540	41.1713490	0				4592	0
1163	shape	decree (recorded)	Walnut Stump corner of lands of R. U. Jacob, Isaac Rheam and Logan Iron and Steel Company on the West side of The Lewistown and Kishacoquillas Turnpike	100007	-77.5649497	40.6262523	-6.15				4593	-1
1164	shape	decree (recorded)	point in the center of a public road leading from the State Road to Newton Wallace's land, said point being located thirty-two feet southwesterly from the Southwesterly side of the Highway Bridge crossin the Delaware, Lackawanna and Western Railroad tracks	100007	-75.7002479	41.4893080	-8	m			4597	0
1165	shape	ordinance	iron monument in the middle of Green Street, a corner of the present borough	100007	-75.1263303	40.3063611	-1.6	m		Tract 4	4600	0
1166	shape	ordinance	iron monument on the northwestwardly side of Ashland Street, a corner of the present Borough Line	100007	-75.1223592	40.3112597	-1	m		Tract 2	4600	0
1167	shape	ordinance	iron pin in East Street three hundred and fifty-one and eight-tenths (351.8) feet Northwestwardly from an iron monument at the intersection of East Court and East Streets, being also a corner in line between lands of Henry C. Mercer and Benedict Bessler	100007	-75.1245064	40.3180989	-2	m		Tract 1	4600	0
1168	shape	ordinance	stone on the westwardly side of North Main Street, a corner of the present borough	100007	-75.1308122	40.3196879	-1.75	m		Tract 3	4600	0
1169	shape	ordinance	an iron pin in the Middle of Main Street of the Borough of East Greenville	100007	-75.5062766	40.4110223	-5.35	m			4602	128
1170	shape	decree (docket)	point on the Northwardly side of Baltimore Avenue and the Eastwardly side of Church Lane	100007	-75.2560519	39.9411487	-9	m			4603	0
1171	shape	ordinance	stone placed at the intersection of Lawrence Avenue and Congress Street as designated in the Arlington plan of lots adjoining the Borough of East McKeesport in North Versailles Township, Allegheny County, State of Pennsylvania, laid out by the Reliance Land & Improvement Company in October A. D. 1903, and recorded January 18, A. D. 1904 in the Recorder's Office of Allegheny County aforesaid in Plan Book Vol. 21, Page 104 and 105	100007	-79.8146791	40.3774760	-3				4604	-1
1172	shape	decree (recorded)	point in the middle of the tracks of the Wilmington & Reading Railroad where the same is intersected by the Berks-Chester County line	100007	-75.8352505	40.1608087	-8	m			4606	149.75
1173	shape	decree (recorded)	point on line of Turtle Creek Valley Railroad at the bridge over Turtle Creek at lands of J. T. Loughrey	100007	-79.6371350	40.4210680	-2.75				4607	-1
1174	shape	decree (recorded)	stone	100007	-80.3784920	39.9095753	3				4609	0
1175	line after	decree	point in the present line between the said Townships of Radnor and Haverford, in the middle of a public road known as Mill Road and a corner of lands of Robert E. Strawbridge and Helen Struthers Ellis	100007	-75.3430662	40.0049771	0	m		After	4611	-1
1176	line before	decree	last mentioned stone and running from	100007	-75.3514990	40.0030705	0	m		Before	4611	-1
1177	shape	ordinance	northern line of Borough of Honesdale in the center of Main Street	100007	-75.2603790	41.5826910	-25.1			Tract 2	4612	0
1178	shape	ordinance	center of Park Street in the western line of said Borough	100007	-75.2612640	41.5754390	-5.5			Tract 1	4612	0
1179	shape	ordinance (newspaper)	point at the intersection of the center line of Charleton Avenue and Hodgson Avenue	100007	0.0000000	0.0000000	0	m			4613	0
1180	shape	bill (municipal journal)	monument at the intersection of the City line on Front street and the centre line of the Berks and Dauphin Turnpike Road	100007	-76.4116002	40.3404232	-0.7	m			4615	-1
1181	shape	decree (recorded)	iron pipe in the southwest corner of Warrant 2278 in the middle of the road leading up Miam Run	100007	-78.6740710	41.8614200	-0.5				4616	1183
1182	shape	decree (recorded)	point common to the lands of Lucinda Edgars, W. H. Keys and the lands formerly owned by Samuel Patterson and J. W. Shidler	100007	-80.1132274	40.0108200	0				4618	493
1183	shape	decree (docket)	point in the center of the West Chester Pike a corner of lands of - Sellers and -	100007	-75.2563923	39.9621450	-3	m			4621	-1
1184	shape	ordinance	point where the middle of Perkiomen Avenue intersects the present Eastern Borough line, said point being 237 feet 4 1/2 inches East from the intersection of the East Building line of Twenty-seventh Street, and the centre line of Perkiomen Avenue, said distance of (237 feet, 4 1/2 inches), being measured along the centre line of said Perkiomen Avenue (a 50 feet wide street)	100007	-75.8817860	40.3276025	-7.5	m			4624	0
1185	shape	ordinance	northwest corner of the said Denver Borough in the field of Martin Mellinger, on the west side of Chestnut Street	100007	0.0000000	0.0000000	0				4649	0
1186	shape	ordinance (newspaper)	point on the borough line one hundred and fifty-four, and thirty-one hundredths (154.31) feet South fifty-eight degrees and twenty-seven (58°27') west, from the intersection of the south side of Fairview Avenue in the plan of West Columbia, produced with said Borough line	100007	-79.8629310	40.1662070	-1.25				4650	0
1187	shape	ordinance	point at the southeast side of road, erroneously called Seminary Ridge, and at its intersection with West Middle Street, in the said Borough of Gettysburg	100007	-77.2439456	39.8296325	-5	p			4655	0
1188	shape	ordinance	point on the present borough line and in the center of Main street	100007	-80.4008641	41.4019440	2	i			4656	5.29
1189	shape	ordinance (docket)	[lots numbered from thirteen to thirty one, both inclusive in plan of lots known as Doerr Terrace]	100007	0.0000000	0.0000000	0				4659	0
1190	shape	ordinance	southeastern corner of the present Borough of Kutztown	100007	-75.7721849	40.5123520	-9.1	m			4663	567
1191	shape	ordinance (newspaper)	point in a line of Long Lane, said point being situate seven hundred and sixty-four and two-tenths (764.2) feet northwest of the old Borough line stone on Main street	100007	-75.7842144	40.5151957	-8.5	m			4664	350
1192	shape	ordinance (municipal journal)	point on the center line of Ninth Street at the intersection of the City line, and said center line of said Ninth street	100007	-76.4275416	40.3495056	-0.7	m			4667	-1
1193	shape	ordinance (municipal journal)	monument, at the intersection of the city line on Front street and the center line of the Berks and Dauphin Turnpike Road	100007	-76.4116002	40.3404232	-0.7	m			4668	-1
1194	shape	ordinance (municipal journal)	monument in Front street and the Schaefferstown road, the southeast corner of the present City of Lebanon	100007	-76.4119153	40.3343931	-0.7	m			4669	-1
1195	shape	decree (recorded)	point in the bed of the old Union Canal in the northern boundary line of the City of Lebanon on land of the Pennsylvania Steel Company	100007	-76.4445700	40.3469333	-7.8				4670	-1
1196	shape	decree (recorded)	westerly side of the Youghiogheny river on the line that divides Lincoln Township and the Borough of Port Vue	100007	-79.8422170	40.3211419	0	m			4672	-1
1197	shape	ordinance (filed with Court)	[on the North by the right of way of the Philadelphia, Baltimore and Washington Railroad]	100007	0.0000000	0.0000000	0	m			4673	0
1198	shape	ordinance	Oak sapling on the East line of Monroe Borough	100007	-76.4798405	41.7107675	-8.25				4676	0
1199	line after	decree (docket)	point on the Northeasterly line of said township of Scott where the division line between the Borough of Greentree and the Township of Union intersects said line of Scott Township near the house of Frank Smith in said Township	100007	-80.0528160	40.4024515	-4.85	m			4677	0
1200	shape	resolution (municipal journal)	corner of lands of John A. Spangler and William Hahn, now Jacob R. Hahn	100007	-75.9273830	40.3688570	-3.65				4678	-1
1201	shape	decree (recorded)	point sixty (60) feet north of the center line of the Philadelphia + Reading Railway and one hundred and ninety-eight (198) feet east of Broad Street	100007	-76.2974532	40.3649854	-7.8	m			4680	-1
1202	shape	decree (recorded)	point at low water mark on the West side of the Monongahela River, and in the Northeastern boundary line of Monongahela City	100007	-79.9389991	40.2087004	-3	m			4683	-1
1203	line after	report of commissioners (docket)	point on the dividing line between the County of Allegheny and the County of Westmoreland, one thousand five hundred and eighteen (1518) feet Southwestwardly along said dividing line from the middle of the Greensburg Turnpike	100007	-79.7744110	40.3595990	-3.15				4684	0
1204	shape	ordinance	a corner in the center of Beaver Street	100007	-75.2779032	40.2150648	-8.5	m			4685	0
1205	shape	decree (recorded)	point in an easterly boundary line of the Village of Palmerton as shown and laid out in the Palmer Land Company's plan or plot of Palmerton (recorded in the Office for the recording of deeds in and for the said County of Carbon in Deed Book No. 46, page 718), said point being the intersection of the said easterly boundary line and the southerly line of Edgemont Avenue, and distant eastwardly more or less 275 feet from the intersection of the said southerly line of Edgemont Avenue and the easterly line of Sixth Street, the said Edgemont Avenue and the said Sixth Street being shown on the said recorded plan or plot of Palmerton	100007	-75.6040430	40.8102110	-9.4				4687	0
1206	shape	ordinance	post in the Pitcairn and Murraysville Road in said Patton Township	100007	-79.7726665	40.4098380	-2	m			4690	1
1207	shape	ordinance	point in Weston Avenue at corner of property of West Liberty Improvement Company, formerly John Daube, and in the boundary line of said City of Pittsburgh	100007	-80.0132880	40.3938550	-3	m			4691	-1
1208	shape	petition (recorded)	northwest corner of the old building of the Catholic Church property, said point being in the Bangor Borough line	100007	-75.2114570	40.8761730	-17.05	p			4696	313.38125
1209	shape	ordinance	corner of property of Allen E. Hildebrand and Franklin Real Estate Company, said corner being the northerly corner of property of said Franklin Real Estate Company and lying adjacent to the northwest curb line of Sterley street, a fifty (50') feet wide street, as laid out on the topographical survey of the Borough of Shillington	100007	-75.9703610	40.3070094	-4.5	m			4697	37
1210	shape	decree (recorded)	point in the Noblestown Road at the corner of City of Pittsburgh	100007	-80.0458825	40.4382837	-3	m			4710	0
1211	line before	ordinance (Wilkinsburg)	point on the northerly boundary line of the Borough of Edgewood, at the intersection of the Westerly property line of Morris Street as now located, with the line of lot No. 103 in the Edgewood Place Plan of Lots, as laid out by the Pittsburgh National Bank of Commerce, recorded in the Recorders office of Allegheny County in Plan Book, Vol. 9, Pages 130 + 131	100007	-79.8771950	40.4352960	0	m		Wilkinsburg, Before	4711	0
1212	line after	ordinance (Wilkinsburg)	point on the northerly boundary line of the Borough of Edgewood, at the intersection of the Westerly property line of Morris Street as now located with the line of lot No. 103 in the Edgewood Place Plan of Lots, as laid out by the Pittsburgh National Bank of Commerce, recorded in the Recorder's Office of Allegheny County in Plan Book, Vol. 9, pages 130 and 131	100007	-79.8771950	40.4352960	0	m		Wilkinsburg, After	4711	0
1213	shape	ordinance (Census Bureau)	point at lands of Samuel Arnold, and the Old Borough line of Windsor Borough	100007	-76.5867090	39.9190070	-10	m			4712	95.9125
1214	shape	ordinance (newspaper)	concrete monument on the line of land of Harry Wilker, which point is common to the land of the Woodlawn Land Company and the land herein described	100007	-80.2522228	40.6149722	-2.25	m			4713	0
1215	shape	decree (recorded)	point in the middle of the public road at the corner of lands of John Gohn	100007	-76.5794134	39.9804729	-8.4	m			4714	0
1216	shape	decree (recorded)	iron pin in the eastern side of the public road called Main Street leading from Alburtis to Lehigh Church	100007	-75.6060380	40.5147096	-8	m			4717	420
1217	shape	ordinance	northwest point at the intersection of the eastern line of Duss Avenue, as now located, in the borough of Ambridge, which line is also the eastern Borough line	100007	-80.2243681	40.5854318	0	m			4718	0
1218	shape	ordinance	stake in the present western borough line, in the line of land of Jennie M. Philips distant southward nine hundred and twelve (912) feet from a stone in Valley Avenue being a corner marker of said Jennie M. Philips land and being three (3) feet north of the center line of Valley Avenue	100007	-75.9797072	39.9457394	-5.3	m			4720	0
1219	shape	decree (recorded)	point on the eastern side of a laid, said lane dividing the lands of John Mutter and George Melcher	100007	-75.5961663	40.4030377	-10	m			4721	331.20125
1220	shape	letters patent (official communications)	point on the western bank of the Beaver River, which point is one hundred and ten and five-tenths (110,5/10) feet south from the abutment of the overgrade Bridge leading from Beaver Falls to New Brighton	100007	-80.3194970	40.7390160	-1				4723	0
1221	shape	decree (recorded)	Northerly boundary line of Avalon Borough at a point one hundred thirty (130) feet Westwardly from the Westerly side of Norwood Avenue	100007	-80.0695235	40.5089988	2	m			4724	0
1222	shape	decree (docket)	northwest corner thereof at an iron pin at the intersection of the east line of land of Joseph Cisco with the center line of the public road leading east to Mount Jackson, said place of beginning also being the southwest corner of land of Charles Williams and the ?northwest corner of land of Angeline M. Nelson	100007	-80.4998337	40.9869922	3.55	m			4725	1024
1223	shape	decree (recorded)	stone corner where lands of George Arner, John Scherer, and Thomas Schwartz [?], in Lower Towamensing Township, Carbon County, Pennsylvania, said place of beginning, being 550 ft north from the public road leading from Bowmanstown to the Five Live	100007	-75.6565239	40.8091611	-9	p			4726	-1
1224	shape	ordinance	northwest corner of the City of Bradford	100007	-78.6582470	41.9656968	-1.1	m			4727	0
1225	shape	letters patent (official communications)	iron monument at the junction of the Breakneck Road and East Main Street	100007	-79.5806050	40.0246570	1				4731	0
1226	shape	ordinance	point in the center line of Potomac Avenue on the line separating the Borough of Dormont from Union Township	100007	-80.0391689	40.4000285	-2.75	m			4732	0
1227	shape	ordinance	stake set for a corner in the present borough line of Doylestown Borough, on the line between the lands of the North Pennsylvania Railroad Company and Isaac J. Vanartsdalen	100007	-75.1350904	40.3021985	1.15	m			4733	0
1228	shape	decree (recorded)	point on the Boundary line of the Borough of Speers, where said boundary line touches low water mark on the south bank of the Monongahela river	100007	-79.8664590	40.1216930	-1.45				4735	-1
1229	whole after	decree (recorded)	point near the Mothan and Ferndale Bridge on the north side of the Valley Pike	100007	-78.9199746	40.2936625	0				4739	0
1230	shape	petition (docket)	Southwest boundary line of the City of Altoona, where the same intersects the Northwest line of the right of way of the Hollidaysburg branch of the Pennsylvania Railroad Company, at the Northeastern side of Twenty-seventh Street	100007	0.0000000	0.0000000	0				4745	0
1231	shape	ordinance (law library)	point on the line dividing the Borough of McDonald and the Township of Cecil, South Sixty Nine degrees thirteen minutes West, (S 69°13' W) distant Eight hundred forty seven and twenty-eight hundredths (847.28) feet from a stone on the Right of Way of the Pittsburg, Cincinnati, Chicago & St Louis Railroad	100007	-80.2305686	40.3689962	-0.35	m			4746	0
1232	shape	ordinance	point on the north side of the Lancaster and Susquehanna Turnpike Road (Main Street in said borough) a corner of land of the estate of Emily M Crane	100007	-76.4426830	40.0378060	-7.6				4750	1
1233	shape	decree (recorded)	monument at the intersection of the City of Johnstown, Lower Yoder Township and the proposed Borough	100007	-78.9520485	40.3519988	0.5				4754	0
1234	shape	decree (recorded)	point on the Lebanon and Dauphin Counties line on lands of O. H. Henry and on the North side of a lane leading to William H. Erb's farm	100007	-76.6077694	40.2956863	-3.25	m			4755	-1
1235	shape	letters patent (recorded)	point on the west branch of the Schuylkill River where the North Manheim Township line crosses the same	100007	-76.2329561	40.6609698	-5				4759	0
1236	shape	decree (recorded)	hickory tree in Heidelberg Township, Berks County, Pennsylvania, said hickory tree being 425' south of the center line of the Lebanon Valley Branch of the philadelphia + Reading Railway, and marking the corner between properties of Robesonia Iron Company, Limited, and Samuel R. Deppen	100007	-76.1456219	40.3526955	-7.85	m			4763	571.234375
1237	shape	decree (recorded)	center of the road leading to Mansfield, said place of beginning designated in former description of Borough, said description being recorded in the office for the recording of deeds for the County of Tioga in Deed Book 56 page 112, as being sixty-five (65) feet North, forty-one (41) degrees East from the North East corner of Warren Rose's farm	100007	-76.9626564	41.8605841	-4				4764	0
1238	shape	decree (recorded)	point of intersection of the east line of the Borough of Carnegie and the center line of Chartiers Creek	100007	-80.0819850	40.4160773	0	m			4765	0
1239	shape	ordinance (municipal minutes)	point in the Southern line of Borough and one hundred fifty five (155) feet west of the western line of Shamokin Street	100007	-76.5512895	40.7830063	0	m		Tract 2	4766	0
1240	shape	ordinance (municipal minutes)	point in the Southern Borough line opposite the Eastern line of Gold Street	100007	-76.5560673	40.7827618	-4.75	m		Tract 1	4766	0
1241	shape	ordinance (municipal minutes)	point in the west line of the Borough of Shamokin	100007	-76.5651112	40.7902186	-5.65	m		West Shamokin	4767	0
1242	shape	ordinance (municipal minutes)	point in the West line of the Borough of Shamokin	100007	-76.5644833	40.7834002	-4.85	m		Edgewood and Fairview	4767	0
1243	shape	ordinance (municipal minutes)	set cut stone, the intersection of the dividing line between John Brady and Luke Fidler tracts of land the center line of a forty (40) feet wide street, known as Kase Street	100007	-76.5483129	40.7957667	-5.75	m			4768	11.79
1244	shape	decree, amended (recorded)	point in the dividing line between Spring and Lower Heidelberg Townships where the center line of the public road (formerly the Berks and Dauphin Turnpike) crosses the middle of the Cacoosing Creek	100007	-76.0346400	40.3265434	-5	m			4771	795
1245	shape	ordinance (docket)	point on Kerr Street	100007	-79.7176710	39.9073430	1	m			4773	0
1246	shape	ordinance (Census Bureau)	point of the present Borough line and lands of Samuel Arnold	100007	-76.5831160	39.9173190	-7.8	m			4777	32.0625
1247	line after	decree (docket)	point on line of property between the Martin Villa Plan and property of Ulrich where the same is intersected by the present line dividing Mt. Lebanon and Bethel Townships	100007	-80.0291620	40.3636940	-5.4				4781	0
1248	shape	ordinance (docket)	corner on the present boundary line of The Borough of Burnham, at a point on the Southeast side of public road now known as Valley Avenue, on line of lands of Mary S. Kline	100007	-77.5577470	40.6295040	-7.8				4782	-1
1249	shape	decree (recorded)	westerly line of the Greensburg Turnpike and at the Northeasterly corner of lands formerly of Perchment Heirs now East Pittsburg Improvement Company and along the line of lands of the Chalfant Place Plan of Lots, as recorded in Plan Book Vol. 23, pages 124 and 125	100007	-79.8384431	40.4150604	-1.6				4785	0
1250	shape	decree (recorded)	point in the center of the road leading from Clarks Green to Glenburn, said point being the extreme Northeasterly corner of the Borough of Clarks Summit	100007	-75.7029448	41.5037907	-8.75				4787	0
1251	shape	ordinance (docket)	point on the line of lands of Eva H. Huselton, at a corner of the boundary line of the Borough of Duquesne	100007	-79.8568672	40.3777032	-1.35	m			4792	0
1252	shape	ordinance (docket)	point on the line of lands of Eva H. Huselton at a corner of the boundary line of the Borough of Duquesne	100007	-79.8568672	40.3777032	-1.35				4793	0
