sourcecitationid	source	sourcecitationdate	sourcecitationdatetype	sourcecitationdaterange	sourcecitationdaterangetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	sourcecitationurl	sourcecitationtypetitle	sourcecitationperson	sourcecitationgovernmentreferences	sourcecitationarchiveslotfilm	sourcecitationarchivecarton	sourcecitationstatus	sourcecitationissue	sourcecitationname
3838	132	1981-12-31					131	131		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Pitt Township					1
3839	132	1981-12-31					131	131		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Pitt Township					2
3840	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Bally borough (Berks)					
3841	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Ambler borough (Montgomery)					
3842	165						165	165		CHAPTER XIV. TOWNSHIPS-PAUPACK.							
3843	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Mifflin Township					1
3844	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Baldwin Township					2
3845	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Overbrook Boro					
3846	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Chartiers Township					2
3847	207	1925-10-08					12	12	http://digital.klnpa.org/cdm/ref/collection/patriot/id/18592	ORDINANCE No. 204							1
3848	207	1925-10-08					12	12	http://digital.klnpa.org/cdm/ref/collection/patriot/id/18592	ORDINANCE No. 203							2
3849	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Penn Township					3
3850	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Spring Garden Boro					
3851	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Ross Township					4
3852	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Baldwin Township					5
3853	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Union Township					6
3854	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Beechview Boro					
3855	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		O'Hara Township					
3856	132	1981-12-31					131	131		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Brushton Boro					
3857	132	1981-12-31					131	131		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Beltzhoover Boro					
3858	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Elliott Boro					
3859	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Esplen Boro					
3860	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Sterrett Township					
3861	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Montooth Boro					
3862	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Sheraden Boro					
3863	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		City of Allegheny					
3864	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		West Liberty Boro					
3865	58						93	93		History of Columbia County.		Fishingcreek					
3866	487	1898-03-30					3	3	http://news.google.com/newspapers?id=nlphAAAAIBAJ&sjid=xnUNAAAAIBAJ&pg=5833%2C531854	Borough Ordinance.							
3867	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Alburtis borough (Lehigh)					
3868	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Baldwin Township					3
3869	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Baldwin Township					4
3870	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Ross Township					5
3871	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Baldwin Township					6
3872	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Penn Township					7
3873	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Mifflin Township					8
3874	211					34	1	1		Petition; Description; Confirmation (1871)		Township of Roaring Brook					
3875	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Ross Township					9
3876	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Ross Township					10
3877	132	1981-12-31					133	133		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Ross Township					11
3878	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Ross Township					7
3879	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Mifflin Township					8
3880	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Hays Boro					
3881	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Part of Ross Township					9
3882	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Union Township					
3883	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Westwood Boro					
3884	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Knoxville Boro					
3885	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Carrick Boro					
3886	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Parts of Swissvale Boro					1
3887	132	1981-12-31					132	132		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Remainder of Chartiers Township					
3888	132	1981-12-31					131	131		City of Pittsburgh: Territorial Growth of Pittsburgh (in Allegheny County folder)		Northern Liberties Boro					
3889	378	1919-09-25					22	22	http://news.google.com/newspapers?id=_cgaAAAAIBAJ&sjid=mUkEAAAAIBAJ&dq=spring-garden%20annexation&pg=2023%2C3740640	Approve Bill to Annex Spring Garden Borough							
3890	391	1931-12-12		1931-12-14	Received						Arthur, U. N. (Engineer)	Pittsburgh City (Allegheny)	film 18	box 3			19
3891	13											Harmony Borough (Butler)	film 51	box 8			3
3892	13	1958-05-05									Norwood, Nelson W. (Chief Clerk)	Carbon County	film 51	box 8			
3893	13	1958-05-28									Billman, A. G. (Burgess)	Millersburg Borough (Dauphin)	film 51	box 8			2
3894	13	1958-05-26									Stamm, Helen F. (Chief Clerk)	Union County	film 52	box 8			2
3895	13	1951-08-23									Savidge, William S. (Secretary); Harter, M. L., Jr. (Solicitor)	Watsontown Borough (Northumberland)	film 52	box 8			1
3896	13	1952-01-24									Iobst, Oscar T. (Secretary)	Emmaus Borough (Lehigh)	film 52	box 8			2
3897	13	1958-04-28									Chief Clerk	Washington County	film 53	box 8			2
3898	264						1243	1243		CHAPTER XIX. POCONO TOWNSHIP.							
3899	503						339	339		Annexation of Territory. Footnote 1.							2
3900	503						339	339		Annexation of Territory. Footnote 1.							3
3901	503						338	339		Annexation of 1883.							
3902	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Altoona city (Blair)					
3903	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Ambridge borough (Beaver)					
3904	503						339	339		Annexation of 1884.							4
3905	503						339	339		Annexation of 1885.							5
3906	10	1948-08-25				17500449	203	203				Altoona City (Blair)	film 56	box 6			
3907	503						339	339		Annexation of 1886.							6
3908	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Abbottstown borough (Adams)					
3909	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Adamsburg borough (Westmoreland)					
3910	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Adamstown borough (Lancaster)					
3911	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Addison borough (Somerset)					
3912	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Akron borough (Lancaster)					
3913	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Alba borough (Bradford)					
3914	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Albion borough (Erie)					
3915	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Aldan borough (Delaware)					
3916	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Alexandria borough (Huntingdon)					
3917	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Aliquippa borough (Beaver)					
3918	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Allenport borough (Washington)					
3919	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Allentown city (Lehigh)					
3920	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Apollo borough (Armstrong)					
3921	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Applewold borough (Armstrong)					
3922	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Archbald borough (Lackawanna)					
3923	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Arnold borough (Westmoreland)					
3924	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Arona borough (Westmoreland)					
3925	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Ashland borough (Schuylkill)					
3926	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Ashley borough (Luzerne)					
3927	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Aspinwall borough (Allegheny)					
3928	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Atglen borough (Chester)					
3929	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Athens borough (Bradford)					
3930	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Atwood borough (Armstrong)					
3931	65	1904-03-10					5	5		COMMISSIONERS. Of Borough Township Held Important Meeting							
3932	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Avoca borough (Luzerne)					
3933	211					36	2	2		Incorporation of Boro of Provide[nce]; Description (184[9])		City of Scranton					
3934	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Avondale borough (Chester)					
3935	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Avonmore borough (Westmoreland)					
3936	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Baden borough (Beaver)					
3937	90						590	590		CHAPTER XXI. TOWNSHIPS AND BOROUGHS.		KINGSTON BOROUGH					
3938	393	1935-04-01		1940-04-01			1	1		Lists of Incorporated Places with Dates of Incorporation.		Bangor borough (Northampton)					
3939	211					14	1	1		Boundaries of Roaring Brook taken from Dunmore Borough (1871)		Borough of Dunmore					
3940	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Barnsboro borough (Cambria)					
3941	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bath borough (Northampton)					
3942	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Beallsville borough (Washington)					
3943	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bear Lake borough (Warren)					
3944	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Beaver borough (Beaver)					
3945	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Beaver Falls city (Beaver)					
3946	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Beaver Meadow borough (Carbon)					
3947	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Beavertown borough (Snyder)					
3948	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bechtelsville borough (Berks)					
3949	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bedford borough (Bedford)					
3950	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Beech Creek borough (Clinton)					
3951	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bellefonte borough (Centre)					
3952	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bellevernon borough (Fayette)					
3953	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bellevue borough (Allegheny)					
3954	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bellwood borough (Blair)					
3955	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Ben Avon borough (Allegheny)					1
3956	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Ben Avon Heights borough (Allegheny)					2
3957	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bendersville borough (Adams)					
3958	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Benson borough (Somerset)					
3959	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bentleyville borough (Washington)					
3960	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Benton borough (Columbia)					
3961	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Berlin borough (Somerset)					
3962	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bernville borough (Berks)					
3963	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Berwick borough (Columbia)					
3964	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bessemer borough (Lawrence)					
3965	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bethany borough (Wayne)					
3966	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bethlehem city (Lehigh and Northampton)					
3967	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Biglerville borough (Adams)					
3968	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Big Run borough (Jefferson)					
3969	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Birdsboro borough (Berks)					
3970	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Birmingham borough (Huntingdon)					
3971	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Blairsville borough (Indiana)					
3972	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Blakely borough (Lackawanna)					
3973	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Blawnox borough (Allegheny)					
3974	10	1947-07-10				17500449	206	206				Altoona City (Blair)	film 56	box 6			
3975	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Blooming Valley borough (Crawford)					
3976	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bloomsburg borough (Columbia)					
3977	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Blossburg borough (Tioga)					
3978	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bolivar borough (Westmoreland)					
3979	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Boswell borough (Somerset)					
3980	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bowmanstown borough (Carbon)					
3981	211					15	3	3		Confirmation (1889)		Borough of Elmhurst					
3982	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Boyertown borough (Berks)					
3983	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Brackenridge borough (Allegheny)					
3984	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Braddock borough (Allegheny)					
3985	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bradford city (McKean)					
3986	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bradford Woods borough (Allegheny)					
3987	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Brentwood borough (Allegheny)					
3988	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Briar Creek borough (Columbia)					
3989	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bridgeport borough (Montgomery)					
3990	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bridgeville borough (Allegheny)					
3991	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bridgewater borough (Beaver)					
3992	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bristol borough (Bucks)					
3993	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Broad Top City borough (Huntingdon)					
3994	393	1935-04-01		1940-04-01			2	2		Lists of Incorporated Places with Dates of Incorporation.		Bloomfield borough (Perry)					
3995	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Brockway borough (Jefferson)					
3996	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Brookville borough (Jefferson)					
3997	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Brownstown borough (Cambria)					
3998	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Brownsville borough (Fayette)					
3999	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bruin borough (Butler)					
4000	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Bryn Athyn borough (Montgomery)					
4001	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Burgettstown borough (Washington)					
4002	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Burlington borough (Bradford)					
4003	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Burnham borough (Mifflin)					
4004	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Burnside borough (Clearfield)					
4005	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Butler city (Butler)					
4006	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		California borough (Washington)					
4007	257									Mercer County							
4008	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Callensburg borough (Clarion)					
4009	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Callery borough (Butler)					
4010	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Cambridge Springs borough (Crawford)					
4011	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Camp Hill borough (Cumberland)					
4012	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Canonsburg borough (Washington)					
4013	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Canton borough (Bradford)					
4014	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Carbondale city (Lackawanna)					
4015	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Carlisle borough (Cumberland)					
4016	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Carmichaels borough (Greene)					
4017	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Carnegie borough (Allegheny)					
4018	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Carrolltown borough (Cambria)					
4019	393	1935-04-01		1940-04-01			3	3		Lists of Incorporated Places with Dates of Incorporation.		Cassandra borough (Cambria)					
4020	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Casselman borough (Somerset)					
4021	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Cassville borough (Huntingdon)					
4022	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Castle Shannon borough (Allegheny)					
4023	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Catasauqua borough (Lehigh)					
4024	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Catawissa borough (Columbia)					
4025	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Centerville borough (Crawford)					1
4026	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Centerville borough (Washington)					2
4027	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Central City borough (Somerset)					
4028	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Centralia borough (Columbia)					
4029	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Centre Hall borough (Centre)					
4030	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Centreport borough (Berks)					
4031	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Chalfant borough (Allegheny)					
4032	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Chalfont borough (Bucks)					
4033	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Chambersburg borough (Franklin)					
4034	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Chapman borough (Northampton)					
4035	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Charleroi borough (Washington)					
4036	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Cherrytree borough (Indiana)					
4037	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Cherry Valley borough (Butler)					
4038	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Chester city (Delaware)					
4039	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Chester Hill borough (Clearfield)					
4040	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Chest Springs borough (Cambria)					
4041	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Cheswick borough (Allegheny)					
4042	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Christiana borough (Lancaster)					
4043	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Churchill borough (Allegheny)					
4044	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clairton city (Allegheny)					
4045	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clarendon borough (Warren)					
4046	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clarion borough (Clarion)					
4047	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clarks Green borough (Lackawanna)					
4048	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clarks Summit borough (Lackawanna)					
4049	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clarksville borough (Mercer)					1
4050	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Claysville borough (Washington)					
4051	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Cleona borough (Lebanon)					
4052	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clintonville borough (Venango)					
4053	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Clymer borough (Indiana)					
4054	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Coaldale borough (Bedford)					1
4055	393	1935-04-01		1940-04-01			4	4		Lists of Incorporated Places with Dates of Incorporation.		Coaldale borough (Schuylkill)					2
4056	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Coalmont borough (Huntingdon)					
4057	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Coalport borough (Clearfield)					
4058	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Coetesville city (Chester)					
4059	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Cochranton borough (Crawford)					
4060	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Cokeburg borough (Washington)					
4061	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Collegeville borough (Montgomery)					
4062	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Collingdale borough (Delaware)					
4063	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Columbia borough (Lancaster)					
4064	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Colwyn borough (Delaware)					
4065	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Confluence borough (Somerset)					
4066	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Conneaut Lake borough (Crawford)					
4067	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Conneautville borough (Crawford)					
4068	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Connellsville city (Fayette)					
4069	393	1935-04-01		1940-04-01			5	5		Lists of Incorporated Places with Dates of Incorporation.		Connoquenessing borough (Butler)					
