lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
410	359	1905	288	201		Providing for the division of townships, upon the application of the owners of twenty-five percentum of the assessed valuation of the real estate thereof, and prescribing the manner of holding an election upon the question of division, and declaring any proceeding for a division under former laws to be no bar to a proceeding under this act.	1905-04-22				f					\N
411	359	2008	999	76		Amending Title 53 (Municipalities Generally) of the Pennsylvania Consolidated Statutes, in general provisions, providing for form of oaths of office; and in other subjects of taxation, providing for hotel room rental	2008-07-09				f					\N
412	359	1915	664	295		To repeal an act of Assembly, entitled "An act to provide for the alteration of the boundaries of townships and boroughs in certain cases, and the adjustment of the indebtedness thereof," approved the eleventh day of May, one thousand nine hundred one (Pamphlet Laws, one hundred seventy-seven)	1915-06-01				f					\N
413	359	1907	295	223		A Supplement to an act, entitled "An act for the annexation of any city, borough, township, or part of a township, to a contiguous city, and providing for the indebtedness of the same," approved the twenty-eighth day of April, Anno Domini one thousand nine hundred and three; to enable territory now annexed, or which may hereafter be annexed under the provisions of said act, to be arranged and erected into a ward, or wards, of the city to which it is annexed; and providing the procedure for that purpose, and for the proper representation of the ward or wards erected	1907-05-28				f					\N
414	359	1830-1831	439	196		To alter an act entitled "An act to erect the town of Pottsville, in the county of Schuylkill, into a borough; and supplementary to the act incorporating the borough of Lewistown," passed the nineteenth day of February, A.D. one thousand eight hundred and twenty-eight; and also to alter an act, entitled "An act authorising the election of a constable, in the borough of Pottsville, and for other purposes," passed the twenty-third day of March, A.D. one thousand eight hundred and twenty-nine	1831-04-04				f					\N
415	359	1983	208	59		Amending the act of June 3, 1937 (P.L.1333, No.320), entitled "An act concerning elections, including general, municipal, special and primary elections, the nomination of candidates, primary and election expenses and election contests; creating and defining membership of county boards of elections; imposing duties upon the Secretary of the Commonwealth, courts, county boards of elections, county commissioners; imposing penalties for violation of the act, and codifying, revising and consolidating the laws relating thereto; and repealing certain acts and parts of acts relating to elections," changing the date for the General primary in 1984	1983-11-03	1984-01-01			f					\N
416	358	1813-1814	204	117		To enlarge the limits of the borough of Bedford	1814-03-26				f					\N
417	359	1878	17	21		To provide for the division of counties of this commonwealth, and the erection of new counties therefrom	1878-04-17				f					\N
418	359	2011	268	55		Amending the act of August 9, 1955 (P.L.323, No.130), entitled, as amended, "An act relating to counties of the first, third, fourth, fifth, sixth, seventh and eighth classes; amending, revising, consolidating and changing the laws relating thereto; relating to imposition of excise taxes by counties, including authorizing imposition of an excise tax on the rental of motor vehicles by counties of the first class; and providing for regional renaissance initiatives," in names and corporate powers and classification of counties, further providing for counties divided into nine classes; and, in prothonotary, clerks of court, clerk of orphan's court, register of wills, recorder of deeds, further providing for how offices to be held	2011-07-07				f					\N
419	359	1841	139	72		A Further Supplement to the act entitled an act for erecting the town of York, in the county of York, into a borough, passed twenty-fourth September, one thousand seven hundred and eighty-seven, and for other purposes	1841-04-02				f					\N
421	359	1846	425	352		Empowering the court of quarter sessions of Mercer county, to incorporate the town of Leesburg, Mercer county	1846-04-21				f					\N
422	359	1850	413	296		Regulating election districts; and relating to the election of supervisors and borough officers	1850-04-08				f					\N
423	359	1831-1832	452	175		To authorize the laying out of a state road in Lancaster and Berks counties, and for other purposes	1832-05-04				f					\N
424	359	1861	560	519		Supplementary to an act to incorporate the borough of New Columbus, in the county of Luzerne, approved the eleventh day of April, Anno Domini one thousand eight hundred and fifty-nine	1861-05-01				f					\N
425	359	1862	260	262		To change the township line between Washington and Wiconisco townships, in the county of Dauphin	1862-04-05				f					\N
427	359	1847	72	36		Dividing the borough of Norristown, in the county of Montgomery, into two wards, and providing for the election of constables and assessors; also, judges and inspectors of the general election; also, the appointment of borough police.	1847-02-08				f					\N
428	359	1903	6	5		To amend the first clause of the second section, and the third section, of an act, entitled "An act to provide for the consolidation of boroughs and the government and regulation thereof," approved the sixth day of June, Anno Domini one thousand eight hundred and ninety-three; removing any limit upon the number of wards into which a consolidated borough may be divided, and defining the laws and ordinances by which a consolidated borough shall be governed	1903-02-26				f					\N
429	136	18	547	448		In relation to the boundary line between the State of Delaware and the Commonwealth of Pennsylvania	1889-04-25				f					\N
430	359	1852	297	200		To erect the town of Loganville, in York county, into a borough and separate school district, and to authorize the sale of a school house in the village of Dover, in York county	1852-04-08				f					\N
431	359	1851	375	238		To incorporate the village of Waymart, in the county of Wayne, into a borough, and relative to elections in the city and township of Carbondale, Luzerne county	1851-04-08				f					\N
432	359	1863	200	211		Supplement to an act, entitled "An act to provide for the incorporation of boroughs," approved the first day of April, Anno Domini one thousand eight hundred and thirty four	1863-04-01				f					\N
433	448	17	74	2244		To erect the town of Canonsburg, in the county of Washington, into a borough	1802-02-22				f					\N
434	447	15	312	1848		To ascertain parts of lines between the counties of Berks, Northampton, Northumberland and Luzerne, and other purposes therein mentioned	1795-04-17				f					\N
435	359	1903	247	183		Enabling the burgess and council of any borough or incorporated town, by ordinance, to annex to the borough or incorporated town adjacent territory, upon petition of a majority of the freehold owners thereof	1903-04-22				f					\N
436	359	1851	803	494		To incorporate Knoxville, in the county of Tioga, into a borough	1850-04-19				f					\N
437	359	1858	191	229		To incorporate the towns of Carrolltown and Campbellstown, in the county of Cambria, into a borough	1858-03-30				f					\N
438	447	11	234	1068		For annexing part of Westmoreland county to the county of Fayette	1784-02-17				f					\N
439	359	1854	405	398		To amend the charter of the Borough of York, York county	1854-04-20				f					\N
441	359	1897	151	125		To amend an act approved May twenty-second, one thousand eight hundred and ninety-five, entitled "An act to provide for running and marking county lines, approved the seventeenth day of April, one thousand eight hundred and seventy-six, increasing the number of commissioners to five and providing for advertising," and further providing for the payment of the expense of such commissioners and their assistants	1897-06-14				f					\N
442	359	1862	298	305		To annex the farm of John Getty, in the county of Indiana, to White township	1862-04-07				f					\N
443	447	15	288	1834		For erecting part of the county of Northumberland into a separate county	1795-04-13				f					\N
444	359	1851	778	486		To incorporate the borough of Media, in the county of Delaware, and relative to Carbon county.	1850-03-11				f					\N
445	359	1867	1259	1189		Supplementary to an act revising the charter of the municipal corporation of the city of Reading, passed April twenty-six, one thousand eight hundred and sixty-four, extending the limits of the same	1867-04-15				f					\N
446	359	1854	512	513		Authorizing the Burgess and Town Council of Conemaugh to extend the limits of said borough	1854-04-28				f					\N
447	359	1851	242	176		Relating to the repairs of county bridges, to the collection of taxes in Colebrookdale, Maxatawney, and Greenwich townships, to the election of county treasurer, to the dividends of the Reading Gas Company, and to the boundaries of the township of Oley, in the county of Berks, and to incorporate the Odd Fellows' Hall Association of New London, Chester county.	1851-03-24				f					\N
448	359	1834-1835	87	62		To alter the charters of the boroughs of Liverpool, Gettysburg and Hanover	1835-03-27				f					\N
449	359	1869	249	226		Incorporating the city of New Castle, in the county of Lawrence	1869-02-25				f					\N
450	359	1915	312	192		Providing a system of government for boroughs, and revising, amending, and consolidating the law relating to boroughs	1915-05-14	1915-07-01			f					\N
452	358	1824-1825	130	73		For dividing the city of Philadelphia into fifteen wards, and providing for the choice of judges of the general elections, and for other purposes	1825-03-31				f					\N
453	359	1848	106	94		To incorporate, in the township of Lower St. Clair, in Allegheny county, a borough, to be called "South Pittsburg"	1848-03-06				f					\N
454	359	1843	85	41		Erecting parts of Northampton and Monroe counties, into a separate county, to be called Carbon	1843-03-13				f					\N
455	447	13	337	1443		For dividing the county of Chester, and to erect part thereof into a separate county	1789-09-26				f					\N
456	359	1861	794	708		To change the name of Jones township, in Elk county	1860-03-21				f					\N
457	447	5	105	387		For explaining and ascertaining the boundary line between the Counties of York and Cumberland, in the Province of Pennsylvania	1750*-02-09J		1753-05-10		f					\N
458	359	1827-1828	183	85		To alter an act, entitled An act for erecting the town of Easton, in the county of Northampton, into a borough, and for other purposes therein mentioned	1828-03-19				f					\N
459	359	1895	275	188		Dividing the cities of this State into three classes with respect to their population, and designating the mode of ascertaining and changing the classification thereof in accordance therewith	1895-06-25				f					\N
460	359	1872	1017	965		To repeal the third section of an act, entitled "An act to incorporate the city of Lock Haven," approved the twenty-eighth day of March, Anno Domini one thousand eight hundred and seventy	1872-04-09				f					\N
461	359	1850	99	88		A Supplement to an act, entitled "An act regulating election districts, and for other purposes," approved the fourteenth day of April, one thousand eight hundred and forty	1850-02-25				f					\N
462	359	1868	128	84		Supplementary to an act to provide a city government for the borough of Altoona, Blair county, Pennsylvania, approved April third, Anno Domini one thousand eight hundred and sixty-seven	1868-02-08				f					\N
463	359	1843	145	73		To incorporate the town of Perrysville, in the county of Juniata, into a borough	1843-04-04				f					\N
464	359	1855	352	368		Relating to the boundaries of the borough of Pittston, Luzerne county	1855-04-27				f					\N
465	359	1889	277	247		Providing for the incorporation and government of cities of the third class	1889-05-23				f					\N
466	359	1866	805	793		Supplementary to an act, entitled "An Act appointing commissioners to run and establish the line between the counties of Warren and M'Kean, and for other purposes," approved the sixteenth day of April, Anno Domini one thousand eight hundred and forty-five	1866-04-12				f					\N
467	359	1864	126	118		To extend the time of paying the enrolment tax, on an act to incorporate the village of Linesville, county of Crawford, into a borough	1864-03-30				f					\N
468	359	1850	853	406		To incorporate the village of Youngsville, in Warren county	1848-03-10				f					\N
469	359	1909	459	258		To further amend an act, entitled "An act authorizing the cities of this Commonwealth to purchase, acquire, take, use, and appropriate private property for public park purposes," approved the twenty-sixth day of June, Anno Domini eighteen hundred and ninety-five, as amended by an act, approved the twenty-fifty day of April, nineteen hundred and three, so that poorhouse property may be taken for park purposes	1909-05-06				f					\N
470	359	1853	468	288		To incorporate the Frankford and Germantown Turnpike Road company in the county of Philadelphia; to lay out a State road in Armstrong and Jefferson counties; to the borough of Patterson; to Flower street in the district of Moyamensing, Philadelphia county; and to the duties of assessors in Rome township, Bradford county	1853-04-18				f					\N
471	359	1854	488	488		A supplement to the act incorporating the town of Port Clinton into a borough, et cetera	1854-04-25				f					\N
472	359	1850	997	455		To erect Elkland village, in the county of Tioga, into a borough	1849-04-10				f					\N
473	447	16	559	2193		Authorizing the Governor to appoint commissioners, to ascertain the boundry lines between the counties of Northumberland, Lycoming and Luzerne	1801-02-23				f					\N
474	359	1851	224	166		A Supplement to an act entitled "An Act to incorporate the town of Freeport, in the county of Armstrong"	1851-03-24				f					\N
475	359	1866	857	847		To incorporate the borough of Mount Washington, in Allegheny county	1866-04-12				f					\N
476	359	1833-1834	313	160		To erect the towns of Wrightsville and Westphalia, in the county of York, into a borough, to be called the borough of Wrightsville	1834-04-14				f					\N
477	359	1874	31	1		A Further Supplement To the act regulating elections in this Commonwealth	1874-01-30				f					\N
478	359	1854	489	489		A supplement to an act entitled "An act relating to counties and townships, and county and township officers," approved April the fifteenth, one thousand eight hundred and thirty-four.	1854-04-26				f					\N
479	359	1906/1	7	1		To enable cities that are now, or may hereafter be, contiguous or in close proximity, to be united, with any intervening land other than boroughs, in one municipality; providing for the consequences of such consolidation, the temporary government of the consolidated city, payment of the indebtedness of each of the united territories, and the enforcement of debts and claims due to or from each	1906-02-07				f					\N
480	359	1854	21	16		A further supplement to an act, entitled "An act to incorporate the City of Philadelphia"	1854-02-02				f					\N
482	359	1905	97	72		To amend an act, entitled "An act to amend an act, entitled 'An act to provide for the classification of the townships of the Commonwealth, with respect to their population, into two classes, and to prescribe the form of government for townships of each class,' approved the twenty-eighth day of April, Anno Domini one thousand eight hundred and ninety-nine, by providing that for the purpose of classification the population of townships may be ascertained by proceedings in the courts of quarter sessions, and regulating such proceedings," approved the eleventh day of May, Anno Domini one thousand nine hundred and one; by providing that those townships having a population of at least two hundred and fifty to the square mile shall be townships of the first class	1905-04-01				f					\N
483	359	1853	530	314		To incorporate the Strasburg and Millport Turnpike Road company; relative to certain Election districts; changing the name of the Susquehanna Coal company; to prohibit Cattle and Swine from running at large in the township of Roxborough, Philadelphia county; to change the name of Scott township, Columbia county	1853-04-18				f					\N
484	359	1981	247	80		Amending the act of February 1, 1966 (1965 P.L.1656, No.581), entitled "An act concerning boroughs, and revising, amending and consolidating the law relating to boroughs," prohibiting architects and engineers from negotiating on public works and providing for applications for incorporation.	1981-07-10	1981-09-08			f					\N
485	449	18	114	2661		To ascertain part of the boundary line of Westmoreland and Fayette Counties	1806-03-01				f					\N
486	358	1811-1812	219	163		To incorporate the president and directors of the streets, lanes, and alleys, in the town of Lewisburg, in the county of Northumberland	1812-03-31				f					\N
487	359	1990	534	131		Amending the act of June 3, 1937 (P.L.1333, No.320), entitled "An act concerning elections, including general, municipal, special and primary elections, the nomination of candidates, primary and election expenses and election contests; creating and defining membership of county boards of elections; imposing duties upon the Secretary of the Commonwealth, courts, county boards of elections, county commissioners; imposing penalties for violation of the act, and codifying, revising and consolidating the laws relating thereto; and repealing certain acts and parts of acts relating to elections," changing the date for the General primary in 1994; and making a repeal	1990-10-12	1990-12-11			f					\N
488	359	1921	1142	424		To amend section nineteen, chapter three, article one, of an act, approved the fourteenth day of May, one thousand nine hundred and fifteen (Pamphlet Laws, three hundred and twelve), entitled "An act providing a system of government for boroughs, and revising, amending, and consolidating the law relating to boroughs"	1921-05-25				f					\N
489	359	1971	413	98		Amending the act of June 25, 1895 (P. L. 275), entitled, as amended, "An act dividing the cities of this State into four classes with respect to their population, and designating the mode of ascertaining and changing the classification thereof in accordance therewith," changing the population requirements for cities of the second class A	1971-08-31				f					\N
490	359	1852	521	322		To incorporate the Old Fort and Spruce Creek Turnpike Road Company; to authorize the laying out of a State road from Boalsburg, in Centre county, to a point on the Kishacoquillas turnpike, in Mifflin county; declaring Little Mushannon creek a public highway; relative to appeals of unseated lands in Centre county; relative to the costs in two certain suits; authorizing the laying of a tax upon dogs in Bellefonte borough; appointing commissioners to run the boundary lines between Centre, Huntingdon, and Mifflin counties; and confirming certain unseated lands in Centre county	1852-05-03				f					\N
491	359	1869	1009	999		A Supplement to an act incorporating the city of Meadville, approved the fifteenth day of February, Anno Domini one thousand eight hundred and sixty-six	1869-04-15				f					\N
492	359	1850	314	249		Authorizing the executors of the last will and testament of Aime Le Breton, late of Lancaster county, deceased, to sell certain real estate, and to invest the proceeds thereof; to authorize Jacob Nisely, executor of Christian Nisely, to pay certain moneys to the treasurer of East Donegal township, in said county; relative to the south line of Forest county; to erect a dam across the Susquehanna river, in Great Bend township, Susquehanna county; and to incorporate the North Lebanon railroad company	1850-04-02				f					\N
493	359	1845	41	33		Providing for ascertaining and marking the lines or boundaries between Northumberland and Columbia counties	1845-02-17				f					\N
494	359	1838-1839	22	7		To repeal so much of the act regulating election districts, passed sixteenth April, eighteen hundred and thirty-eight, as annexes part of Franklin county to Adams county	1839-02-09				f					\N
495	359	1857	52	64		Changing the name of Ross township, in Mercer county, to the name of Deer Creek	1857-02-18				f					\N
496	760	20	759	672		In relation to recording the Report of the Boundary Commission	1897-05-29				f					\N
497	359	1849	541	360		To incorporate the borough of White Hall, in the county of Philadelphia; relative to the borough of Brownsville and Uniontown, in Fayette county; in relation to the publication of certain notices in Northumberland county; relative to Eleventh street, Moyamensing, Philadelphia county; to certain election districts; and relative to the directors of the Delaware, Lehigh, Schuylkill and Susquehanna railroad company	1849-04-09				f					\N
499	359	1863	223	239		To change the limits of the Schellsburg school district, in Bedford county	1863-04-01				f					\N
500	359	1833-1834	475	217		Regulating Election Districts	1834-04-15				f					\N
501	359	1851	843	507		Erecting the village of Strattanville into a borough	1850-05-06				f					\N
502	359	1901	160	127		To amend an act, entitled "An act to provide for the classification of the townships of the Commonwealth, with respect to their population, into two classes, and to prescribe the form of government for townships of each class," approved the twenty-eighth day of April, Anno Domini one thousand eight hundred and ninety-nine, by providing that for the purpose of classification the population of townships may be ascertained by proceedings in the courts of quarter sessions, and regulating such proceedings	1901-05-11				f					\N
503	359	1850	762	438		To incorporate the Unity turnpike and plank road company; to authorize the commissioners of Greene and Somerset counties to borrow money; to revise the levels and grades of streets in Southwark and Moyamensing, Philadelphia county; to authorize the commissioners of the Northern Liberties, in said county, to build market houses on Franklin street, and to lay iron pipes on Girard avenue	1850-05-15				f					\N
504	359	1895	349	257		Authorizing the cities of this Commonwealth to purchase, acquire, take, use and appropriate private property for public park purposes	1895-06-26				f					\N
505	359	1941	881	333		To amend sections 201, 202, 204, 205, 211 and 805 of the act, approved the fourth day of May, one thousand nine hundred twenty-seven (Pamphlet Laws, five hundred nineteen), entitled, "An act concerning boroughs, and revising, amending, and consolidating the law relating to boroughs", changing certain provisions relating to the incorporation of new boroughs, and providing for the incorporation of boroughs from townships of the first class having a population of eight thousand or more, and for the organization of the government therein	1941-08-06				f					\N
506	359	1853	169	126		To legitimate John James M'Kee; erecting a separate election district in the borough of York; relative to the Odd Fellows' hall association, of the borough of Norristown; to the borough of Lawrenceville, in Allegheny county; to the borough of Chambersburg, Franklin county; to the destruction of deer in the county of Tioga; to the settlement of accounts of township officers in the county of Pike; to incorporate the Union hall association of Unionville, in Chester county; to reduce the capital stock of the Columbia bank; and for the relief of William Duchman	1853-03-11				f					\N
507	361	1909	948	1		Proposing amendments to sections eight and twenty-one of article four, sections eleven and twelve of article five, sections two, three, fourteen of article eight, section one of article twelve, and sections two and seven of article fourteen, of the Constitution of Pennsylvania, and providing a schedule for carrying the amendments into effect	1909-~01-~01				f					\N
508	359	1850	330	260		To incorporate the village of Adamstown, in the county of Lancaster, into a borough ; and relative to certain election and certain election districts in the counties of Adams, Beaver, Bedford, Dauphin, Mercer, Lehigh, Montgomery and Washington.	1850-04-02				f					\N
509	359	1868	413	375		To annex a certain island situated in the Susquehanna river, beloning to Langhorne Wister, and now assessed and taxed in Middle Paxton township, in Dauphin county, to the county of Perry	1868-03-21				f					\N
510	359	1871	1155	1059		A supplement to the act, entitled "An act to extend the limits of the borough of Indiana," approved February seventeenth, one thousand eight hundred and seventy-one	1871-05-25				f					\N
511	359	1857	138	158		Designating the boundaries of the borough of Elkland, in the county of Tioga, legalizing the election and official acts of certain corporation officers	1857-03-28				f					\N
512	359	1855	681	619		To change the name of the borough of Cookstown, in Fayette county, and to authorize said borough to erect a lock-up house	1854-04-11				f					\N
513	448	17	1005	2588		To erect the town of Erie, in the county of Erie, into a borough, and for other purposes	1805-03-29				f					\N
514	359	1851	320	218		Regulating boroughs	1851-04-03				f					\N
515	359	1861	141	128		A supplement to an act, entitled "An Act erecting parts of Clinton, Elk, M'Kean and Potter counties into a county, to be called Cameron," approved on the twenty-ninth day of March, Anno Domini one thousand eight hundred and sixty	1861-03-16				f					\N
516	448	17	434	2374		To erect certain parts of Westmoreland and Lycoming Counties, into a separate county	1803-03-30				f					\N
517	359	1865	603	595		A Further Supplement to an act to incorporate the city of Philadelphia, approved February fourth, Anno Domini one thousand eight hundred and sixty-four, equalizing the territories and taxable inhabitants of the Eighteenth and Nineteenth wards, of the city of February	1865-03-23				f					\N
518	359	1826-1827	10	11		To incorporate the borough of Muncy, in Lycoming county	1827-01-19				f					\N
519	359	1851	163	128		To incorporate the city of Carbondale	1851-03-15				f					\N
520	447	14	219	1617		Ascertaining the boundary line between Huntingdon and Mifflin counties, on the south side of Juniata	1792-03-29				f					\N
521	359	1846	45	38		A Supplement to an act entitled "An Act to define the boundaries of East Brunswig school district, Schuylkill county," passed tenth of March, eighteen hundred and forty-five	1846-02-13				f					\N
522	1138	75	130	298		In regard to the boundary monuments on the line between the states of Ohio and Pennsylvania	1878-05-03				f					\N
523	359	1855	372	390		To erect the village of Cherry Tree into a borough	1855-04-30				f					\N
524	359	1873	610	648		To incorporate the borough of Mount Holly Springs	1873-04-10				f					\N
525	359	1917	262	143		To enable two or more boroughs that are contiguous or in close proximity to be united and to become one city, wherever each of said boroughs shall have heretofore voted or shall hereafter vote to become a city of the third class, under laws now enacted or which may hereafter be enacted; and wherever each of said boroughs has duly received or shall hereafter duly receive letters patent constituting it a city of the third class, but where sufficient time shall not have elapsed after the granting of such letters patent for the holding of a municipal election; providing for the consequences of such consolidation, the government of such consolidated city, the payment of the indebtedness of each of the united territories and the enforcement of debts and claims due to and from each, and fixing the jurisdiction over the said consolidated city in the courts of the county in which the majority of its inhabitants shall reside	1917-05-24				f					\N
526	359	1851	302	211		To change the name of the borough of West Philadelphia to the District of West Philadelphia, and relative to highways in the Districts of Kensington and Richmond, in the county of Philadelphia	1851-04-03				f					\N
527	359	1854	155	121		A supplement to an act entitled "An act to appoint commissioners to run and mark the county lines between Bedford, Fulton and Huntingdon, passed the twentieth day of April, Anno Domini, one thousand eight hundred and fifty-three	1854-03-06				f					\N
528	359	1840	52	17		To incorporate the town of Horacetown, in Tioga county, into a borough, to be called the borough of Horacetown, and for other purposes	1840-02-19				f					\N
529	447	5	87	380		For erecting part of the Province of Pennsylvania, westward of [the] Susquehanna and northward and westward of the County of York, into a county	1749*-01-27J		1751-05-13J		f					\N
530	359	1849	64	60		For recording the plot and survey of certain lands in Elk county	1849-02-14				f					\N
531	359	1860	741	623		Relating to the erection of a new township out of parts of Pine and West Deer townships, in Allegheny county	1860-04-02				f					\N
532	359	1863	404	400		A Supplement to an act, entitled "An Act to establish the Union School District of Chester and Delaware counties"	1863-04-14				f					\N
533	359	1975	146	73		Amending the act of April 13, 1972 (P.L.184, No.62), entitled "An act giving municipalities the right and power to adopt home rule charters or one of several optional plans of government and to exercise the powers and authority of local self-government subject to certain restrictions and limitations; providing procedures for such adoption and defining the effect thereof," providing the government study commission to establish new or revised districts for inclusion into a proposed charter	1975-07-30				f					\N
534	359	1851	605	329		To incorporate the Columbus Male and Female Academy, relative to interments in the borough of West Chester, to certain election districts, to furnish the Monroe artillery with a field piece, to holding elections in the borough of Bridesburg, to the district of West Philadelphia, to pay an annuity to certain old soldiers, to the title of certain real estate belonging to Jacob E. Clayton, to a township in Jefferson county, to the borough of Middletown, Dauphin county, to a school district in Schuylkill county, and to the claim of H. P. Cadwallader	1851-04-14				f					\N
535	360	1951	2225	1		Philadelphia Home Rule Charter. Approved by the Electors April 17, 1951	1951-04-17				f					\N
536	358	1813-1814	66	43		To contract the limits of the borough of Beaver, in the county of Beaver	1814-02-25				f					\N
537	359	1866	968	938		To divide the Twenty-fourth ward, in the city of Philadelphia, into two wards, and to create a new ward, to be called the Twenty-seventh ward	1866-04-17				f					\N
538	359	1846	368	313		To authorize the commissioners of Lycoming county, to borrow money, and for other purposes	1846-04-17				f					\N
539	359	1840	265	125		To authorize the trustees created by the last will and testament of John Donaughey, deceased, to invest the moneys belonging to the estate of the decedent, and for other purposes	1840-04-08				f					\N
540	359	1864	91	89		A Supplement to an act incorporating the borough of New Columbus	1864-03-25				f					\N
541	359	1840	375	151		To authorize the administrators of the estate of Washington E. Pettit, to make and execute a deed to John Rutan, and to incorporate the town of Millsborough, in Washington county, into a borough	1840-04-16				f					\N
542	359	1933	818	136		To amend the act, approved the fourth day of May, one thousand nine hundred and twenty-seven (Pamphlet Laws, five hundred nineteen), entitled "An act concerning boroughs; and revising, amending, and consolidating the law relating to boroughs," as amended, by further regulating the affairs of boroughs; and amending and revising the laws relating thereto, and altering the requirements regulating publication of auditors' notice	1933-05-18				f					\N
543	447	15	469	1910		To erect Uniontown, in the County of Fayette, into a borough	1796-04-04				f					\N
544	359	1853	524	313		To appoint commissioners to run and mark the County Lines between York, Cumberland and Adams Counties; to an Election District in Jefferson county; to the Shrewsbury and Hopewell Plank Road company; to the Union Church of Warrington, York county; laying out a State Road from the Brookville and Tionesta State road to George Catz's lane; to Railroads and Plank Roads in Clarion county; to the Division Line between Lycoming and Tioga counties; to the Tioga Improvement company; to Auctions in Fayette county; to the Tioga and Elmira Plank Road company; to a State Road in Westmoreland county; authorizing Franklin Stewart to sell certain Real Estate; to the Accounts of Samuel J. Rankin, of Indiana county; to an Election District in Tioga county; to the Estate of John Knox, deceased; and relative to the Claim of David and Andrew Clark, of Columbia county	1853-04-18				f					\N
545	359	1973	239	65		Amending the act of April 13, 1972 (P.L.184, No.62), entitled "An act giving municipalities the right and power to adopt home rule charters or one of several optional plans of government and to exercise the powers and authority of local self-government subject to certain restrictions and limitations; providing procedures for such adoption and defining the effect thereof," allowing a government study commission eighteen months to report if it proposes a home rule charter	1973-07-27				f					\N
546	358	1821-1822	38	33		A Supplement to the act, entitled "An act to erect the town of Berlin, in Somerset county, into a borough"	1822-02-27				f					\N
547	359	1856	347	370		To appoint commissioners to run and mark the county lines between Wayne and Pike	1856-04-15				f					\N
548	359	1848	443	320		Authorizing the sale of certain real estate, and relative to the collection of taxes in certain townships in Monroe, Berks and Lancaster counties, and certain school districts in Butler, Franklin, Mifflin, Indiana and Schuylkill counties	1848-04-10				f					\N
549	359	1861	2	2		Extending the provisions of the act of eighteen hundred and fifty-one, to the borough of Green Castle	1861-01-09				f					\N
550	449	18	1075	3076		For the better establishing and confirming the boundaries of the town and out lots of the town of Indiana	1809-03-29				f					\N
551	359	1849	260	215		Appointing commissioners to run and mark the division line between Lycoming and Tioga, and Blair and Cambria counties, and relative to fixing the corner of Indiana, Cambria and Clearfield, Berks and Schuylkill counties	1849-03-29				f					\N
552	359	1860	525	433		To annex a part of the township of West Penn, in the county of Schuylkill, to the borough of Tamaqua	1860-04-02				f					\N
553	359	1854	794	719		To erect the town of Patterson, in the county of Juniata, into a borough; authorizing the sale of certain real estate in Lebanon county, and relative to the collection of taxes in Franklin county	1853-03-17				f					\N
554	358	1824-1825	116	69		To incorporate the town of New Castle, in the county of Mercer, and the town of Blairsville, in the county of Indiana	1825-03-25				f					\N
555	358	1820-1821	67	42		To erect the town of Berlin in Somerset county, into a borough	1821-02-27				f					\N
556	359	1840	66	21		To divide the township of Germantown, into two distinct wards, and for other purposes	1840-02-27				f					\N
557	358	1814-1815	119	79		To extend the boundaries of Lycoming county	1815-03-11				f					\N
558	359	1833-1834	209	125		To erect Brookville, Armagh, Shrewsbury and Greenfield into boroughs; and to alter the act incorporating the borough of Meadville	1834-04-09				f					\N
559	359	1853	302	203		To extend the limits of the borough of Frankford, in the county of Philadelphia, and to review a certain part of a state road in Chester and Berks counties	1853-04-05				f					\N
560	358	1814-1815	29	26		To erect Pottstown, in the County of Montgomery, into a borough	1815-02-06				f					\N
561	359	1864	464	402		A supplement to an act for the changing of the boundary line, between the borough of Jamestown and Crawford county, approved the twentieth day of April, Anno Domini one thousand eight hundred and fifty-three	1864-04-18				f					\N
563	359	1854	417	413		Relative to certain school districts in Mifflin and Juniata counties	1854-04-20				f					\N
564	359	1852	51	48		Appointing commissioners to run and mark the boundary line between Lancaster and Lebanon counties	1852-02-13				f					\N
565	359	1840	666	251		Regulating Election Districts, and for other purposes	1840-06-13				f					\N
566	359	1855	177	193		To ascertain and fix the dividing line between the counties of Berks and Schuylkill, and to legalize in part the report of commissioners appointed to ascertain and fix the dividing line between the counties of Berks and Schuylkill, under the provisions of an act of assembly, approved on the fifteenth day of April, Anno Domini one thousand eight hundred and fifty, and the supplement thereto, approved April twenty-fifth, Anno Domini one thousand eight hundred and fifty-four	1855-04-05				f					\N
567	447	5	70	377		For erecting part of the Province of Pennsylvania westward of Susquehanna and southeastward of the south mountain into a county	1749-08-19J		1750-08-02J		f					\N
568	359	1848	303	249		To incorporate the village of West Elizabeth, in the county of Allegheny, into a borough	1848-03-30				f					\N
569	359	1853	57	53		Authorizing the Governor to incorporate the Strasburg and Willow Street turnpike road company; relative to the Lafayette railroad company; and to the collection of taxes in Warwick township, Lancaster county	1853-02-09				f					\N
570	359	1842	217	78		To authorize the Governor to incorporate a company for making an artificial road from the Monongahela and Coal Hill Turnpike Road, near the top of Coal Hill, in the county of Allegheny, to Beallville, in Washington county, and for other purposes	1842-04-04				f					\N
571	359	1907	377	271		A Supplement to an act, approved April twenty-eighth, one thousand nine hundred three, entitled "An act for the annexation of any city, borough, township, or part of a township, to a contiguous city, and providing for the indebtedness of the same;" providing for the preservation of rights of creditors and of liens, and for funding the debt of the municipality or school district annexed	1907-06-01				f					\N
