sourceid	sourcetype	sourceshort	sourceshortpart	sourcebookshort	sourceurlsubstitute	sourcegovernment	sourcelawtype	sourceperson	sourcesectiontitle	sourcetitle	sourceidentifier	sourcepublisherlocation	sourcepublisher	sourcepublisheryear	sourcelawisbynumber	sourcelawhasspecialsession	sourceabbreviationverified	sourcetemporarynote
325	newspapers	Mount Carmel Daily News			325	{4734}				Daily News		Mount Carmel, Pa.			f	f	f	
326	newspapers	Mount Carmel Item			326	{4734}				Mount Carmel (Pa.) Item					f	f	f	
328	session laws	N.Y. Laws			328	{34}	Act	New York		Laws of the State of New York					f	f	f	
329	newspapers	Nazareth Item			329	{4768}				Nazareth (Pa.) Item					f	f	f	
330	county histories	Negley 1876			330	{2288}		Negley, W. B.	Allegheny County; its Formation, its Cities, Wards, Boroughs and Townships	Atlas of the County of Allegheny, Penna.	Plate 4	Philadelphia, Pa.	G. M. Hopkins	1876	f	f	f	
331	newspapers	New Bethlehem Leader-Vindicator			331	{4781}				New Bethlehem (Pa.) Leader-Vindicator					f	f	f	
332	municipal publications	New Castle 1907			332	{4786}		New Castle (Pa.)		General Ordinances of the City of New Castle, Pennsylvania, in force April 1, 1907: with an appendix containing franchise ordinances		New Castle, Pa.		1907	f	f	f	
333	newspapers	New Castle News			333	{4786}				New Castle (Pa.) News					f	f	f	
334	newspapers	New Wilmington Globe			334	{4814}				Globe		New Wilmington, Pa.			f	f	f	
335	newspapers	Norristown Times Herald			335	{4836}				Times Herald		Norristown, Pa.			f	f	f	
336	newspapers	Norristown Daily Herald			336	{4836}				Norristown (Pa.) Daily Herald					f	f	f	
337	court reporters	North. Cty. Rep.			337	{2334}				Northampton County Reporter					f	f	f	
338	court reporters	Northumberland L. J.			338	{2335}				Northumberland Legal Journal					f	f	f	
340	session laws	Ohio Laws			340	{37}	Act	Ohio		General and Local Laws and Joint Resolutions Passed by the General Assembly					f	f	f	
341	session laws	Ohio Laws	(J. Res.)		340	{37}	Joint Resolution	Ohio		General and Local Laws and Joint Resolutions Passed by the General Assembly					f	f	f	
342	municipal publications	Oil City 1907			342	{4902}		Speer, Peter M.		A Digest of the Ordinances and Principal Resolutions for the Government of the City of Oil City, in Venango County, Pennsylvania, in force January 1st, 1907			Derrick Publishing Company	1907	f	f	f	
344	state publications	Pa. Arc.			344	{40}									f	f	f	
345	state agency files	Pa. Dep't St. Cns. Cls. F.	(St.Arc. 26.144)		345	{40}		Pennsylvania Department of State, Bureau of Commissions, Elections, and Legislation		Census and Classification Files, 1960-2000	Pennsylvania State Archives Record Series 26.144, Slot Location 7-2530, Carton 1				f	f	f	
346	court reporters	Pa.			346	{40}		Pennsylvania		Pennsylvania State Reports: containing cases adjudged in [decided by] the Supreme Court of Pennsylvania					f	f	f	
347	court reporters	Pa. C.			347	{40}		T. &amp; J. W. Johnson Co.		Pennsylvania County Court Reports: containing cases decides in the courts of the several counties of the Commonwealth of Pennsylvania		Philadelphia, Pa.	T. &amp; J. W. Johnson &amp; Co.; George T. Bisel Co.	1886-1921	f	f	f	
348	court reporters	Pa. Commw.			348	{40}		Pennsylvania		Pennsylvania Commonwealth Court Reports					f	f	f	
349	court reporters	Pa. D.			349	{40}		Page, Howard W.		District reports of cases decided in all the judicial districts of the State of Pennsylvania					f	f	f	
350	court reporters	Pa. D. & C.			350	{40}		Page, Howard W.		District and county reports : containing cases decided in all the judicial districts of the State of Pennsylvania					f	f	f	
352	court reporters	Pa. Super.			352	{40}		Pennsylvania		Pennsylvania Superior Court Reports					f	f	f	
353	state agency files	Pa. Dep't Educ. Ax. F.		DOE.Anx.F.	353	{40}		Pennsylvania Department of Public Instruction [or Education], State Board of Education		Annexation Files					f	f	f	
354	state agency files	Pa. Dep't Educ. Ax. F.	(St.Arc. 22.102)	DOE.Anx.F.	354	{40}		Pennsylvania Department of Public Instruction, Superintendent		General and Administrative Correspondence, 1936-1964	Pennsylvania State Archives Record Series 22.102, Accession 328 [1940-1964]				f	f	f	
355	state agency files	Pa. Dep't Educ. Ax. F.	(St.Arc. 22.120) (1924-35)	DOE.Anx.F.	355	{40}		Pennsylvania Department of Public Instruction, Superintendent		School District Annexation and Appropriation File, 1924-1966	Pennsylvania State Archives Record Series 22.120, Accession 338 [1924-1935]				f	f	f	
356	state agency files	Pa. Dep't Educ. Ax. F.	(St.Arc. 22.120) (1930-39)	DOE.Anx.F.	356	{40}		Pennsylvania Department of Public Instruction, Superintendent		School District Annexation and Appropriation File, 1924-1966	Pennsylvania State Archives Record Series 22.120, Accession 338 [1930-1939]				f	f	f	
357	state agency files	Pa. Dep't Educ. Ax. F.	(St.Arc. 22.120) (1940-66)	DOE.Anx.F.	357	{40}		Pennsylvania Department of Public Instruction, Superintendent		School District Annexation and Appropriation File, 1924-1966	Pennsylvania State Archives Record Series 22.120, Accession 378 [1940-1966]				f	f	f	
358	session laws	Pa. Laws	(-1826)		358	{40}	Act	Pennsylvania		Acts of the General Assembly of the Commonwealth of Pennsylvania					f	t	f	
359	session laws	Pa. Laws	(1827-)		359	{40}	Act	Pennsylvania		Laws of the General Assembly of the Commonwealth of Pennsylvania					t	t	f	
360	session laws	Pa. Laws	(1827-) (Appendix)		359	{40}	Appendix	Pennsylvania		Laws of the General Assembly of the Commonwealth of Pennsylvania					t	t	f	
361	session laws	Pa. Laws	(1827-) (Res.)		359	{40}	Resolution	Pennsylvania		Laws of the General Assembly of the Commonwealth of Pennsylvania					f	t	f	
362	session laws	Pa. Laws App'x			359	{40}	Proclamation	Pennsylvania		Laws of the General Assembly of the Commonwealth of Pennsylvania					f	t	f	
363	session laws	Pa. Laws	(1827-) (Constitution)		359	{40}	Constitution	Pennsylvania		Laws of the General Assembly of the Commonwealth of Pennsylvania					t	t	f	
364	cadastral maps	Paschall 1856			364	{2346}		Paschall, Thomas H.		Map of Union County, Pennsylvania: entirely from original surveys	Library of Congress Land Ownership Map 802	Philadelphia, Pa.	Th. Leonhardt &amp; J. H. Camp	1856	f	f	f	
368	newspapers	Pennsburg Town & Country			368	{4982}				Town and Country		Pennsburg, Pa.			f	f	f	
372	municipal publications	Pitts. 1908			372	{5875}		McElroy, Robert T., et al.		A Digest of the Acts of Assembly Relating to and the General Ordinances of the City of Pittsburgh from 1804 to Nov. 12, 1908: with references to decisions thereon			Market Review Publishing Co.		f	f	f	
373	newspapers	Pitts. Daily Gaz.			373	{5029}				Pittsburgh (Pa.) Daily Gazette					f	f	f	
375	newspapers	Pitts. Gaz. Times			375	{5029}				Pittsburgh (Pa.) Gazette Times					f	f	f	
376	municipal publications	Pitts. M.			376	{5875}		Pittsburgh (Pa.)		Municipal Record					f	f	f	
377	newspapers	Pitts. Post-Gaz.			377	{5029}				Pittsburgh (Pa.) Post-Gazette					f	f	f	
378	newspapers	Pitts. Press			378	{5029}				Pittsburgh (Pa.) Press					f	f	f	
379	newspapers	Phila. Bull.			379	{5002}				Cummings' Evening Bulletin		Philadelphia, Pa.			f	f	f	
380	newspapers	Phila. Inq.			380	{5002}				Philadelphia (Pa.) Inquirer					f	f	f	
381	municipal publications	Phila. J.			381	{2337,5002}		Philadelphia (Pa.) Common Council		Journal of the Common Council of the City of Philadelphia					f	f	f	
382	municipal publications	Phila. Op.			382	{2337,5002}		Philadelphia (Pa.)	Opinions of the City Solicitor	Ordinances of the City of Philadelphia and Opinions of the City Solicitor					f	f	f	
383	municipal publications	Phila. Ords			383	{2337,5002}		Philadelphia (Pa.)	Ordinances	Ordinances of the City of Philadelphia and Opinions of the City Solicitor					f	f	f	
384	newspapers	Phila. Press			384	{5002}				Philadelphia (Pa.) Press					f	f	f	
385	municipal publications	Phila. Rep.			385	{2337,5002}		Philadelphia (Pa.)		Annual message of the Mayor of Philadelphia containing the reports of the various departments of the City of Philadelphia					f	f	f	
386	municipal publications	Phila. Rep. Surv.			386	{2337,5002}		Philadelphia (Pa.)		Annual Message of the Mayor of the City of Philadelphia, with the annual reports of the Director of the Department of Public Works and of the Chief of the Bureau of Surveys					f	f	f	
387	court reporters	Pitts. L. J.			387	{2288}				Pittsburgh Legal Journal					f	f	f	
388	newspapers	Stroudsburg Pocono Rec.			388	{5429}				Pocono Record		Stroudsburg, Pa.			f	f	f	
391	census correspondence	Pre-1940 Cns. Eng'r Corr.			391	{1}		U.S. Department of Commerce, Bureau of the Census, Geography Division		Copies of Pre-1940 Engineer Letters, compiled ca. 1903 - 1940	National Archives Record Group 29, Entry Number UD 101, ARC Identifier 5634450				f	f	f	
393	census correspondence	Pre-1950 Cns. St. Hist.			393	{1}		U.S. Department of Commerce, Bureau of the Census, Geography Division		Copies of Pre-1950 State Histories, compiled ca. 1930 - 1950	National Archives Record Group 29, Entry Number UD 102, ARC Identifier 5634454				f	f	f	
395	session laws	Pa. Prov. Cnl	1/2		395	{40}	Order	Pennsylvania		Minutes of the Provincial Council of Pennsylvania, from the Organization to the Termination of the Proprietary Government		Philadelphia, Pa.	Jo. Severns &amp; Co.	1852	t	f	f	
396	newspapers	Pottstown Mercury			396	{5082}				Pottstown (Pa.) Mercury					f	f	f	
397	state agency reports	Pa. Dep't Pub. Instruction Rep.			397	{40}		Pennsylvania Department of Public Instruction, Superintendent		Report of the Superintendent of Public Instruction of the Commonwealth of Pennsylvania					f	f	f	
398	newspapers	Phila. Public Ledger			398	{5002}				Public Ledger		Philadelphia, Pa.			f	f	f	
399	almanacs	Phila. Public Ledger Almanac			399	{5002}									f	f	f	
400	newspapers	Punxsutawney Spirit			400	{5094}				Punxsutawney (Pa.) Spirit					f	f	f	
402	newspapers	Clearfield Raftman's J.			402	{3634}				Raftman's Journal		Clearfield, Pa.			f	f	f	
404	cadastral maps	Rainey 1898			404	{2288}		Rainey, Chas. T. (Charles T.)		Farm line map of Allegheny County, Pennsylvania	Library of Congress Land Ownership Map 704	Pittsburgh, Pa.?		1898	f	f	f	
407	newspapers	Reading Eagle			407	{5114}				Reading (Pa.) Eagle					f	f	f	
410	county histories	Roberts 1914			410	{2325}		Roberts, Charles Rhoads, John Baer Stoudt, Thomas H. Krick, and William J. Dietrich		History of Lehigh County, Pennsylvania, and a genealogical and biographical record of its families		Allentown, Pa.	Lehigh Valley Publishing Company, Ltd.	1914	f	f	f	
417	cadastral maps	Schooley 1864			417	{2326}		Schooley, David, Captain		Map of the county of Luzerne, Pennsylvania	Library of Congress Land Ownership Map 768	New York, N.Y.	Lacoe &amp; Schooley	1864	f	f	f	
427	newspapers	Scranton Tribune			427	{5245}				Scranton (Pa.) Tribune					f	f	f	
428	legislative journals	U.S. Ser. Set			428	{1}		U.S. Congress		United States Congressional Serial Set		Washington, D.C.			f	f	f	
429	newspapers	Sharon Herald			429	{5265}				Herald		Sharon, Pa.			f	f	f	
434	cadastral maps	Sidney & Neff 1851			434	{2288}		Sidney &amp; Neff		Map of Allegheny County, Pennsylvania, with the names of property-holders: from actual surveys	Library of Congress Land Ownership Map 699	Philadelphia, Pa.	S. Moody, agent, Sidney &amp; Neff	1851	f	f	f	
436	session laws	Pa. Smith's Laws			436	{40}	Act	Pennsylvania		Laws of the Commonwealth of Pennsylvania from the fourteenth day of October, one thousand seven hundred: republished under the authority of the legislature with notes and references		Philadelphia, Pa.	John Bioren	1810-1822	f	f	f	
443	newspapers	Souderton Indep.			443	{5324}				Souderton (Pa.) Independent					f	f	f	
446	session laws	Pa. Stat. at Large	(1682-1700)		446	{40}	Act	Cable, Robert L.		Statutes at Large of Pennsylvania from 1682 to 1700		Harrisburg, Pa.	Legislative Reference Bureau	2001	f	f	f	
447	session laws	Pa. Stat. at Large	(1700-1801)		447	{40}	Act	Mitchell, James T., and Henry Flanders		Statutes at Large of Pennsylvania from 1682 to 1801: compiled under the authority of the act of May 19, 1887		Harrisburg, Pa.	State Printer	1896-1911	f	f	f	
448	session laws	Pa. Stat. at Large	(1802-1805)		448	{40}	Act	Mitchell, James T., J. Willis Martin, and Hampton L. Carson		Statutes at Large of Pennsylvania from 1802 to 1805: compiled under the authority of the act of July 25, 1913		Harrisburg, Pa.	Wm. Stanley Ray [State Printer]	1915	f	f	f	
449	session laws	Pa. Stat. at Large	(1806-1809)		449	{40}	Act	Mitchell, James T., J. Willis Martin, and Hampton L. Carson		Statutes at Large of Pennsylvania from 1806 to 1809: compiled under the authority of the act of July 25, 1913		Harrisburg, Pa.	Wm. Stanley Ray [State Printer]	1915	f	f	f	
450	newspapers	Steelton Rep.			450	{5409}				Steelton (Pa.) Reporter					f	f	f	
451	county histories	Stewart 1913			451	{2318}		Stewart, Joshua Thompson		Indiana County, Pennsylvania; her people, past and present, embracing a history of the county		Chicago, Ill.	J. H. Beers &amp; Co.	1913	f	f	f	
452	county histories	Stocker 1887			452	{2344}		Stocker, Rhamanthus M.		Centennial History of Susquehanna County, Pennsylvania		Philadelphia, Pa.	R. T. Peck &amp; Co.	1887	f	f	f	
453	county histories	Storey 1907			453	{2297}		Storey, Henry Wilson		History of Cambria County, Pennsylvania, with genealogical memoirs		New York, N.Y.	Lewis Publishing Company	1907	f	f	f	
454	county histories	Streby Cherry 1903			454	{2343}		Streby, George, and Clara A. Streby		History of Cherry Township. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1903	f	f	f	
455	county histories	Streby Colley 1903			455	{2343}		Streby, George, and Clara A. Streby		History of Colley Township. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1903	f	f	f	
456	county histories	Streby Davidson 1903			456	{2343}		Streby, George, and Clara A. Streby		History of Davidson Township. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1903	f	f	f	
457	county histories	Streby Dushore 1903			457	{2343}		Streby, George		History of Dushore Borough. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1903	f	f	f	
458	county histories	Streby Elkland 1904			458	{2343}		Streby, George		History of Elkland Tonwnship. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1904	f	f	f	
459	county histories	Streby Forks 1904			459	{2343}		Streby, George		History of Forks Township and Forksville Boro. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1904	f	f	f	
460	county histories	Streby LaPorte 1904			460	{2343}		Streby, George		History of LaPorte Township and LaPorte Borough. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1904	f	f	f	
461	county histories	Streby Hillsgrove 1905			461	{2343}		Streby, George		History of Hillsgrove Township. Including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1905	f	f	f	
462	county histories	Streby Shrewsbury 1905			462	{2343}		Streby, George		History of Eagles Mere Borough and Shrewsbury Township, including the early settlements together with biographical sketches and statistics and matters of general interest		Dushore, Pa.	Sullivan Gazette Print	1905	f	f	f	
463	newspapers	Laporte Sullivan Cty. Dem.			463	{4415}				Sullivan County Democrat		Laporte, Pa.			f	f	f	
464	newspapers	Sunbury Daily Item			464	{5449}				Daily Item		Sunbury, Pa.			f	f	f	
466	newspapers	Tamaqua Evening Courier			466	{5465}				Evening Courier		Tamaqua, Pa.			f	f	f	
468	newspapers	Tarentum Valley Daily News			468	{5466}				Valley Daily News		Tarentum, Pa.			f	f	f	
471	court reporters	U.S.			471	{1}				United States Reports					f	f	f	
472	session laws	Stat.			472	{1}	Act	U.S. Congress		United States Statutes at Large					f	f	f	
473	federal agency files	USGS GNIS			473	{1}		U.S. Department of the Interior, Geological Survey, Board on Geographic Names		Geographic Names Information System (GNIS)		Reston, Va.			f	f	f	
474	newspapers	Wilkes-Barre Rec.			474	{5814}				Wilkes-Barre (Pa.) Record					f	f	f	
475	court reporters	Watts & Serg.			475	{40}									f	f	f	
476	court reporters	W. N. C.			476	{40}				Weekly Notes of Cases argued and determined in the Supreme Court of Pennsylvania, Superior Court of Pennsylvania, the County Courts of Philadelphia, and the United States District and Circuit Courts for the Eastern District of Pennsylvania					f	f	f	
477	session laws	W. Va. Acts			477	{50}	Act	West Virginia		Acts of the Legislature of West Virginia					f	f	f	
479	court reporters	Walk.			479	{40}		Walker, Lewis B.		Reports of cases decided by the Supreme Court of Pennsylvania which have been omitted from the regular reports					f	f	f	
484	cadastral maps	Walling Centre 1861			484	{2300}		Walling, Henry Francis		Topographical map of Centre Co., Pennsylvania: from actual surveys	Library of Congress Land Ownership Map 721	New York, N.Y.	S. D. Tilden	1861	f	f	f	
485	cadastral maps	Walling Lycoming 1861			485	{2327}		Walling, Henry Francis		Topographical map of Lycoming County, Pennsylvania: from actual surveys	Library of Congress Land Ownership Map 769	New York, N.Y.	S. D. Tilden	1861	f	f	f	
487	newspapers	Wash. Daily Observer			487	{5654}				Washington (Pa.) Daily Observer					f	f	f	
488	newspapers	Wash. Observer-Rep.			488	{5654}				Observer-Reporter		Washington, Pa.			f	f	f	
489	newspapers	Wash. Rep.			489	{5654}				Washington (Pa.) Reporter					f	f	f	
491	county histories	Waterman 1884			491	{2291,2315,2342}				History of Bedford, Somerset and Fulton Counties, Pennsylvania: with illustrations and biographical sketches of some of its pioneers and prominent men		Chicago, Ill.	Waterman, Watkins &amp; Co.	1884	f	f	f	
492	county histories	Franklin 1887			492	{2314}				History of Franklin County, Pennsylvania		Chicago, Ill.	Warner, Beers &amp. Co.	1887	f	f	f	
495	newspapers	Wellsboro Agitator			495	{5706}				Agitator		Wellsboro, Pa.			f	f	f	
496	county publications	Wendling 1992			496	{2351}		Wendling, Gerald P.		Birth of Westmoreland County, February 26, 1773		Greensburg, Pa.	Westmoreland County Tax Office	1 January 1992	f	f	f	
500	newspapers	Woodlawn Gaz.			500	{3268}				Woodlawn (Pa.) Gazette					f	f	f	
501	newspapers	Woodlawn News			501	{3268}				Woodlawn (Pa.) News					f	f	f	
502	federal agency files	Pa. WPA			502	{40}		U.S. Work Projects Administration, Pennsylvania Historical Survey		Inventory of County Archives of Pennsylvania, 1937-1942, 1946, 1950	Pennsylvania State Archives Record Series 13.108.117				f	f	f	
503	municipal publications	York 1907			503	{5875}		York (Pa.)		A Digest of the Laws and Ordinances for the government of the municipal corporation of the City of York, Pennsylvania, in force January 1, A. D. 1907		Newark, N.J.	Soney &amp; Sage	1907	f	f	f	
504	newspapers	York Dispatch			504	{5875}				York (Pa.) Dispatch					f	f	f	
505	newspapers	York Gaz. & Daily			505	{5875}				Gazette and Daily		York, Pa.			f	f	f	
506	court reporters	York Legal Rec.			506	{2353}				York Legal Record					f	f	f	
507	county histories	Yoset Bor.			507	{2306}		Yoset, Thomas L.	Historical Borough Boundaries	Crawford County, Pennsylvania History					f	f	f	
508	county histories	Yoset Twp.			508	{2306}		Yoset, Thomas L.	Historical Township Boundaries	Crawford County, Pennsylvania History					f	f	f	
509	newspapers	Youngstown Vindicator			509	{11703}				Vindicator		Youngstown, Ohio			f	f	f	
510	newspapers	Asbury Park Sun			510	{7038}				Asbury Park (N.J.) Sun					f	f	f	
511	newspapers	Boonton Times-Bull.			511	{7072}				Times-Bulletin		Boonton, N.J.			f	f	f	
512	newspapers	Cranford Chronicle			512	{7124}				Cranford (N.J.) Chronicle					f	f	f	
513	newspapers	Cranford Citizen			513	{7124}				Cranford (N.J.) Citizen					f	f	f	
514	newspapers	Cranford Citizen & Chronicle			514	{7124}				Citizen and Chronicle		Cranford, N.J.			f	f	f	
515	newspapers	Woodbury Gloucester Cty. Times			515	{7588}				Gloucester County Times		Woodbury, N.J.			f	f	f	
516	state agency reports	Godfrey 1935			516	{32}		Godfrey, Carlos E.		Commission and Manager Government Elections		Trenton, N.J.	New Jersey Public Record Office	15 February 1935	f	f	f	
517	newspapers	Jamesburg Rec.			517	{7260}				Jamesburg (N.J.) Record					f	f	f	
532	atlases	Bromley 1912-1913			532	{1818}		Bromley, George Washington, and Walter Scott Bromley		Atlas of Bergen County, New Jersey . . . From actual surveys and official plans, by George W. and Walter S. Bromley	Library of Congress Atlas 15682	Philadelphia, Pa.	G. W. Bromley &amp; Co.	1912-1913	f	f	f	
723	municipal publications	Madison ERI 2011			723	{7306}		Madison Environmental Commission, and H2M Associates, Inc.	Accessed 30 July 2013	Madison Borough Environmental Resources Inventory				December 2011	f	f	f	
724	newspapers	Matawan J.			724	{7323}				Matawan (N.J.) Journal					f	f	f	
726	court reporters	N.J.L.			726	{32}		New Jersey		New Jersey Law Reports					f	f	f	
727	session laws	N.J. Laws			727	{32}	Act	New Jersey		Acts of the Legislature of the State of New Jersey					f	f	f	
728	session laws	N.J. Laws	(Exec. Order)		727	{32}	Executive Order	New Jersey		Acts of the Legislature of the State of New Jersey					t	f	f	
729	session laws	N.J. Laws	(J. Res.)		727	{32}	Joint Resolution	New Jersey		Acts of the Legislature of the State of New Jersey					t	f	f	
730	session laws	N.J. Laws	(Proclamation)		727	{32}	Proclamation	New Jersey		Acts of the Legislature of the State of New Jersey					t	f	f	
731	session laws	N.J. Laws	(Reorganization Plan)		727	{32}	Reorganization Plan	New Jersey		Acts of the Legislature of the State of New Jersey					t	f	f	
732	session laws	N.J. Laws	(Statutory Filing)		727	{32}	Statutory Filing	New Jersey		Acts of the Legislature of the State of New Jersey					t	f	f	
734	revised laws	N.J. Rev. Stat.			734	{32}	Act	New Jersey		New Jersey Revised Statutes					f	f	f	
735	state agency reports	NJGIN 2013			735	{32}		New Jersey Office of Information Technology, Office of GIS		Municipal, county and state boundaries data available for New Jersey	Accessed 30 July 2013			18 March 2013	f	f	f	
736	newspapers	North & South Brunswick Sentinel			736	{7378,7493}				Sentinel		North Brunswick and South Brunswick, N.J.			f	f	f	
737	newspapers	Seaside Heights Ocean Cty. Review			737	{7480}				Ocean County Review		Seaside Heights, N.J.			f	f	f	
738	state agency reports	N.J. OMCL			738	{32}		New Jersey County and Municipal Government Study Commission	A Chronological History of Actions uner the Optional Municipal Charter Law (Faulkner Act) since its inception in 1950	Records, ca. 1967-1992	New Jersey State Archives Control No. SZCUG001, Box 25 (Research files: Modern Forms of Municipal Government)			1988?	f	f	f	
739	state agency reports	Snyder 1969			739	{32}		Snyder, John P.		Story of New Jersey's Civil Boundaries, 1606-1968	New Jersey Geological Survey Bulletin 67	Trenton, N.J.	New Jersey Bureau of Geology and Topography	1969	f	f	f	
740	state agency reports	Snyder 1988			740	{32}		Snyder, John P.		Supplement to New Jersey Geological Survey Bulletin 67, The Story of New Jersey's Civil Boundaries, 1606-1968		[Trenton, N.J.]	New Jersey Department of Environmental Protection, Division of Water Resources, Geological Survey	1988	f	f	f	
741	newspapers	Woodbury Const.			741	{7588}				Woodbury (N.J.) Constitution					f	f	f	
748	session laws	Mich. Pub. Acts			748	{24}	Act	Michigan		Public and Local Acts of the Legislature of the State of Michigan					f	f	f	
751	newspapers	Hazleton Plain Speaker			751	{4210}				Plain Speaker		Hazleton, Pa.			f	f	f	
752	session laws	Stat. App'x			472	{1}	Act	U.S. Congress		United States Statutes at Large					f	f	f	
753	newspapers	Hazleton Standard-Sentinel			753	{4210}				Standard-Sentinel		Hazleton, Pa.			f	f	f	
756	court reporters	Bucks Cty. L. Rep.			756	{2295}				Bucks County Law Reporter					f	f	f	
757	court reporters	Westmoreland L. J.			757	{2351}				Westmoreland Law Journal					f	f	f	
760	session laws	Del. Laws	(J. Res.)		136	{9}	Joint Resolution	Delaware		Laws of the State of Delaware					f	f	f	
762	session laws	Stat.	(J. Res.)		472	{1}	Joint Resolution	U.S. Congress		United States Statutes at Large					t	f	f	
773	session laws	Stat.	(Proclamation)		472	{1}	Proclamation	U.S. Congress		United States Statutes at Large					t	f	f	
885	research databases	Newberry Comprehensive			885	{1}			Comprehensive Database	Atlas of Historical County Boundaries		Chicago, Ill.	Newberry Library	2010	f	f	f	
886	research databases	Newberry GIS Counties			886	{1}		Siczewicz, Peter, comp.	U.S. Historical Counties	Atlas of Historical County Boundaries		Chicago, Ill.	Newberry Library	2011	f	f	f	
887	research databases	Newberry GIS States			887	{1}		Siczewicz, Peter, comp.	U.S. Historical States and Territories	Atlas of Historical County Boundaries		Chicago, Ill.	Newberry Library	2011	f	f	f	
889	state agency reports	Pa. Internal Affairs 1965			889	{40}		Pennsylvania Department of Internal Affairs, Bureau of Municipal Affairs		Incorporation Dates for Pennsylvania Municipalities		[Harrisburg, Pa.]		1965	f	f	f	
893	newspapers	Mercer Dispatch & Repub.			893	{4635}				Mercer (Pa.) Dispatch and Republican					f	f	f	
894	newspapers	Homestead News-Messenger			894	{4248}				News-Messenger		Homestead, Pa.			f	f	f	
895	session laws	Stat.	(Declaration)		472	{1}	Declaration	U.S. Congress		United States Statutes at Large					t	f	f	
896	federal agency reports	Green Brook 2012			896	{32}									f	f	f	
897	newspapers	Harrisburg Telegraph			897	{4190}				Harrisburg (Pa.) Telegraph					f	f	f	
898	newspapers	Harrisburg Evening News			898	{4190}				Evening News		Harrisburg, Pa.			f	f	f	
899	county histories	Meginness 1895			899	{2327}		Meginness, John F.		Lycoming County: its organization and condensed history for one hundred years		Williamsport, Pa.	Gazette and Bulletin Printing House	1895	f	f	f	
901	county histories	Heller 1920			901	{2334}		Heller, William J., ed.		History of Northampton County, [Pennsylvania], and the Grand Valley of the Lehigh		Boston, Mass.	American Historical Society	1920	f	f	f	
902	court reporters	Somerset Legal J.			902	{2342}				Somerset Legal Journal					f	f	f	
910	session laws	Mich. Pub. Acts App'x. City			748	{24}	Boundary Filing	Michigan		Public and Local Acts of the Legislature of the State of Michigan					t	f	f	
919	court reporters	Schuylkill Legal Rec.			919	{2340}				Schuylkill Legal Record					f	f	f	
921	newspapers	Ebensburg Cambria Tribune			921	{3914}				Cambria Tribune		Ebensburg, Pa.			f	f	f	
923	newspapers	Ebensburg Cambria Freeman			923	{3914}				Cambria Freeman		Ebensburg, Pa.			f	f	f	
925	newspapers	Germantown Telegraph			925	{5002}				Germantown Telegraph		Philadelphia, Pa.			f	f	f	
932	newspapers	Wilkes-Barre Weekly Times			932	{5814}				Wilkes-Barre (Pa.) Weekly Times					f	f	f	
933	newspapers	Scranton Rep.			933	{5245}				Scranton (Pa.) Republican					f	f	f	
934	newspapers	Brownsville Telegraph			934	{3492}				Brownsville (Pa.) Telegraph					f	f	f	
938	newspapers	Mansfield Advertiser			938	{4585}				Mansfield (Pa.) Advertiser					f	f	f	
940	newspapers	Tyrone Herald			940	{5539}				Tyrone (Pa.) Herald					f	f	f	
942	newspapers	Lebanon Courier			942	{4431}				Lebanon (Pa.) Courier					f	f	f	
943	newspapers	Pitts. Gaz.			943	{5029}				Pittsburgh (Pa.) Gazette					f	f	f	
945	newspapers	New Castle Lawrence J.			945	{4786}				Lawrence Journal		New Castle, Pa.			f	f	f	
947	newspapers	Reading Berks & Schuylkill J.			947	{5114}				Berks and Schuylkill Journal		Reading, Pa.			f	f	f	
951	newspapers	Bedford Gaz.			951	{3367}				Bedford (Pa.) Gazette					f	f	f	
955	newspapers	Reynoldsville Star			955	{5126}				Star		Reynoldsville, Pa.			f	f	f	
957	newspapers	Camden Courier-Post			957	{7096}				Courier-Post		Camden, N.J.			f	f	f	
960	newspapers	Beaver Daily Times			960	{3356}				Daily Times		Beaver, Pa.			f	f	f	
961	newspapers	Lock Haven Express			961	{4496}				Lock Haven (Pa.) Express					f	f	f	
966	newspapers	Ind. Dem.			966	{4293}				Indiana (Pa.) Democrat					f	f	f	
967	newspapers	Ind. Cty. Gaz.			967	{4293}				Indiana (Pa.) County Gazette					f	f	f	
968	newspapers	Kittanning Leader-Times			968	{4381}				Leader-Times		Kittanning, Pa.			f	f	f	
970	newspapers	Huntingdon Daily News			970	{4280}				Daily News		Huntingdon, Pa.			f	f	f	
976	newspapers	Greensburg Daily Tribune			976	{4141}				Greensburg (Pa.) Daily Tribune					f	f	f	
