governmentsourceid	government	governmentsourcetype	governmentsourcebody	governmentsourcenumber	governmentsourceterm	governmentsourcetitle	governmentsourcepagefrom	governmentsourcepageto	governmentsourcedate	governmentsourcepreliminarydate	governmentsourceapproveddate	governmentsourceeffectivedate	governmentsourceapproved	governmentsourceeffectivenotes	governmentsourceadvertiseddate	source	governmentsourcevolume	sourcecitationvolumetype	governmentsourcevolumetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	governmentsourcename
1529	3451	Ordinance		2658		Providing for the referral to the electorate of the City of Bradford of the election of a Charter Commission to study the charter and form of government of the City of Bradford and to make recommendations thereon			1961-08-07				t			\N							
1530	3451	Ordinance		2674		Approving the matter of annexation of outlots from the west line of the City of Bradford in the Township of Bradford, County of McKean and State of Pennsylvania			1962-02-19				t			\N							
1531	3451	Ordinance		2679		Approving the matter of annexation of outlots from the west line of the City of Bradford in the Township of Foster, County of McKean and State of Pennsylvania			1962-05-15				t			\N							
1532	3451	Ordinance		2751		Approving the matter of annexation of outlots from the west line of the City of Bradford which lots are now located in Bradford Township, County of McKean and State of Pennsylvania			1966-08-01				t			\N							
1533	3451	Ordinance		2764		Approving the matter of annexation of outlots from the north line of the City of Bradford, said lots being located in the Township of Bradford, County of McKean and State of Pennsylvania			1966-11-18				t			\N							
1534	3451	Ordinance		2776		Approving the matter of annexation of outlots from the north line of the City of Bradford, said lots being located in the Township of Foster, County of McKean and State of Pennsylvania			1967-04-17				t			\N							
1535	3451	Ordinance		2782		Approving the matter of annexation of outlots from the West line of the City of Bradford, which lots are now located in the Township of Foster, County of McKean and State of Pennsylvania			1967-08-21				t			\N							
1536	3451	Ordinance		3105					1987-05-26				t			\N							
1537	3451	Ordinance		3116					1987-12-15				t			\N							
1538	3451	Ordinance		384		Annexing to the Borough of Kendall to the City of Bradford			1892-03-11		1892-03-12		t			\N							
1539	3451	Ordinance		429		Annexing certain portions of the Township of Bradford to the City of Bradford			1893-08-07		1893-08-11		t			\N							
1540	3451	Ordinance		785		Annexing certain portions of the Township of Bradford to the City of Bradford			1900-02-28	1900-02-26	1900-03-02		t			\N							
1541	3451	Resolution				[To join a petition for annexation of land in Bradford Township to the City of Bradford]			1959-07-20				t			\N							1
1542	3451	Resolution				[To petition the Court to annex 18.04 acres in Foster Township to the City of Bradford]			1949-03-07				t			\N							2
1543	3451	Resolution				[To petition the Court to annex 26.42 acres in Bradford Township to the City of Bradford]			1949-03-07				t			\N							3
1544	3451	Resolution				[To petition the Court to annex tracts of 15.7 and 6.37 acres in Foster Township to the City of Bradford]			1951-05-21				t			\N							4
1545	3451	Resolution		16432		[Direct City Solicitor to take action]			1983-01-11				t			\N							
1546	3451	Resolution		16455		[Cease action of referendum challenge]			1983-01-25				t			\N							
1547	3454	Final Report	Charter Commission			[Recommending the adoption of a home rule charter for the municipal corporation then known as "The Borough of Bradfordwoods," which was to continue to be a municipal corporation under the same name]			1974-03-14			1975-01-06	t			\N							
1548	3454	Ordinance		237					1972-07-03				t			\N							
1549	3467	Ordinance		271		Annexing a portion of Baldwin Township, Allegheny County, Pennsylvania, to the Borough of Brentwood, Allegheny County, Pennsylvania	407	407	1929-11-21		1929-11-21		t			\N							
1550	3470	Ordinance		100		To annex adjacent land situate in the Township of Upper Merion, County of Montgomery and State of Pennsylvania, to the Borough of Bridgeport said county and state, and to extend the Borough limits so as to include said adjacent land			1927-10-04		1927-10-04		t			\N							
1551	3472	Ordinance		372		Annexing land adjacent to the Borough of Bridgeville and detaching the same from the Township of Upper St. Clair, a second class township, of Allegheny County, Pennsylvania, describing the said land and providing for notice to the proper authorities	3		1949-03-05		1949-03-15		t			\N							
1552	3472	Ordinance		379		Annexing land adjacent to the Borough of Bridgeville and detaching the same from the Township of Upper St. Clair, a second class township, of Allegheny County, Pennsylvania describing the said land and providing for notice to the proper authorities	21		1949-12-06		1949-12-06		t			\N							
1553	3472	Ordinance		418		Annexing land adjacent to the Borough of Bridgeville and detaching the same from the Township of Upper St. Clair, a second class township, of Allegheny County, Pennsylvania, describing the said land and providing for notice to the proper authorities			1952-06-03		1952-06-03		t			\N							
1554	3473	Resolution				[Application be made by Burgess and Town Council to the Court praying that the Borough may be subject to restrictions and possess the powers and privileges conferred by the Act of April 3, 1851]			1859-05-18				t			\N							
1555	3477	Ordinance				Providing for and declaring the annexation and admission into the Borough of Bristol, Bucks County, Pennsylvania, of certain adjacent land, situate in the Township of Bristol, county and state aforesaid, upon a petition of the freehold owner thereof, and extending the limits of the said Borough of Bristol so as to include and annex the said territory adjacent to said borough, the said adjacent territory so annexed comprising a tract of land in Bristol Township, aforesaid, adjacent to the said Borough of Bristol, with a collection of buildings and structures thereon erected, and said territory being described in the petition of the freehold owner thereof; presented to the Borough of Bristol and Town Council thereof, on November 13, 1950; and directing a certified copy of this ordinance, together with description and plot showing the courses and distances of the boundaries of the said borough before and after such annexation to be filed in the Court of Quarter Sessions of the County of Bucks, and notice of such filing also to be given to the County Commissioners of the said county and to the Board of Elections of the said county			1950-12-26		1950-12-26		t			\N							1
1556	3477	Ordinance				Providing for and declaring the annexation to and admission into the Borough of Bristol, Bucks County, Pennsylvania, of certain adjacent land, situate in the Township of Bristol, county and state aforesaid, upon the petition of a majority of the freeholders of said adjacent territory, and extending the limits of the said Borough of Bristol so as to include and annex the said territory adjacent to the said borough, the said adjacent territory so annexed comprising a section of land in Bristol Township, aforesaid, adjacent to the said Borough of Bristol, with a collection of houses, buildings and structures thereon erected, collocated after a regular plan in regard to streets and lanes, and said territory being described in the petition of a majority of the freeholders thereof; presented to the Borough of Bristol and Town Council thereof, on April 10, 1922; and directing a certified copy of this ordinance, together with description and plot showing the courses and distances of the boundaries of said borough before and after such annexation to be filed in the Court of Quarter Sessions of the County of Bucks, and notice of such filing also to be filed in the office of the County Commissioners of the said county			1922-04-14		1922-04-17		t			\N							2
1557	3477	Resolution							1905-05-08				t			\N							
1558	3478	Final Report	Charter Commission			[Recommending the adoption of an optional plan for Bristol Township]			1984-08-03			1986-01-06	t			\N							
1559	3487	Minute							1911-07-26				t			\N							
1560	3487	Minute					266	266	1911-07-07				t			\N							
1561	3487	Minute					269	269	1911-07-21				t			\N							
1562	3487	Ordinance				Annexing to the Borough, adjacent land situate in the Township of Pine Creek and County of Jefferson			1929-07-18		1929-07-20		t			\N							1
1563	3487	Ordinance				Annexing to the Borough of Brookville, adjacent land situate in the township of Rose, county of Jefferson and state of Pennsylvania			1930-04-03		1930-04-04		t			\N							2
1564	3487	Ordinance				Annexing a portion of Rose Township to the Borough of Brookville			1911-07-26		1911-07-27		t			\N							3
1565	3487	Ordinance				Annexing to the Borough, adjacent land situate in the Township of Rose and County of Jefferson	112	112	1951-06-11		1951-06-11		t			\N							
1566	3487	Ordinance		465		Approving the petition for annexing to the Borough of Brookville a section of Rose Township, Jefferson County, Pennsylvania, adjacent to and west of said Borough of Brookville and hereinafter fully described, and providing that the said territory shall be annexed to and become a part of the said Borough if the annexation thereof shall be approved by the Court of Quarter Sessions of said county	227	228	1958-08-21		1958-08-22		t			\N							
1567	3487	Ordinance		587		Approving the petition for annexing to the Borough of Brookville a section of Rose Township, Jefferson County, Pennsylvania, adjacent to and west and northwest of said Borough of Brookville, and hereinafter fully described, and providing that said territory shall be annexed to and become a part of said Borough as provided by law	1	2	1967-07-18		1967-07-18		t			\N							
1568	3487	Ordinance		608		Approving the petition for annexing to the Borough of Brookville a section of Rose Township, Jefferson County, Pennsylvania, adjacent to and north of said Borough of Brookville and hereinafter fully described, and providing that said territory shall be annexed to and become a part of said Borough as provided by law	21	22	1968-11-19		1968-11-20		t			\N							
1569	3487	Ordinance		611		Approving the petition for annexing to the Borough of Brookville a section of Rose Township, Jefferson County, Pennsylvania, adjacent to and north of said Borough of Brookville, and hereinafter fully described, and providing that said territory shall be annexed to and become a part of said Borough as provided by law	25	25	1969-02-25		1969-02-27		t			\N							
1570	3487	Ordinance		637					1970-04-21		1970-04-22		t			\N							
1571	3491	Ordinance		149		Providing for the annexation of a portion of Lower Yoder Township adjacent to the Borough of Brownstown, Cambria County, Pennsylvania			1962-05-02		1962-05-02		t			\N							
1572	3492	Ordinance				Annexing certain adjacent territory of Brownsville Township to the Borough of Brownsville on petition of a majority of the freeholders within said territory			1930-12-08		1930-12-08		t			\N							
1573	3492	Ordinance				Annexing certain adjacent territory of Brownsville Township to the Borough of Brownsville upon petition of a majority of the freeholders within said territory	331	331	1923-12-10		1923-12-10		t			\N							
1574	3492	Ordinance		111		Declaring the admission of a section of land made up of certain lots or out-lots, lying adjacent to the Borough of Brownsville, into said borough, on petition of a majority of freehold owners of said lots or out-lots	224	227	1915-03-02		1915-03-03		t			\N							
1575	3492	Ordinance		114		Providing for the annexation of certain land in Luzerne Township, County of Fayette and State of Pennsylvania, adjacent to the Borough of Brownsville, upon petition signed by a majority in number of all the freeholders of the territory to be annexed			1951-09-10		1951-09-10		t			\N							
1576	3497	Amended Report	Charter Commission			[Recommending the adoption of a home rule charter for the Borough of Bryn Athyn]			1977-08-23			1978-01-02	t			\N							
1577	3497	Ordinance		108		Annexing to the Borough of Bryn Athyn a Section of Lower Moreland Township, Pennsylvania, adjacent to and Northeast of said Borough herein described			1937-12-06		1937-12-11		t			\N							
1578	3497	Ordinance		12		Declaring the annexation and admission into the Borough of Bryn Athyn on certain sections of land in Lower Moreland Township, County of Montgomery, lying adjacent to said borough, upon the petition of the majority of the freeholders of each of said sections, and extending the borough limits so as to include said adjacent territories			1920-10-11		1920-10-13		t			\N							
1579	3497	Ordinance		146		Annexing to the Borough of Bryn Athyn a Section of Lower Moreland Township, Pennsylvania, herein described, adjacent to and Northeast of said Borough			1943-03-01		1943-03-05		t			\N							
1580	3497	Ordinance		163		Annexing to the Borough of Bryn Athyn a Section of Lower Moreland Township, Pennsylvania, herein described, adjacent to and Northeast of said Borough			1948-04-05		1948-04-10		t			\N							
1581	3497	Ordinance		23		To annex adjacent land situate in the Township of Lower Moreland, County of Montgomery, and State of Pennsylvania, to the Borough of Bryn Athyn, and to extend the borough limits so as to include said adjacent land			1924-02-11		1924-02-16		t			\N							
1582	3497	Ordinance		323		[Authorizing submission of question concerning establishment of government study commission to the Board of Elections of Montgomery County]			1975-10-06		1975-10-06		t			\N							
1583	3497	Ordinance		55		To annex adjacent land situate partly in the Township of Upper Moreland and partly in the Township of Lower Moreland, County of Montgomery and State of Pennsylvania, to the Borough of Bryn Athyn, and to extend the Borough limits so as to include said adjacent land			1928-05-07		1928-05-30		t			\N							
1584	3507	Ordinance		117		Annexing to the Borough of Burgettstown a section of territory lying adjacent thereto and situate in Smith Township, Washington County, Pennsylvania			1933-07-08		1933-07-08		t			\N							
1585	3507	Ordinance		34					1908-01-06				t			\N							
1586	3507	Ordinance		65-1		Annexing adjacent land to the Borough of Burgettstown, situate in Smith Township, Washington County, Pennsylvania, upon petition of a majority of the freeholders of the territory proposed to be annexed			1921-08-09		1921-08-10		t			\N							
1587	3507	Ordinance		75		Annexing adjacent land to the Borough of Burgettstown, situate in Smith Township, Washington County, Pennsylvania, upon petition of a majority of the freeholders of the territory proposed to be annexed			1924-09-02		1924-09-09		t			\N							
1588	3510	Ordinance		3	1953	Annexing to the Borough of Burnham a portion of Derry Township, Mifflin County, Pennsylvania			1953-07-06		1953-07-06		t			\N							
1589	3510	Ordinance		86		Providing for the annexation of certain territory now in Derry Township, Mifflin County, Pennsylvania, to the Borough of Burnham, Mifflin County, Pennsylvania			1948-04-05		1948-04-06		t			\N							
1590	3510	Ordinance		10		To provide for the annexation to the Borough of Burnham of a certain section of land situate in Derry Township, Mifflin County Pennsylvania, lying adjacent to the Borough of Burnham, particularly described in Section 1 of this ordinance and a plot or draft of which is on file in the office of the Borough Secretary, in compliance with the petition of J.B. Shellenberger James A. Ayers and others, the majority of the freehold owners of the lots and outlots embraced in said section of land and in accordance with the provisions of the Act of the General Assembly of the Commonwealth of Pennsylvania in such case made and provided	35	36	1914-04-06		1914-04-07		t			\N							
1591	3510	Ordinance		10	1969	Approving the petition for annexing to the Borough of Burnham, a section of Derry Township, Mifflin County, Pennsylvania, adjacent to and South of said Borough and hereinafter more fully described, and providing that the said territory shall be annexed to and become part of the said Borough			1969-10-24				t			\N							
1592	3510	Ordinance		18		To provide for the annexation to the Borough of Burnham of a certain section of land and territory, situate in the Township of Derry, County of Mifflin, and State of Pennsylvania lying adjacent to the Borough of Burnham, particularly described in Section One of this ordinance, a plot or draft of which is on file in the office of the Borough Secretary, in compliance with the petition of Geo. W. Kipp, M. B. Gerner, and others, the majority of the freehold owners of said section of land and territory and in accordance with the provisions of the Act of the General Assembly of the Commonwealth of Pennsylvania, in such case made and provided	59	62	1918-01-07		1918-01-08		t			\N							
1593	3510	Ordinance		5		To provide for the annexation to the Borough of Burnham, of a certain section of land situate in Derry Township, Mifflin County, Pennsylvania, lying adjacent to the Borough of Burnham particularly described in Section 1 of this ordinance and a plot or draft of which is on file in the office of the Borough Secretary, in compliance with the petition of the Standard Steel Works Company, Emma C. Youngdahl, Howard S. Okie Trustee, and Hugo Gottschalk, the majority of the freehold owners of the lots and outlots embraced in said section of land and in accordance with the provisions of the Act of the General Assembly of the Commonwealth of Pennsylvania in such case made and provided	17	20	1912-10-07		1912-10-08		t			\N							
1594	3510	Ordinance		52		Providing for the annexation of certain territory now in Derry Township, Mifflin County, Pennsylvania, to the Borough of Burnham, Mifflin County, Pennsylvania	166	167	1935-08-05		1935-08-06		t			\N							
1595	3510	Ordinance		6	1972	Approving the petition for annexing to the Borough of Burnham of a section of Derry Township, Mifflin County, Pennsylvania, adjacent to and east of the said Borough and hereinafter fully described, and providing that the said territory shall be annexed to and become part of the said Borough			1972-04-19		1972-04-19		t			\N							
1596	3510	Ordinance		67		Providing fo the annexation of certain territory, now in Derry Township, Mifflin County, to the Borough of Burnham, Mifflin County, Pennsylvania	200	201	1941-06-03		1941-06-05		t			\N							
1597	3510	Ordinance		7	1967	Approving the Petition for annexation to the Borough of Burnham, Mifflin County, Pennsylvania, a section of Derry Township, Mifflin County, Pennsylvania, adjacent to and South of said Borough of Burnham and hereinafter fully described, and providing that the said territory shall be annexed to and become part of the said Borough			1967-11-21		1967-11-24		t			\N							
1598	3510	Ordinance		75		Providing for the annexation of certain territory, now in Derry Township, Mifflin County, to the Borough of Burnham, Mifflin County, Pennsylvania	216	217	1945-10-01		1945-10-04		t			\N							
1599	3510	Ordinance		8		To provide for the annexation to the Borough of Burnham, of a certain section of land situate in Derry Township, Mifflin County, Pennsylvania, lying adjacent to the Borough of Burnham, particularly described in Section 1 of this ordinance and a plot or draft of which is on file in the office of the Borough Secretary, in compliance with the petition of Tolbert W. Filson and others, the majority of the freehold owners of the lots and outlots embraced in said section of land and in accordance with the provisions of the Act of the General Assembly of the Commonwealth of Pennsylvania in such case made and provided	28	30	1914-02-16		1914-02-17		t			\N							
1600	3510	Ordinance		8	1966	Approving the petition for annexing to the Borough of Burnham, a section of Derry Township, Mifflin County, Pennsylvania, adjacent to and west of said Borough of Burnham and hereinafter fully described, and providing that the said territory shall be annexed to and become part of the said Borough			1966-09-20		1966-09-21		t			\N							
1601	3510	Ordinance		9		To provide for the annexation to the Borough of Burnham, of a certain section of land situate in Derry Township Mifflin County, Pennsylvania, lying adjacent to the Borough of Burnham, particularly described in Section 1 of this ordinance and a plot or draft of which is on file in the office of the Borough Secretary, in compliance with the petition of L. G. Yost, V. I. McKim and others the majority of the freehold owners of the lots and outlots embraced in said section of land and in accordance with the provisions of the Act of the General Assembly of the Commonwealth of Pennsylvania, in such case made and provided	31	34	1914-03-16		1914-03-17		t			\N							
1602	3510	Ordinance		9	1966	Approving the petition for annexing to the Borough of Burnham, a section of Derry Township, Mifflin County, Pennsylvania, adjacent to and south of said Borough and hereinafter more fully described, and providing that the said territory shall be annexed to and become part of the said Borough			1966-10-12		1966-10-12		t			\N							
1603	3511	Ordinance							1952-08-29		1952-08-30		t			\N							1
1604	3511	Ordinance				Annexing to the Borough of Burnside, Pennsylvania certain lands situate adjacent thereto in the Township of Burnside, County of Clearfield and State of Pennsylvania, upon the petition of the freeholders of the territory proposed to be annexed, extending the limits of the Borough of Burnside to include such territory			1952-07-07		1952-07-08		t			\N							2
1605	3518	Final Report	Charter Commission			[Recommending the adoption of an optional plan for the City of Butler]			1958-08-04				f			\N							
1606	3518	Ordinance		871		Introduced and adopted pursuant to Act No. 104 of the General Assembly of the Commonwealth of Pennsylvania of 1957 P. L. 210 annexing certain land owned by the City of Butler and contiguous to the City of Butler which has heretofore been in Butler Township, Butler County, Pennsylvania, and is hereinafter particularly described by courses and distances so that upon adoption of this Ordinance the same will be included within the confines and boundaries of the City of Butler			1958-06-17				t			\N							
1607	3518	Ordinance		872		Introduced and adopted pursuant to Act No. 104 of the General Assembly of the Commonwealth of Pennsylvania of 1957 P. L. 210 annexing certain land owned by the City of Butler and contiguous to the City of Butler which has heretofore been in Butler Township, Butler County, Pennsylvania, and is hereinafter particularly described by courses and distances so that upon adoption of this Ordinance the same will be included within the confines and boundaries of the City of Butler			1958-06-17				t			\N							
1608	3521	Ordinance				Approving the Petition of certain freeholders of Barry Township for the annexation of certain territory of Barry Township by and to Butler Township and directing the President of the Board of Supervisors of Butler Township to proceed according to law to effect said annexation			1958-04-05				t			\N							1
1609	3521	Ordinance				Approving the Petition of certain freeholders of Eldred Township for the annexation of certain territory of Eldred Township by and to Butler Township and directing the President of the Board of Supervisors of Butler Township to proceeding according to law to effect said annexation			1960-05-07				t			\N							2
1610	3522	Ordinance				[Annexing 3 tracts from Penn Township to Butler Township]			1971-06-28				t			\N							
1611	3526	Ordinance				Providing for the admission of certain lots, outlots and sections of land, in the township of East Pike Run, to the Borough of California, Washington County, Pennsylvania			1914-09-08		1914-09-08		t			\N							
1612	3526	Ordinance		114		Annexing to the Borough of California, a section of East Pike Run Township, Washington County, Pennsylvania, adjacent to and southwest of said Borough, known as a part of the Barnum-Lilley Farm and also formerly known as the part of the Jackman Farm, and herein described	269	270	1935-09-18		1935-09-23		t			\N							
1613	3526	Ordinance		165		Annexing to the Borough of California the total land of the entire East Pike Run Township, Washington County, Pennsylvania, adjacent to and east, south and west of said Borough			1953-05-16		1953-05-16		t			\N							
1614	3527	Ordinance				[Annexing a tract of 76 perches to the Borough]			1923-10-08		1923-10-08		t			\N							
1615	3528	Ordinance				Annexing adjacent lands situate in Forward Township, and Adams Township, Butler County, Pennsylvania, to the Borough of Callery, Butler County, Pennsylvania, providing for the certification of the annexation petition, and ordinance to the Court of Quarter Sessions of Butler County, Pennsylvania			1966-04-07		1966-05-21		t			\N							
1616	3533	Final Report	Charter Commission			[Recommending the adoption of a home rule charter for the "Borough of Cambridge Springs"]			1974-03-16			1976-01-05	t			\N							
1617	3533	Ordinance							1972-~01-~01				t			\N							
1618	3533	Ordinance		468		Approving the petition for annexation to the Borough of Cambridge Springs of a section of Cambridge Township, Crawford County, Pennsylvania, adjacent to the westerly line of the Borough of Cambridge Springs, and hereinafter fully described, and providing that said territory shall be annexed to and become a part of said Borough, if the annexation thereof shall be approved by the Court of Quarter Sessions of said county			1960-07-05		1960-07-06		t			\N							
1619	3534	Ordinance		107		Declaring the admission of a section of East Pennsboro Township, Cumberland County, Pennsylvania, to the Borough of Camp Hill, Cumberland County, Pennsylvania	169	170	1918-12-12		1918-12-16		t			\N							
1620	3534	Ordinance		109.5		Declaring the admission of a section of East Pennsboro Township, Cumberland County, Pennsylvania, to the Borough of Camp Hill, Cumberland County, Pennsylvania	173	173	1919-10-09		1919-10-15		t			\N							
1621	3534	Ordinance		138		Declaring the admission of a section of East Pennsboro Township, Cumberland County, Pennsylvania	249	250	1924-04-11		1924-05-03		t			\N							
1622	3534	Ordinance		262A		Declaring the admission of a section of East Pennsboro Township, Cumberland County, Pennsylvania, to the Borough of Camp Hill, Cumberland County, Pennsylvania	153	155	1939-05-22		1939-05-24		t			\N							
1623	3534	Ordinance		339		Declaring the admission of a section of East Pennsboro Township, Cumberland County, Pennsylvania to the Borough of Camp Hill, Cumberland County, Pennsylvania	21	21	1948-08-20		1948-08-30		t			\N							
1624	3534	Ordinance		349		Further amending Ordinance No. 306, known as the Borough of Camp Hill Zoning Ordinance of 1943, by designating that certain area, which was annexed to the Borough of Camp Hill from East Pennsboro Township, by proceedings in the Court of Quarter Sessions of Cumberland County, Pennsylvania, filed on September 1, 1948 and recorded in Quarter Sessions Docket No. 44 Page 46, as an R-2 Residential District, under Article IV of said zoning ordinance	37	37	1949-05-31		1949-06-01		t			\N							
1625	3534	Ordinance		409		Declaring the admission of a section of East Pennsboro and Hampden Townships, Cumberland County, Pennsylvania, to the Borough of Camp Hill, Cumberland County, Pennsylvania	150	151	1952-08-25		1952-08-25		t			\N							
1626	3534	Ordinance		410		Further amending Ordinance No. 306 known as the Borough of Camp Hill Zoning Ordinance of 1943, by designating that certain area which was annexed to the Borough of Camp Hill from East Pennsboro Township and Hampden Township, by proceedings in the Court of Quarter Sessions of Cumberland County, Pennsylvania, filed on August 27, 1952, and recorded in Quarter Sessions Docket No. 45, Page 496, as a C-1 Commercial District, and an R-2 Residential District, under articles IV and VI of said zoning ordinance	152	152	1952-09-26		1952-09-27		t			\N							
1627	3534	Ordinance		69		Declaring the admission of a section of East Pennsboro Township and Hampden Township to the Borough of Camp Hill, Cumberland County and State of Pennsylvania	99	101	1908-01-16		1908-01-18		t			\N							
1628	3534	Ordinance		90		Declaring the admission of a section of East Pennsboro Township, Cumberland County, Pennsylvania, to the Borough of Camp Hill, Cumberland County, Pennsylvania	145	146	1913-02-13		1913-02-17		t			\N							
1629	3534	Ordinance		97		Declaring the admission of a section of East Pennsboro Township, Cumberland County, Pennsylvania, to the Borough of Camp Hill, Cumberland County, Pennsylvania	155	156	1914-09-10		1914-09-15		t			\N							
1630	3538	Ordinance				Adopting a draft or plan of The Borough of Canonsburg			1885-02-02				t			\N							
1631	3538	Ordinance		118		Annexing to the Borough of Canonsburg a section of territory lying adjacent thereto and situate partially in the Township of Chartiers and partially in the Township of Cecil			1919-12-01		1919-12-01		t			\N							
1632	3538	Ordinance		168		[Consolidating the Boroughs of Canonsburg and South Canonsburg as the Borough of Canonsburg]			1911-03-21				t			\N							
1633	3538	Ordinance		184		Annexing to the Borough of Canonsburg a section of territory lying adjacent thereto and situate partially in the Township of Chartiers and partially in the Township of North Strabane			1923-03-19		1923-03-20		t			\N							
1634	3538	Ordinance		620		Annexing to the Borough of Canonsburg a section of territory lying adjacent thereto and situate in the Township of North Strabane, Washington County, Pennsylvania			1947-10-07		1947-10-07		t			\N							
1635	3538	Ordinance		705		Authorizing the proper officials of the Borough of Canonsburg to join in a petition for the annexation of a portion of Chartiers Township, Washington County, Pennsylvania, lying north of said Borough and contiguous thereto			1952-04-21		1952-04-24		t			\N							
1636	3538	Ordinance		706		Annexing to the Borough of Canonsburg a section of territory lying immediately north of and adjacent to the Second Ward of said Borough and situate in Chartiers Township, Washington County, Pennsylvania			1952-05-19		1952-05-20		t			\N							
1637	3538	Ordinance		715		Annexing to the Borough of Canonsburg a section of territory lying immediately north of and adjacent to the First Ward of said Borough and situate in Chartiers Township, Washington County, Pennsylvania			1952-11-10		1952-11-17		t			\N							
1638	3538	Ordinance		859		Annexing to the Borough of Canonsburg a section of territory lying immediately north of and adjacent to the Second Ward of said Borough and situate in Chartiers Township, Washington County, Pennsylvania			1962-02-20		1962-02-21		t			\N							
1639	3538	Ordinance		860		Annexing to the Borough of Canonsburg a section of territory lying immediately north of and adjacent to the First Ward of said Borough situate in Cecil Township, Washington County, Pennsylvania			1962-03-12		1962-03-12		t			\N							
1640	3538	Ordinance		887		Annexing to the Borough of Canonsburg a section of territory lying immediately north and west of and adjacent to the Second Ward of said Borough and situate in Chartiers Township, Washington County, Pennsylvania			1963-06-10		1963-06-19		t			\N							
1641	3538	Resolution				[Authorizing the employment of a surveyor to lay out streets and alleys on account of change of limits of Borough]			1884-10-06				t			\N							1
1642	3538	Resolution				[Report of survey of Borough by R. V. Johnston and plot made in accordance with survey adopted; report be recorded]			1876-03-29				t			\N							2
1643	3539	Ordinance		17		Changing the limits of Canton Borough by admitting a section of territory lying adjacent to and along the north and east boundary lines of said Borough	28	29	1896-06-18		1896-06-19		t			\N							
1644	3539	Ordinance		68		Extending the limits of Canton Borough, Pennsylvania on the east thereof, and admitting to said borough the territory lying within said extended limits	92	92	1912-01-03		1912-01-13		t			\N							
1645	3539	Ordinance		71		Extending the limits of Canton Boro, Pennsylvania on the north thereof and admitting to said boro the territory lying within said extended limits			1912-10-02		1912-10-05		t			\N							
1646	3539	Ordinance		86		Annexing land on the north of and adjacent to the Borough of Canton on petition of a majority of the freeholders of the territory annexed			1916-08-04		1916-08-05		t			\N							
1647	3543	Final Report	Charter Commission			[Recommending the adoption of a home rule charter for the City of Carbondale]			1975-05-~01			1977-01-02	t			\N							
1648	3543	Ordinance									1886-06-08		t			\N							
1649	3543	Ordinance				Anexing a part of Carbondale Township to Carbondale City	14	16	1885-03-31	1885-03-31	1885-03-31		t			\N	1						
1650	3543	Ordinance	Common	10	1893	Providing for the annexation of a part of Carbondale Township to Carbondale City	180	182	1894-03-09	1894-02-26	1894-03-12		t			\N	2						
1651	3543	Ordinance	Select	1	1887	Providing for the Annexation of a Part of Carbondale Township to Carbondale City	50	51	1887-06-07	1886-05-18	1887-06-17		t			\N	1						
1652	3543	Ordinance	Select	10	1887	Annexing a portion of Carbondale Township to Carbondale City	61	61	1887-12-06	1887-11-16			t			\N	1						
1653	3543	Ordinance	Select	2	1886-1887	Annexing a part of Carbondale Township to Carbondale City	30	31	1886-09-14	1886-09-09	1886-09-24		t			\N	1						
1654	3545	Amended Report	Charter Commission			[Recommending the adoption of home rule charter for the "Borough of Carlisle"]			2015-03-03			2016-01-01	t			\N							
1655	3545	Final Report	Charter Commission			[Recommending the adoption of a home rule charter for the "Home Rule Municipality of Carlisle"]			1992-08-26				f			\N							
1656	3545	Minute					10	10	1928-01-12				t			\N							
1657	3545	Minute					133	133	1927-10-13				t			\N							
1658	3545	Minute					137	137	1927-10-13				t			\N							
1659	3545	Minute					144	144	1923-09-13				t			\N							
1660	3545	Minute					146	146	1927-12-08				t			\N							
1661	3545	Minute					148	148	1923-10-11				t			\N							
1662	3545	Minute					152	152	1923-11-08				t			\N							
1663	3545	Minute					16	16	1928-02-09				t			\N							
1664	3545	Minute					18	18	1924-04-09				t			\N							
1665	3545	Minute					24	24	1924-05-08				t			\N							
1666	3545	Minute					30	30	1924-06-12				t			\N							
1667	3545	Minute					44	44	1924-09-11				t			\N							
1668	3545	Ordinance				Annexing certain land adjacent to the Borough of Carlisle, Cumberland County, Pennsylvania, situated in the Township of South Middleton, Cumberland County, Pennsylvania, popularly known as the proposed "Mooreland Extension" upon petition of a majority of the freeholders of the territory proposed to be annexed			1928-02-09		1928-02-14		t			\N							1
1669	3545	Ordinance				Extending the limits of the Borough by annexing the lands adjacent thereto bounded on West by present boundry line in the Carlisle Springs road; on the South by the present boundry line adjoining the lands of Carlisle Homes Company, and on the East and North by Clay Avenue			1923-11-08		1923-12-12		t			\N							2
1670	3545	Ordinance				Extending the limits of the Borough of Carlisle by annexing the lands adjacent thereto, bounded on the north by the present borough line; on the east by lands of Carlisle Farm Syndicate; on the south by lands of Dr. Noble and on the west by the present borough line			1924-09-11		1924-10-07		t			\N							3
1671	3545	Ordinance		1	2013	Authorizing an election on the question of establishing a government study commission to consider the adoption of an optional form of government or a home rule charter for the Borough of Carlisle			2013-01-10				t			\N							
1672	3545	Ordinance		1007		Approving a petition to annex to the Borough of Carlisle, Cumberland County, Pennsylvania, tract of land containing 4 acres located in North Middleton Township adjacent to the Borough of Carlisle situate north of Harrisburg Pike and east of Media Road			1967-05-18		1967-05-19		t			\N							
