eventid	eventtype	eventmethod	eventlong	eventfrom	eventto	eventgranted	eventeffective	eventeffectivetypestatutory	eventeffectivetypepresumedsource	eventisrelevant	eventeffectiveorder	eventismapped	eventismappedtype	government
5110	2	5	Warren Borough Ordinance 25, bk. VI and 49, bk. VI	1913	1913	yes	1913-10-25	\N	71		0	t		\N
5111	49	7	West Elizabeth Borough 1920 General Law	1920	1920	yes	1920-12-15	\N	38		0	f		\N
5112	4	5	West Reading Borough-Wyomissing Borough Proposed 1919 Boundary Realignment (Annexation?)	1919	1920	no		\N	\N		0	f		\N
5113	30	3	Wilson Borough 1920 Creation	1920	1920	yes	1920-07-12	\N	17		0	t		\N
5114	2	5	Bear Lake Borough 1921 Ordinance	1921	1921	yes	1921-11-09	\N	75		0	t		\N
5115	11	4	Beaver County 1921 6th to 5th	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5116	2	5	Bryn Athyn Borough Ordinance 12	1920	1921	yes	1920-12-10	\N	91		0	t		\N
5117	2	5	Burgettstown Borough Ordinance 65-1	1921	1921	yes	1921-09-21	\N	75		0	t		\N
5118	9	3	Chartiers Township-Pittsburgh City 1921 Merger	1920	1921	yes	1921-01-03	\N	42		0	t		\N
5119	11	4	Clearfield County 6th to 5th	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5120	4	3	Clinton Township-Clintonville Borough 1916 Boundary Ascertainment	1915	1921	yes	1916-07-03	\N	34		0	f		\N
5121	2	5	Collingdale Borough Ordinance 141	1921	1921	yes	1921-11-09	\N	75		0	t		\N
5122	4	3	Dauphin County-Lebanon County 1921 Boundary Ascertainment	1921	1921	yes	1921-12-27	\N	35		0	f		\N
5123	11	4	Dauphin County 5th to 4th	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5124	11	4	Delaware County 5th to 4th	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5125	2	5	Dormont Borough Ordinance 278	1921	1921	yes	1921-02-07	\N	71		0	t		\N
5126	2	5	Ellwood City Borough Ordinance 497	1920	1921	yes	1921-02-11	\N	71		0	t		\N
5127	11	4	Erie County 5th to 4th	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5128	30	3	Florin Borough Proposed 1920 Creation	1920	1921	no		\N	\N		0	f		\N
5129	30	3	Ford Cliff Borough Proposed 1921 Creation	1921	1921	no		\N	\N		0	f		\N
5130	2	5	Forest Hills Borough Ordinance 15	1921	1921	no		\N	\N		0	t		\N
5131	2	5	Forest Hills Borough Ordinance 18	1921	1921	yes	1921-11-17	\N	91		0	t		\N
5132	36	3	Lower Frankford Township-Upper Frankford Township 1921 Creation	1920	1921	yes	1921-12-05	\N	42		0	f		\N
5133	30	3	Freeburg Borough 1920 Creation	1920	1920	yes	1920-12-13	\N	17		0	t		\N
5134	2	5	Grove City Borough Ordinance 268	1921	1921	yes	1921-05-07	\N	67		0	t		\N
5135	2	3	Harborcreek Township-Millcreek Township 1921 Annexation	1920	1921	yes	1921-05-12	\N	34		0	t		\N
5136	2	5	Hyde Park Borough 1921 Ordinance	1921	1921	yes	1921-06-16	\N	91		0	t		\N
5137	4	3	Jefferson Township-Perry Township-Washington Township 1921 Boundary Ascertainment	1921	1921	yes	1921-12-05	\N	34		0	f		\N
5138	21	3	Jenkins Township Proposed 1921 1st Class	1921	1921	unknown		\N	\N		0	f		\N
5139	2	5	Jersey Shore Borough Ordinance 277	1918	1921	no		\N	\N		0	t		\N
5140	2	5	Johnstown City Resolution 854	1920	1921	yes	1921-06-25	\N	34		0	f		\N
5141	9	5	Dorranceton Borough-Kingston Borough 1921 Consolidation	1921	1921	yes	1921-08-09	\N	47		0	t		\N
5142	2	5	Liberty Borough 1921 Ordinance	1921	1921	yes	1921-10-04	\N	91		0	t		\N
5143	2	5	Lititz Borough Ordinance 65	1920	1921	yes	1920-12-28	\N	67		0	t		\N
5144	30	3	Lower Darby Borough Proposed 1921 Creation	1921	1921	no		\N	\N		0	f		\N
5145	2	5	Manor Borough Ordinance 118	1921	1921	yes	1921-03-07	\N	71		0	t		\N
5146	2	5	McDonald Borough Ordinance 186	1921	1921	yes	1921-09-21	\N	75		0	t		\N
5147	2	5	Meyersdale Borough Ordinance 58	1921	1921	yes	1921-02-02	\N	77		0	t		\N
5148	36	3	Mifflin Township Proposed 1920 Division	1920	1921	no		\N	\N		0	f		\N
5149	30	3	Modena Borough 1921 Creation	1920	1921	yes	1921-06-24	\N	14		0	t		\N
5150	2	5	New Cumberland Borough 1921 Ordinance (1)	1921	1921	no		\N	\N		0	t		\N
5151	2	5	New Cumberland Borough Ordinance 98	1920	1921	yes	1921-01-07	\N	91		0	t		\N
5152	11	4	Northampton County 5th to 4th	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5153	4	1	Delaware-Pennsylvania 1921 Boundary Ascertainment	1889	1921	yes	1921-06-30	\N	46		0	t		\N
5154	2	5	Pitcairn Borough Ordinance 348	1921	1921	yes	1921-12-19	\N	91		0	t		\N
5155	49	3	Pottstown Borough 1921 General Law	1920	1921	yes	1921-02-21	\N	34		0	f		\N
5156	36	3	Shade Township Proposed 1920 Division	1920	1921	no		\N	\N		0	f		\N
5157	30	3	Shoemakersville Borough 1921 Creation	1921	1921	yes	1921-09-21	\N	14		0	t		\N
5158	2	5	Slippery Rock Borough Ordinance 81	1921	1921	yes	1921-06-03	\N	67		0	t		\N
5159	30	3	South Coatesville Borough 1921 Creation	1921	1921	yes	1921-06-20	\N	14		0	t		\N
5160	2	5	Southmont Borough Ordinance 2	1921	1921	yes	1921-06-27	\N	71		0	t		\N
5161	30	3	Timblin Borough Proposed 1920 Creation	1920	1921	no		\N	\N		0	f		\N
5162	2	5	Trafford Borough Ordinance 110	1921	1921	yes	1921-09-21	\N	75		0	t		\N
5163	2	5	Turtle Creek Borough Ordinance 410	1920	1921	yes	1921-05-17	\N	91		0	t		\N
5164	2	5	Uniontown City Ordinance 163	1921	1921	yes	1921-04-30	\N	63		0	t		\N
5165	11	4	Washington County 1921 5th to 4th	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5166	4	3	South Londonderry Township-West Cornwall Township 1921 Boundary Ascertainment	1920	1921	yes	1921-09-21	\N	34		0	f		\N
5167	2	5	West Homestead Borough Ordinance 177	1921	1921	yes	1921-05-27	\N	73		0	t		\N
5168	30	3	Westmoreland City Borough Proposed 1921 Creation	1921	1921	no		\N	\N		0	f		\N
5169	11	4	Westmoreland County 1921 4th to 3rd	1921	1921	yes	1921-03-14	\N	12		0	f		\N
5170	2	5	Wilkinsburg Borough Ordinance 695	1920	1921	yes	1921-03-03	\N	71		0	t		\N
5171	2	5	Woodlawn Borough Ordinance 198	1921	1921	yes	1921-12-14	\N	71		0	t		\N
5172	4	3	Yatesville Borough-Jenkins Township-Pittston Township 1921 Boundary Ascertainment	1920	1921	yes	1921-07-22	\N	34		0	f		\N
5173	4	3	Adams Township-Summerhill Township 1922 Boundary Ascertainment	1922	1922	yes	1922-09-~01	\N	34		0	f		\N
5174	4	3	Armstrong Township-Washington Township 1922 Boundary Ascertainment	1922	1922	yes	1922-09-25	\N	34		0	f		\N
5175	30	3	Beavertown Borough 1914 Creation	1914	1914	yes	1914-11-14	\N	17		0	t		\N
5176	2	5	Berwick Borough Ordinance 196	1922	1922	yes	1922-11-08	\N	135		0	t		\N
5177	30	3	Blawnox Borough Proposed 1921 Creation	1921	1922	no		\N	\N		0	f		\N
5178	2	5	Bristol Borough 1922 Ordinance	1922	1922	yes	1922-05-17	\N	42		0	t		\N
5179	21	6	Butler Township 1922 1st Class	1921	1922	yes	1922-01-02	\N	55		0	f		\N
5180	2	5	Central City Borough 1922 Ordinance	1922	1922	yes	1922-07-20	\N	77		0	t		\N
5181	31	5	Clairton City 1922 Creation	1920	1922	yes	1922-01-02	\N	54		0	t		\N
5182	2	5	Clearfield Borough Ordinance 311	1922	1922	yes	1922-05-17	\N	135		0	t		\N
5183	2	5	Clearfield Borough Ordinance 318	1922	1922	yes	1922-11-08	\N	75		0	t		\N
5184	2	5	Collingdale Borough Ordinance 143	1921	1922	yes	1922-01-30	\N	71		0	t		\N
5185	2	5	Collingdale Borough Ordinance 144	1922	1922	yes	1922-05-17	\N	75		0	t		\N
5186	2	3	East Buffalo Township-Lewisburg Borough Proposed 1922 Annexation	1922	1922	no		\N	\N		0	f		\N
5187	21	6	East Deer Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5188	30	3	Folcroft Borough 1922 Creation	1921	1922	yes	1922-12-23	\N	14		0	t		\N
5189	2	5	Ford City Borough 1922 Ordinance	1922	1922	yes	1922-11-08	\N	75		0	t		\N
5190	30	3	Ford Cliff Borough 1922 Creation	1921	1922	yes	1922-04-24	\N	17		0	t		\N
5191	2	5	Franklin City Ordinance 603	1921	1922	yes	1921-10-14	\N	63		0	t		\N
5192	36	3	Lower Frederick Township-Upper Frederick Township 1921 Creation	1919	1922	yes	1921-12-05	\N	51		0	t		\N
5193	2	5	Indiana Borough Ordinance 350	1922	1922	yes	1922-07-15	\N	71		0	t		\N
5194	2	5	Juniata Borough Ordinance 283	1921	1922	yes	1922-05-17	\N	75		0	t		\N
5195	2	5	Juniata Borough Ordinance 287	1921	1922	yes	1922-05-17	\N	75		0	t		\N
5196	9	3	Kulpmont Borough-Mount Carmel Township Proposed 1922 Merger	1922	1922	no		\N	\N		0	f		\N
5197	2	5	Lansdale Borough Ordinance 145	1921	1922	yes	1922-01-03	\N	91		0	t		\N
5198	2	5	Lansdale Borough Ordinance 146	1921	1922	yes	1922-05-17	\N	75		0	t		\N
5199	2	5	Latrobe Borough Ordinance 22-3	1922	1922	yes	1922-08-23	\N	71		0	t		\N
5200	2	5	Lewistown Borough 1920 Ordinance	1920	1922	yes	1922-11-08	\N	75		0	t		\N
5201	2	3	Mauch Chunk Borough-Mahoning Township 1922 Annexation	1922	1922	yes	1922-12-29	\N	38		0	t		\N
5202	31	5	Monessen City 1922 Creation	1921	1922	yes	1922-01-02	\N	54		0	t		\N
5203	21	6	Neville Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5204	2	5	North Charleroi Borough Ordinance 81	1922	1922	yes	1922-05-17	\N	135		0	t		\N
5205	21	6	O'Hara Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5206	21	7	Patterson Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	141		0	f		\N
5207	2	5	Pine Grove Borough 1922 Ordinance	1922	1922	yes	1922-11-08	\N	75		0	t		\N
5208	2	5	Pittsburgh City Ordinance 382	1922	1922	yes	1922-10-23	\N	70		0	t		\N
5209	21	6	Plymouth Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5210	2	5	Point Marion Borough 1921 Ordinance	1921	1922	no		\N	\N		0	f		\N
5211	21	6	Ross Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5212	2	5	Scottdale Borough Ordinance 228 and 229	1921	1922	yes	1922-02-06	\N	71		0	t		\N
5213	36	3	Somerset Township Proposed 1922 Division	1922	1922	no		\N	\N		0	f		\N
5214	21	6	Spring Garden Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5215	21	6	Springdale Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5216	2	5	State College Borough Ordinance 61	1922	1922	yes	1922-11-14	\N	73		0	t		\N
5217	31	5	Sunbury City 1922 Creation	1919	1922	yes	1922-01-02	\N	54		0	t		\N
5218	30	3	Temple Borough 1922 Creation	1922	1922	yes	1922-09-14	\N	14		0	t		\N
5219	30	3	Temple Borough Proposed 1921 Creation	1921	1922	no		\N	\N		0	f		\N
5220	5	3	Terre Hill Borough 1922 Charter Amendment	1920	1922	unknown		\N	\N		0	f		\N
5221	30	3	Timblin Borough 1922 Creation	1922	1922	yes	1922-12-18	\N	14		0	t		\N
5222	2	3	Upper Darby Township-Clifton Heights Borough 1922 Annexation	1921	1922	yes	1922-09-19	\N	38		0	t		\N
5223	2	3	Darby Township-Upper Darby Township 1922 Annexation	1922	1922	yes	1922-12-07	\N	34		0	t		\N
5224	2	3	Washington Township-Allegheny Township Proposed 1921 Annexation	1921	1922	no		\N	\N		0	f		\N
5225	21	6	West Pottsgrove Township 1922 1st Class	1920	1922	yes	1922-01-02	\N	55		0	f		\N
5226	36	3	Westfield Township Proposed 1922 Division	1922	1922	no		\N	\N		0	f		\N
5227	2	5	Windber Borough 1922 Ordinance	1922	1922	yes	1922-07-10	\N	77		0	t		\N
5228	2	5	Altoona City Ordinance 1154	1923	1923	yes	1923-06-30	\N	63		0	t		\N
5229	2	5	Boyertown Borough 1923 Ordinance	1923	1923	yes	1923-11-28	\N	73		0	t		\N
5230	36	3	Cadogan Township 1923 Creation	1922	1923	yes	1923-12-03	\N	51		0	f		\N
5231	2	5	Callensburg Borough 1923 Ordinance	1923	1923	yes	1923-11-30	\N	71		0	f		\N
5232	2	5	Carrolltown Borough Ordinance 36	1921	1923	yes	1923-12-22	\N	71		0	f		\N
5233	36	3	North Centre Township-South Centre Township 1923 Creation	1923	1923	yes	1923-12-03	\N	51		0	f		\N
5234	2	5	Oil City City Ordinance 1052	1923	1923	no		\N	\N		0	t		\N
5235	30	3	Claysburg Borough Proposed 1923 Creation	1923	1923	no		\N	\N		0	f		\N
5236	2	5	Clearfield Borough Ordinance 320	1923	1923	yes	1923-05-24	\N	132		0	t		\N
5237	2	5	Coalport Borough 1922 Ordinance	1922	1923	no		\N	\N		0	f		\N
5238	4	5	Colwyn Borough-Darby Borough 1923 Boundary Realignment	1923	1923	yes	1923-07-27	\N	71		0	t		\N
5239	2	5	Glenolden Borough Ordinance 186	1923	1923	yes	1923-03-07	\N	71		0	t		\N
5240	2	3	Darby Township-Upper Darby Township 1923 Annexation	1923	1923	yes	1923-09-26	\N	34		0	t		\N
5241	9	3	Dunmore Borough-Scranton City Proposed 1922 Merger	1922	1923	no		\N	\N		0	f		\N
5242	2	3	East Buffalo Township-Lewisburg Borough 1923 Annexation	1923	1923	yes	1923-05-26	\N	34		0	t		\N
5243	2	3	East Buffalo Township-Lewisburg Borough Proposed 1923 Annexation	1923	1923	no		\N	\N		0	f		\N
5244	2	3	East Pennsboro Township-Lower Allen Township 1923 Annexation	1923	1923	yes	1923-12-03	\N	34		0	t		\N
5245	2	5	East Prospect Borough 1923 Ordinance	1923	1923	yes	1923-03-26	\N	91		0	t		\N
5246	9	5	East Waynesburg Borough-Waynesburg Borough 1923 Consolidation	1923	1923	yes	1923-09-08	\N	47		0	t		\N
5247	2	5	Ellwood City Borough Ordinance 567	1923	1923	yes	1923-06-05	\N	91		0	t		\N
5248	9	5	Gaysport Borough-Hollidaysburg Borough 1923 Consolidation	1923	1923	yes	1923-12-13	\N	47		0	t		\N
5249	2	5	Grove City Borough Ordinance 269	1921	1923	yes	1921-06-03	\N	67		0	t		\N
5250	2	5	Grove City Borough Ordinance 312	1923	1923	yes	1923-03-19	\N	67		0	t		\N
5251	2	5	Hanover Borough Ordinance 354	1923	1923	no		\N	\N		0	t		\N
5252	2	5	Hatboro Borough Ordinance 113	1922	1923	yes	1922-11-24	\N	91		0	t		\N
5253	2	5	Hatboro Borough Ordinance 114	1923	1923	yes	1923-02-05	\N	91		0	t		\N
5254	2	5	Hollidaysburg Borough Ordinance 100	1923	1923	yes	1923-05-07	\N	71		0	t		\N
5255	2	5	Jenkintown Borough Ordinance 194	1922	1923	yes	1922-06-26	\N	91		0	t		\N
5256	2	5	Jenkintown Borough Ordinance 198	1923	1923	yes	1923-07-02	\N	91		0	t		\N
5257	2	5	Lansdale Borough Ordinance 152	1922	1923	yes	1922-12-18	\N	91		0	t		\N
5258	49	7	Lawrenceville Borough 1923 General Law	1923	1923	yes	1923-03-20	\N	34		0	f		\N
5259	30	3	Madera Borough Proposed 1921 Creation	1921	1923	no		\N	\N		0	f		\N
5260	36	3	North Bethlehem Township 1923 Creation	1921	1923	yes	1923-12-03	\N	51		0	f		\N
5261	2	5	Pitcairn Borough Ordinance 359	1923	1923	yes	1923-07-10	\N	91		0	t		\N
5263	30	3	Rose Valley Borough 1923 Creation	1923	1923	yes	1923-12-22	\N	17		0	t		\N
5264	30	3	Salix Borough Proposed 1923 Creation	1923	1923	no		\N	\N		0	f		\N
5265	2	5	Shillington Borough Ordinance 104	1923	1923	yes	1923-07-10	\N	71		0	t		\N
5266	9	5	Saint Clair Borough-Pittsburgh City 1923 Merger	1922	1923	yes	1923-01-01	\N	42		0	t		\N
5267	2	5	State College Borough Ordinance 66	1923	1923	yes	1923-11-07	\N	75		0	t		\N
5268	2	5	Tamaqua Borough Ordinance 113	1920	1923	no		\N	\N		0	t		\N
5269	2	5	Uniontown City Ordinance 221	1923	1923	yes	1923-05-12	\N	63		0	t		\N
5270	2	5	Verona Borough Ordinance 5-1922	1922	1923	yes	1923-04-05	\N	91		0	t		\N
5271	30	3	West Lawn Borough 1923 Creation	1923	1923	yes	1923-06-28	\N	14		0	t		\N
5272	30	3	West Lawn Borough Proposed 1922 Creation	1922	1923	no		\N	\N		0	f		\N
5273	30	3	West Mayfield Borough 1923 Creation	1923	1923	yes	1923-08-29	\N	14		0	t		\N
5274	9	3	Westwood Borough-Pittsburgh City Proposed 1923 Merger	1923	1923	no		\N	\N		0	t		\N
5275	2	5	Williamsport City Ordinance 527	1922	1923	no		\N	\N		0	f		\N
5276	2	5	Williamsport City Ordinance 539	1923	1923	yes	1923-05-26	\N	63		0	t		\N
5277	2	5	Williamsport City Ordinance 540	1923	1923	yes	1923-05-26	\N	63		0	t		\N
5278	2	5	Williamsport City Ordinance 541	1923	1923	yes	1923-05-26	\N	63		0	t		\N
5279	2	5	Woodlawn Borough Ordinance 218	1923	1923	yes	1923-03-26	\N	71		0	t		\N
5280	2	5	Woodlawn Borough Ordinance 227	1923	1923	yes	1923-07-02	\N	71		0	t		\N
5281	2	5	Wyomissing Borough Ordinance 175	1922	1923	yes	1923-02-05	\N	71		0	t		\N
5282	2	5	Bryn Athyn Borough Ordinance 23	1924	1924	yes	1924-04-26	\N	91		0	t		\N
5283	2	5	Burgettstown Borough Ordinance 75	1924	1924	yes	1924-11-17	\N	91		0	t		\N
5284	2	5	Camp Hill Borough Ordinance 138	1924	1924	yes	1924-04-23	\N	75		0	t		\N
5285	2	5	Clearfield Borough Ordinance 330	1924	1924	yes	1924-07-10	\N	73		0	t		\N
5286	2	5	Clearfield Borough Ordinance 329	1924	1924	yes	1924-07-16	\N	73		0	t		\N
5287	4	3	Conyngham Township-Slocum Township 1924 Boundary Ascertainment	1916	1924	yes	1924-06-09	\N	34		0	f		\N
5288	2	5	Dallastown Borough Ordinance 108	1924	1924	yes	1924-08-30	\N	91		0	t		\N
5289	2	3	Darby Township-Sharon Hill Borough 1922 Annexation	1922	1924	yes	1922-12-15	\N	38		0	t		\N
5290	2	5	East Stroudsburg Borough Ordinance 187	1924	1924	yes	1924-08-06	\N	67		0	t		\N
5291	4	3	Eldred Township-Gamble Township Proposed 1924 Boundary Change	1924	1924	no		\N	\N		0	f		\N
5292	2	5	Falls Creek Borough 1924 Ordinance	1924	1924	yes	1924-12-27	\N	71		0	t		\N
5293	2	5	Fleetwood Borough Ordinance 85	1924	1924	yes	1924-11-05	\N	75		0	t		\N
5294	2	5	Hallam Borough Ordinance 18	1924	1924	yes	1924-03-24	\N	91		0	t		\N
5295	2	5	Hanover Borough Ordinance 352	1923	1924	yes	1923-03-05	\N	91		0	t		\N
5296	2	3	Hickory Township-Farrell Borough 1924 Annexation	1924	1924	yes	1924-04-23	\N	38		0	t		\N
5297	2	5	Jenkintown Borough Ordinance 203	1924	1924	yes	1924-05-16	\N	91		0	t		\N
5298	2	5	Juniata Borough Ordinance 311	1924	1924	yes	1924-11-05	\N	135		0	t		\N
5299	49	5	Lancaster City 1924 General Law	1924	1924	yes	1924-05-27	\N	\N		0	f		\N
5300	2	5	Latrobe Borough Ordinance 23-34 and 24-1	1924	1924	yes	1924-01-12	\N	71		0	t		\N
5301	2	5	Latrobe Borough Ordinance 24-11	1924	1924	yes	1924-08-14	\N	71		0	t		\N
5302	2	5	Lewistown Borough 1924 Ordinance	1924	1924	yes	1924-12-03	\N	91		0	t		\N
5303	9	5	Lower Saint Clair Township-Pittsburgh City 1924 Merger	1924	1924	yes	1924-02-15	\N	67		0	t		\N
5304	2	5	McKees Rocks Borough Ordinance 740	1923	1924	yes	1924-01-05	\N	71		0	t		\N
5305	2	5	Milton Borough Ordinance 237 and 242	1923	1924	yes	1924-08-25	\N	71		0	t		\N
5306	2	5	New Kensington Borough Ordinance 472	1923	1924	no		\N	\N		0	t		\N
5307	2	3	Paint Township-Highland Township 1924 Annexation	1923	1924	yes	1924-01-02	\N	16		0	f		\N
5308	2	3	Chester Township-Parskide Borough 1924 Annexation	1924	1924	yes	1924-09-17	\N	38		0	t		\N
5309	2	5	Pitcairn Borough Ordinance 363	1924	1924	yes	1924-05-29	\N	71		0	t		\N
5310	2	5	Point Marion Borough 1924 Ordinance	1924	1924	yes	1924-02-20	\N	91		0	t		\N
5311	2	5	Red Lion Borough 1923 Ordinance	1923	1924	yes	1924-12-22	\N	91		0	t		\N
5312	2	5	Red Lion Borough 1924 Ordinance	1924	1924	yes	1924-12-22	\N	91		0	t		\N
5313	2	5	Red Lion Borough Ordinance 70	1924	1924	yes	1924-11-03	\N	91		0	t		\N
5314	2	5	Rimersburg Borough 1923 Ordinance	1923	1924	yes	1924-01-30	\N	91		0	t		\N
5315	2	5	Rimersburg Borough 1924 Ordinance	1924	1924	yes	1924-12-16	\N	71		0	t		\N
5316	2	5	Royersford Borough Ordinance 197	1924	1924	yes	1924-08-01	\N	71		0	t		\N
5317	21	6	Springfield Township 1924 1st Class	1922	1924	yes	1924-01-07	\N	55		0	f		\N
5318	2	5	Tarentum Borough Ordinance 841	1924	1924	yes	1924-05-29	\N	91		0	t		\N
5319	2	3	Upper Saint Clair Township-Collier Township 1924 Annexation	1924	1924	yes	1924-07-11	\N	34		0	t		\N
5320	31	5	Washington City 1924 Creation	1921	1924	yes	1924-01-07	\N	54		0	t		\N
5321	2	5	Arnold Borough Ordinance 280	1925	1925	yes	1925-11-04	\N	75		0	t		\N
5322	2	5	Arnold Borough Ordinance 281	1925	1925	yes	1925-12-11	\N	71		0	t		\N
5323	49	3	Ashland Borough Proposed 1925 Partial General Law	1925	1925	no		\N	\N		0	f		\N
5324	30	3	Blawnox Borough 1925 Creation	1925	1925	yes	1925-04-22	\N	14		0	t		\N
5325	34	3	Brockway Borough 1925 Creation	1924	1925	yes	1925-04-13	\N	38		0	t		\N
5326	2	5	Carlisle Borough 1923 Ordinance	1923	1925	yes	1925-03-21	\N	71		0	t		\N
5327	2	5	Carlisle Borough 1924 Ordinance	1924	1925	yes	1925-03-24	\N	71		0	t		\N
5328	2	5	Clearfield Borough Ordinance 340	1924	1925	yes	1925-02-18	\N	71		0	t		\N
5329	9	3	Columbus Borough-Columbus Township 1925 Merger	1924	1925	yes	1925-01-01	\N	42		0	f		\N
5330	4	3	Crescent Township-Moon Township 1925 Boundary Realignment	1924	1925	yes	1925-03-26	\N	34		0	t		\N
5331	30	3	East Monessen Borough Proposed 1925 Creation	1925	1925	no		\N	\N		0	f		\N
5332	2	5	Ellwood City Borough Ordinance 626	1925	1925	yes	1925-10-01	\N	91		0	t		\N
5333	2	5	Etna Borough Ordinance 560	1925	1925	yes	1925-09-16	\N	75		0	t		\N
5334	2	5	Etna Borough Ordinance 561	1925	1925	yes	1925-09-16	\N	75		0	t		\N
5335	2	5	Gettysburg Borough 1925 Ordinance	1925	1925	yes	1925-06-05	\N	67		0	t		\N
5336	2	5	Girard Borough 1925 Ordinance	1925	1925	yes	1925-09-10	\N	71		0	t		\N
5337	2	5	Green Lane Borough Ordinance 44	1924	1925	yes	1925-04-06	\N	91		0	t		\N
5338	2	5	Greenville Borough Ordinance 341	1923	1925	yes	1925-04-13	\N	71		0	f		\N
5339	2	5	Hanover Borough Ordinance 353	1923	1925	yes	1923-03-05	\N	91		0	t		\N
5340	2	5	Hanover Borough Ordinance 376	1925	1925	yes	1925-11-04	\N	75		0	t		\N
5341	2	3	Hickory Township-Sharon City Proposed 1925 Annexation	1925	1925	no		\N	\N		0	f		\N
5342	2	3	Jefferson Township-Clairton City 1925 Annexation	1924	1925	yes	1925-01-05	\N	42		0	t		\N
5343	30	3	Kistler Borough 1925 Creation	1925	1925	yes	1925-05-16	\N	14		0	t		\N
5344	2	3	Lancaster Township-Lancaster City Proposed 1924 Annexation (East)	1924	1925	no		\N	\N		0	f		\N
5345	2	3	Lancaster Township-Lancaster City Proposed 1924 Annexation (West)	1924	1925	no		\N	\N		0	f		\N
5346	2	5	Lewisburg Borough Ordinance 150	1925	1925	yes	1925-05-28	\N	91		0	t		\N
5347	2	3	Manheim Township-Lancaster City Proposed 1924 Annexation	1924	1925	no		\N	\N		0	f		\N
5348	2	5	Mifflinburg Borough Ordinance 79	1925	1925	yes	1925-09-16	\N	75		0	t		\N
5349	2	3	Neshannock Township-New Castle City Proposed 1925 Annexation	1925	1925	no		\N	\N		0	f		\N
5350	2	3	North Union Township-Uniontown City Proposed 1925 Annexation	1925	1925	no		\N	\N		0	f		\N
5351	2	5	Pittsburgh City Ordinance 483	1925	1925	yes	1925-11-27	\N	67		0	t		\N
5352	2	5	Scottdale Borough Ordinance 257	1925	1925	yes	1925-04-08	\N	71		0	t		\N
5353	2	5	Sellersville Borough 1925 Ordinance	1925	1925	yes	1925-11-09	\N	71		0	t		\N
5354	2	5	Sharpsville Borough Ordinance of 14 August 1925	1925	1925	no		\N	\N		0	f		\N
5355	2	5	Sharpsville Borough Ordinance of 15 October 1925	1925	1925	yes	1925-11-04	\N	135		0	t		\N
5356	2	3	South Union Township-Uniontown City 1925 Annexation (Patterson Addition)	1924	1925	yes	1925-01-05	\N	34		0	t		\N
5357	2	3	South Union Township-Uniontown City 1925 Annexation (Wolf Addition)	1924	1925	yes	1925-01-05	\N	34		0	t		\N
5358	2	5	Steelton Borough 13th Extension	1924	1925	yes	1925-09-16	\N	75		0	t		\N
5359	2	3	Susquehanna Township-Harrisburg City 1925 Annexation	1924	1925	yes	1925-01-05	\N	34		0	t		\N
5360	2	5	Sutersville Borough Ordinance 33	1925	1925	yes	1925-11-12	\N	71		0	t		\N
5361	4	3	Morris Township-Washington Township Proposed 1924 Boundary Ascertainment	1924	1925	unknown		\N	\N		0	f		\N
5362	2	3	West Lampeter Township-Lancaster City Proposed 1924 Annexation	1924	1925	no		\N	\N		0	f		\N
5363	2	5	West Telford Borough Ordinance 37	1925	1925	yes	1925-09-16	\N	75		0	t		\N
5364	2	5	Westmont Borough Ordinance 84 and 85	1924	1925	no		\N	\N		0	t		\N
5365	2	5	Westmont Borough Ordinance 86	1925	1925	yes	1925-04-13	\N	71		0	t		\N
5366	2	5	Westmont Borough Ordinance 98	1925	1925	yes	1927-09-21	\N	75		0	t		\N
5367	2	5	Wilkinsburg Borough Ordinance 903	1925	1925	yes	1925-09-16	\N	75		0	t		\N
5368	2	5	Wrightsville Borough 1924 Ordinance	1924	1925	yes	1925-02-04	\N	91		0	t		\N
5369	2	3	Butler Township-Butler City 1926 Annexation	1925	1926	yes	1925-01-04	\N	42		0	t		\N
5370	2	5	Chalfont Borough 1926 Ordinance	1926	1926	yes	1926-02-24	\N	69		0	t		\N
5371	2	5	Conshohocken Borough 1926 Ordinance	1926	1926	yes	1926-11-01	\N	71		0	t		\N
5372	30	3	Cornwall Borough 1926 Creation	1926	1926	yes	1926-10-11	\N	14		0	t		\N
5373	2	3	Cranberry Township-Oil City City 1926 Annexation	1924	1926	yes	1926-01-04	\N	42		0	t		\N
