filingid	filingtype	filingspecific	filingnotpresent	filingdate	filingfiled	filingother	filingothertype	filingnotes	adjudication
2883	75			1948-01-09					1849
2884	9	of Ordinance 39		1953-09-08					2645
2885	57				1952-12-10				2523
2886	95					1952-12-10	Service on/before		2523
2887	9			1953-05-07					2523
2888	57				1952-11-05				2522
2889	95					1952-11-05	Service on/before		2522
2890	9			1953-05-07					2522
2891	57				1951-12-17				2521
2892	9			1952-12-19					2521
2893	57				1951-07-20				2520
2894	95					1951-07-18	Service on/before		2520
2895	9			1951-12-04					2520
2896	57				1946-07-01				2519
2897	9			1948-05-10					2519
2898	57				1963-12-12				3934
2899	93				1963-12-12	1963-12-12	Service		3934
2900	34			1964-02-03					3934
2901	57				1966-07-18				2949
2902	52			1966-07-18					2949
2903	9			1952-06-23					2642
2904	82			1958-10-27					1944
2905	34			1958-10-27					1944
2906	58								1897
2907	35			1951-04-17					1897
2908	34			1949-08-03		1947-07-09	Effective		1886
2909	9			1950-05-22					1886
2910	27			1949-03-17					1878
2911	34	all territory situate in Darlington Township to be deleted and omitted from annexation		1958-03-07					2280
2912	9			1958-07-03					2280
2913	57			1959-02-09					2929
2914	34			1959-04-21		1959-04-21	Effective		2929
2915	9			1959-09-18					2929
2916	93					1956-06-19	Service on/before		2923
2917	57				1956-07-03				2923
2918	52			1956-07-02					2923
2919	9			1957-02-08	1957-03-04				2923
2920	57				1955-10-11				2921
2921	75			1956-05-09					2921
2922	57				1951-08-22				2911
2923	52			1951-08-20	1951-08-22				2911
2924	75			1951-11-28					2911
2925	93					1948-05-24	Service on/before		2903
2926	57				1948-05-26				2903
2927	9	after reconsideration of previous rejection in 1948		1951-03-29	1951-03-31				2903
2928	57				1957-08-28				3922
2929	75			1958-05-14					3922
2930	57				1947-06-06				2635
2931	52			1947-06-06					2635
2932	9			1947-09-08	1947-09-09				2635
2933	93			1955-09-08					2648
2934	57				1955-09-12				2648
2935	32	of School District of Colebrookdale Township and of Colebrookdale Township School District Authority		1955-08-16					2648
2936	91	why appeal should not be granted		1955-09-16					2648
2937	75			1956-01-11					2648
2938	34			1955-12-30					2648
2939	57				1960-10-10				2668
2940	93					1960-10-10	Service		2668
2941	52			1960-10-10					2668
2942	43				1962-06-20				2668
2943	34	affirming annexation		1962-06-20					2668
2944	27			1946-05-02		1946-06-11	First Election		1839
2945	64	for allowance of appeal from Superior Court			1942-04-14				448
2946	49	refusing allocatur			1942-05-11				448
2947	43				1942-02-28				207
2948	34	order of lower court affirmed		1942-02-28					207
2949	58			1940-11-08					1817
2950	52			1941-02-04					1817
2951	34			1941-04-23					1817
2952	78				1942-03-11				1817
2953	9			1945-04-06					1817
2954	58								1816
2955	57								1816
2956	34	as to Ordinance 556		1942-02-24					1816
2957	9			1945-04-06					1816
2958	57				1961-07-10				7962
2959	34			1961-10-17		1961-11-08	Effective		7962
2960	75			1962-04-12					7962
2961	57				1956-05-07				9370
2962	93								9370
2963	9			1956-10-08					9370
2964	34			1965-06-08					9776
2965	9			1965-09-13					9776
2966	34			1965-06-08					9777
2967	9			1965-09-13					9777
2968	57				1959-10-13				9773
2969	34			1960-05-10					9773
2970	9			1960-10-04					9773
2971	34			1957-08-19					9769
2972	9			1958-12-01					9769
2973	82								9767
2974	43			1951-03-29					9767
2975	22	affirming annexation		1951-03-29					9767
2976	109								9767
2977	57				1948-09-27				9764
2978	9			1949-01-07					9764
2979	57				1952-09-29				4408
2980	64	to set aside ordinance			1952-09-29				4408
2981	57				1953-08-19				5980
2982	93			1953-08-19					5980
2983	57				1953-08-19				5981
2984	93			1953-08-19					5981
2985	9			1958-07-08					5981
2986	9			1958-07-08					5980
2987	57				1954-08-16				5982
2988	62	why commissioners should not be appointed		1954-09-13					5982
2989	91	why commissioners should not be appointed		1954-09-13		1954-10-04	Returnable		5982
2990	71	by Borough		1954-09-23					5982
2991	96	of preliminary objections		1954-09-24					5982
2992	51			1954-10-04		1954-10-08	Hearing		5982
2993	97	dispensing for need of appointment of commissioners							5982
2994	51	stipulation approved		1954-11-24		1954-12-09	Hearing		5982
2995	97	testimony correct		1955-01-17					5982
2996	43			1955-02-26					5982
2997	34			1955-02-26					5982
2998	49	for refund of deposit		1955-05-16					5982
2999	9			1958-07-08					5982
3000	57				1956-08-30				5983
3001	34			1956-10-12		1956-11-07	Effective		5983
3002	9			1958-07-08					5983
3003	57				1966-05-31				3486
3004	9			1966-08-25					3486
3005	57				1952-08-27				4810
3006	22	appeals from Ordinance 409 sustained		1953-06-19					4810
3007	34	objections to Ordinance 409 dismissed; Ordinance declared to be valid and legal		1959-07-24					4810
3008	9	after elapse of 5 years after previous rejection		1965-04-20					4810
3009	57				1939-06-16				4805
3010	52			1939-06-16					4805
3011	49			1940-02-29					4805
3012	49	granting leave to file descriptions and plots required to be filed per Order of February 29, 1940		1940-03-04					4805
3013	34	proposed annexation approved; appeals dismissed		1940-03-11					4805
3014	9			1940-10-10					4805
3015	34			1963-08-12					10168
3016	9			1964-10-20					10168
3017	57								10164
3018	22	affirming annexation		1962-10-22					10164
3019	34	affirming annexation, dismissing exceptions, and confirming order of October 22, 1962		1963-03-05					10164
3020	57				1961-08-02				4828
3021	93					1961-08-02	Service		4828
3022	61			1962-05-31					4828
3023	51			1962-06-08		1962-06-26	Hearing		4828
3024	34			1962-06-26					4828
3025	9			1962-10-08					4828
3026	57				1941-06-02				4806
3027	9			1942-02-10					4806
3028	57								4822
3029	34			1959-11-14					4822
3030	8			1960-02-11					4822
3031	57				1958-02-21				4820
3032	61			1958-03-24					4820
3033	40			1958-03-25					4820
3034	51			1958-04-03		1958-04-21	Hearing		4820
3035	34			1958-04-21					4820
3036	9			1958-10-09					4820
3037	57				1953-07-13				4947
3038	9				1953-09-10				4947
3039	57				1965-04-22				4763
3040	93					1965-04-22	Service		4763
3041	61			1965-06-01					4763
3042	51			1965-06-03		1965-06-17	Hearing		4763
3043	97	no adjustment of indebtedness		1965-06-22					4763
3044	34			1965-06-24					4763
3045	34			1963-03-07					4831
3046	9			1964-02-18					4831
3047	34			1957-06-24					4819
3048	75			1958-04-03					4819
3049	9	five-year appeal		1965-04-20					4819
3050	57				1950-06-29				4807
3051	75			1950-11-10					4807
3052	9	after 5 years after previous rejection		1965-04-20					4807
3053	44				1962-06-28				430
3054	9			1963-03-14					1937
3055	57			1950-12-14				date filed not in docket	10147
3056	9			1951-03-29					10147
3057	57				1953-01-~01				10150
3058	9			1953-05-08					10150
3059	57				1957-06-~01				10157
3060	52			1957-06-03		1957-07-08	Hearing		10157
3061	109								10157
3062	120			1958-09-11					241
3063	9			1960-02-17					10157
3064	57				1959-12-15				10159
3065	52			1959-12-15		1960-01-18	Hearing		10159
3066	34			1961-02-13		1961-02-13	Effective		10159
3067	75			1961-07-13					10159
3068	34			1946-08-07					1832
3069	109								1832
3070	44			1947-03-12					215
3071	22	affirming decree of lower court		1947-03-12					215
3072	9			1947-09-12					1832
3073	34			1961-03-18		1961-05-16	Effective Immediately after Next Election		2422
3074	75			1962-02-15					2422
3075	57				1962-06-04				5599
3076	34			1962-07-06					5599
3077	75			1962-09-07					5599
3078	57				1964-03-26				5600
3079	34			1964-04-27					5600
3080	57				1964-06-19				5606
3081	34			1964-07-20					5606
3082	57				1964-07-29				5604
3083	34			1964-09-02					5604
3084	57				1965-07-21				5609
3085	34			1965-08-23					5609
3086	95			1952-11-13		1952-11-13	Service		10148
3087	57				1952-11-13				10148
3088	9			1953-03-19					10148
3089	95			1952-12-19		1952-12-19	Service		10149
3090	57				1952-12-19				10149
3091	9			1953-03-19					10149
3092	43			1953-06-18					4283
3093	9			1955-05-13					4283
3094	57				1961-01-16				8272
3095	20	by South Pymatuning Township and petition for appointment of commissioners		1961-02-09	1961-02-09				8272
3096	55			1962-02-02					8272
3097	82				1962-04-10				8272
3098	34	affirming annexation		1962-05-07		1962-05-16	Effective		8272
3099	110								8272
3100	63			1962-05-15	1962-05-15				8272
3101	56			1962-05-15					8272
3102	78	affirming annexation			1962-12-12				8272
3103	43			1962-11-28					429
3104	3	affirming annexation		1962-11-28					429
3105	75			1963-03-14					8272
3106	57				1947-06-26				3899
3107	95				1947-06-26				3899
3108	9			1949-05-09					3899
3109	57				1948-01-28				3901
3110	93				1948-01-28				3901
3111	9			1949-05-09					3901
3112	57				1953-09-03				3911
3113	34	appeal dismissed		1954-04-13					3911
3114	9			1954-11-08					3911
3115	57				1956-02-24				3916
3116	34	affirming annexation		1956-04-02					3916
3117	9			1956-05-09					3916
3118	57				1956-02-24				3915
3119	34	affirming annexation		1956-04-02					3915
3120	9			1956-05-09					3915
3121	57				1956-12-03				3921
3122	34	affirming annexation		1957-03-26					3921
3123	9			1957-06-24					3921
3124	57				1958-04-18				3925
3125	40								3925
3126	34	affirming annexation		1958-06-09					3925
3127	9			1958-10-09					3925
3128	57							date not in docket	4677
3129	93				1952-01-29	1952-01-29	Service		4677
3130	95				1952-01-29	1952-01-29	Service		4677
3131	9			1953-09-10					4677
3132	34	affirming report of commissioners between Station 0 plus 00 to Station 149 plus 02.83; vacating portion regarding Station 149 plus 02.83 to Lancaster Township line		1961-11-22					3476
3133	9			1962-04-12					3476
3134	57				1961-11-14				2672
3135	34	affirming annexation		1962-12-18					2672
3136	9			1964-06-18					2672
3137	57				1960-04-05				8270
3138	61			1960-04-08					8270
3139	26			1960-04-11					8270
3140	34			1960-05-09					8270
3141	9			1960-10-04					8270
3142	9			1950-09-18					9848
3143	57				1953-09-28				9852
3144	75			1953-11-09	1953-11-17				9852
3145	57				1953-09-28				9853
3146	75			1955-02-16					9853
3147	57				1951-11-21				9850
3148	9			1952-03-12	1952-03-17				9850
3149	57	1801			1950-09-28				9849
3150	9			1952-03-12					9849
3151	57				1952-05-05				9851
3152	9			1952-09-15	1952-09-18				9851
3153	57				1955-10-07				2649
3154	75			1956-01-11					2649
3155	75			1956-05-09					2650
3156	57				1950-05-10				6117
3157	93			1950-05-10	1950-05-10	1950-05-10	Service		6117
3158	9			1953-01-29	1953-01-31				6117
3159	57				1961-11-06				6118
3160	9			1962-03-13					6118
3161	57				1964-09-25				10638
3162	34			1965-02-23					10638
3163	57				1958-04-25				5066
3164	61			1958-05-26					5066
3165	51			1958-05-28		1958-06-10	Hearing		5066
3166	34			1958-06-10					5066
3167	9			1959-07-08					5066
3168	57								10521
3169	20								10521
3170	43			1944-04-27					10521
3171	22	affirming annexation		1944-04-27					10521
3172	43	dismissing exceptions; affirming annexation		1945-03-07					10521
3173	34			1945-03-07					10521
3174	109				1945-04-09				10521
3175	77				1946-07-31				10521
3176	9			1947-03-07					10521
3177	57				1949-03-25				10539
3178	109								10539
3179	77	affirming lower court opinion							10539
3180	43			1951-03-12					233
3181	3			1951-03-12					233
3182	9			1952-03-14					10539
3183	57				1949-05-12				10542
3184	9			1952-03-14					10542
3185	57				1954-09-14				10577
3186	9			1955-01-13					10577
3187	95					1959-10-13	Service		10613
3188	57								10613
3189	34			1960-12-02					10613
3190	9			1961-05-10					10613
3191	34			1957-05-10		1957-05-22	Effective		3261
3192	34			1957-08-16		1957-08-16	Effective		3256
3193	34			1957-08-16		1957-08-16	Effective		3257
3194	34			1956-12-14					3254
3195	75			1957-05-02					3254
3196	34			1957-08-16	1957-08-16				5441
3197	34			1957-08-16	1957-08-16				5442
3198	34			1957-08-16	1957-08-16				5443
3199	9			1958-03-24					5443
3200	9			1958-03-24					5442
3201	9			1958-03-24					5441
3202	34			1961-09-08					3266
3203	9			1962-06-04					3266
3204	57				1958-02-07				9770
3205	34			1960-05-10					9770
3206	9			1960-10-06					9770
3207	57				1959-10-13				9772
3208	34			1960-05-10					9772
3209	9			1960-10-06					9772
3210	57				1940-05-09				4665
3211	9			1940-11-08					4665
3212	57				1948-09-02				2084
3213	52	copy to be certified to County Commissioners (or Election Board)		1948-09-02					2084
3214	9			1950-06-26					2084
3215	57				1951-11-13				2089
3216	49	appeal of East Franklin Township denied; order to become absolute unless exceptions filed in 45 days		1952-06-28					2089
3217	49	appeal of School District of East Franklin Township denied; order to become absolute unless exceptions filed in 45 days		1952-06-28					2089
3218	32								2089
3219	34	exceptions overruled; appeal refused and dismissed		1952-09-17					2089
3220	9			1953-05-07					2089
3221	57				1958-01-07				10597
3222	34			1958-02-07					10597
3223	75			1958-07-21					10597
3224	57				1958-06-02				10600
3225	34			1958-07-07					10600
3226	9			1959-07-07					10600
3227	34			1962-05-29					2421
3228	9			1962-09-07					2421
3229	57				1941-12-11				1820
3230	52			1941-12-11					1820
3231	34			1959-01-23					3260
3232	9			1959-07-07					3260
3233	57				1954-06-26				3912
3234	34			1954-07-27					3912
3235	9			1954-11-08					3912
3236	57								3903
3237	9			1949-05-12					3903
3238	57				1961-09-21				3931
3239	93				1961-09-22	1961-09-22	Service		3931
3240	34			1961-10-30					3931
3241	9			1962-02-15					3931
3242	58			1956-10-22					1934
3243	35			1956-12-07					1934
3244	9			1957-05-01					1934
3245	58			1956-10-22					1935
3246	35			1956-12-07					1935
3247	9			1957-05-01					1935
3248	57				1952-01-25				1910
3249	9			1952-05-23					1910
3250	9			1959-10-22					1947
3251	26	shall become final unless exceptions filed within 20 days		1965-11-08					1965
3252	17			1965-12-10					1965
3253	34			1961-09-18		1961-11-08	Effective		7963
3254	75			1962-04-12					7963
3255	57				1940-07-10				1814
3256	34			1945-03-26					1824
3257	57				1947-04-18				1858
3258	34			1947-07-10					1859
3259	9			1964-11-16					1858
3260	57				1959-03-24				1274
3261	34			1959-05-12					1274
3262	9			1959-07-07					1274
3263	57				1960-09-17				5457
3264	93					1961-08-16	Service		5457
3265	34			1961-08-17					5457
3266	9			1961-11-01					5457
3267	57				1962-03-26				10633
3268	34			1962-07-10					10633
3269	57				1947-06-09				1860
3270	9			1948-01-12					1860
3271	57				1962-12-13				2097
3272	34			1964-04-18					2097
3273	75			1964-10-20					2097
3274	58	annexing portion of Tunnelhill that was erroneously believed to be part of Gallitzin Boro until 1962							3531
3275	51			1963-10-07		1963-10-30	Hearing		3531
3276	43			1963-12-14					3531
3277	35			1963-12-14					3531
3278	57				1948-05-25				5424
3279	9			1948-09-30	1948-10-01				5424
3280	57				1956-11-29				5446
3281	34			1957-01-02					5446
3282	9			1958-07-02					5446
3283	57				1960-05-16				5453
3284	34			1960-06-17					5453
3285	75			1961-03-22					5453
3286	57				1961-02-11				5458
3287	93					1961-02-13	Service		5458
3288	34			1961-03-17					5458
3289	9			1961-09-29					5458
3290	57				1960-05-27				1276
3291	34			1960-07-02					1276
3292	9			1960-09-28					1276
3293	57								1272
3294	34			1958-11-05					1272
3295	9			1959-01-07					1272
3296	57				1952-08-06				9916
3297	52			1952-08-06					9916
3298	57				1952-08-15				9915
3299	52			1952-08-15					9915
3300	75			1953-11-09					9915
3301	9	after having previously rejected		1955-05-13					9915
3302	57								4951
3303	34			1963-10-21					4951
3304	9			1964-01-15					4951
3305	57				1964-06-17				10637
3306	34			1965-01-08					10637
3307	9			1965-04-19					10637
3308	57				1961-07-21				5598
3309	34			1963-02-20		1963-04-02	Hearing (Indebtedness)		5598
3310	9			1964-01-16					5598
3311	57				1965-10-01				5610
3312	93					1965-10-01	Service		5610
3313	34			1965-12-31	1965-12-31				5610
3314	57				1957-06-18				5594
3315	52			1957-06-18				Originally had typed July, but corrected to June based on filing date.	5594
3316	34			1957-07-19					5594
3317	93					1957-06-18	Service		5594
3318	57				1954-10-08				5590
3319	34			1954-11-17					5590
3320	9			1955-03-09					5590
3321	57				1959-10-28				10615
3322	34			1960-01-29					10615
3323	9			1966-06-07					10615
3324	57				1964-10-28				10640
3325	34			1965-02-25					10640
3326	57				1965-01-08				10644
3327	34			1965-02-23					10644
3328	75			1966-01-14					10644
3329	75			1966-01-14					10640
3330	57			1964-11-06					10641
3331	34			1964-12-07					10641
3332	9			1965-04-20					10641
3333	57				1963-01-09				10635
3334	34			1963-02-19					10635
3335	9			1964-01-16					10635
3336	57								10632
3337	34			1962-03-27					10632
3338	75			1962-09-07					10632
3339	57				1964-03-17				8284
3340	34			1964-05-29					8284
3341	57								8282
3342	34			1963-03-25					8282
3343	57			1962-12-27					8280
3344	34			1963-02-12					8280
3345	9			1963-05-24	1963-06-05				8280
3346	57				1964-11-27				8287
3347	34			1964-12-28					8287
3348	57				1963-01-17				8281
3349	34			1963-02-19					8281
3350	9			1963-05-24	1963-06-05				8281
3351	57				1962-02-21				8275
3352	34			1962-06-04					8275
3353	75			1962-09-07					8275
3354	57				1955-06-03				5593
3355	34			1955-07-07					5593
3356	9			1955-11-09					5593
3357	57				1960-05-03				5596
3358	34			1960-06-03					5596
3359	9			1960-10-04					5596
3360	57				1961-11-25				5597
3361	34			1961-12-29					5597
3362	93					1961-11-25	Service		5597
3363	9			1962-04-12					5597
3364	43	for 3 annexation cases		1962-03-08					11039
3365	34	for 3 annexation cases		1962-03-08					11039
3366	9	for 3 annexation cases		1962-09-07					11039
3367	43	for 3 annexation cases		1962-03-08					11040
3368	34	for 3 annexation cases		1962-03-08					11040
3369	9	for 3 annexation cases		1962-09-07					11040
3370	43	for 3 annexation cases		1962-03-08					11041
3371	34	for 3 annexation cases		1962-03-08					11041
3372	9	for 3 annexation cases		1962-09-07					11041
3373	57				1959-01-09				7507
3374	43			1959-06-17					7507
3375	55			1959-06-17					7507
3376	43			1959-12-31					7507
3377	22	affirming annexation		1959-12-31					7507
3378	32			1960-01-20					7507
3379	34	dismissing exceptions		1960-01-20					7507
3380	110								7507
3381	78	affirming lower court decision			1960-06-22				7507
3382	9			1961-03-22					7507
3383	57				1956-12-10				11016
3384	34			1957-01-10					11016
3385	9			1957-05-02	1952-05-09				11016
3386	57				1957-06-20				10592
3387	43			1963-02-07					10592
3388	22	affirming annexation		1963-02-07					10592
3389	78				1963-11-27				10592
3390	110								10592
3391	44	affirming decree of lower court		1963-11-12					432
3392	75			1964-05-14					10592
3393	57				1962-03-15				8278
3394	34			1962-04-23					8278
3395	57	784 & 788			1961-11-24				8274
3396	34			1962-01-08					8274
3397	57				1957-06-07				8265
3398	20			1957-06-24					8265
3399	44			1957-10-04					8265
3400	44				1957-12-13				8265
3401	55			1958-01-14					8265
3402	34			1958-04-22					8265
3403	75			1958-07-21					8265
3404	57				1955-03-14				10579
3405	34			1955-08-01					10579
3406	9	after previous rejection		1956-12-03					10579
3407	57				1958-01-28				10598
3408	82				1958-04-28				10598
3409	34			1958-04-29					10598
3410	75			1958-10-15					10598
3411	34			1957-02-12					10586
3412	34			1957-04-02					10587
3413	57				1958-08-18				10603
3414	34			1958-09-23					10603
3415	57				1959-11-25				10622
3416	34			1959-12-29					10622
3417	9			1960-03-21					10622
3418	57				1959-10-29				10617
3419	34			1959-12-07					10617
3420	9			1960-02-11					10617
3421	57				1956-02-17				10585
3422	34			1956-05-08					10585
3423	75			1959-07-08					10585
3424	57				1959-11-04				10618
3425	82				1960-01-13				10618
3426	75			1961-03-23					10618
3427	57				1959-08-27				10611
3428	34			1960-04-01					10611
3429	9			1961-03-29					10611
3430	57				1961-04-20				10629
3431	34			1961-05-24					10629
3432	9			1961-09-29					10629
3433	57				1960-05-07				10623
3434	34			1960-06-16					10623
3435	75			1961-03-22					10623
3436	57				1959-11-04				10619
3437	34			1960-02-04					10619
3438	75			1961-03-22					10619
3439	57				1959-11-04				10621
3440	34			1960-01-29					10621
3441	75			1961-03-22					10621
3442	57				1959-10-28				10616
3443	34			1960-01-29					10616
3444	75			1961-03-22					10616
3445	57								10625
3446	34			1960-12-02					10625
3447	75			1961-11-01					10625
3448	57				1959-10-28				10614
3449	22	affirming annexation		1960-01-29					10614
3450	62	why order approving annexation should not be opened			1960-02-26				10614
3451	91	why order approving annexation should not be opened							10614
3452	7	to rule			1960-03-28				10614
3453	34			1960-12-02					10614
3454	75			1961-11-01					10614
3455	57				1961-09-15				10630
3456	34			1961-10-17					10630
3457	75			1961-12-20					10630
3458	57								8245
3459	9			1954-01-12					8245
3460	57			1952-08-25				no filing date in docket	8241
3462	9			1954-04-19					8241
3463	57			1954-12-30				no filing date in docket	8252
3464	9			1956-01-11					8252
3465	57				1961-08-16				5072
3466	62	why original petitions may not withdraw names from annexation petition			1961-10-09				5072
3467	55								5072
3468	82				1964-02-14				5072
3469	32	to report of commissioners			1964-03-10				5072
3470	43			1964-07-27					5072
3471	49	rule of original petitioners why they should not be permitted to withdraw their names from petition withdrawn		1964-07-27					5072
3472	34			1964-07-27					5072
3473	9			1964-11-16					5072
3474	93					1962-08-24	Service on/before		2936
3475	57				1962-08-25				2936
3476	52			1962-08-25					2936
3477	9			1963-05-24					2936
3478	93					1965-04-19	Service on/before		2945
3479	57				1965-04-19				2945
3480	52			1965-04-19					2945
3481	93					1964-07-29	Service on/before		2943
3482	57				1964-07-29				2943
3483	52			1964-07-29					2943
3484	75			1964-10-20					2943
3485	93					1966-01-17	Service on/before		2946
3486	57				1966-01-17				2946
3487	52			1966-01-17					2946
3488	57								10169
3489	43			1964-10-22					10169
3490	34			1964-10-22					10169
3491	93					1962-01-17	Service		5380
3492	57								5380
3493	34			1963-11-22					5380
3494	9			1964-04-09					5380
3495	57				1947-08-19				3463
3496	95					1947-08-19	Service		3463
3497	9			1947-11-07	1947-11-10				3463
3498	57				1952-11-28				3470
3499	93					1952-11-28	Service		3470
3500	9			1953-05-07	1953-05-12				3470
3501	57				1953-02-19				3471
3502	93							No date in docket.	3471
3503	9			1954-05-10	1954-05-17				3471
3504	57				1952-04-28				3468
3505	93					1952-04-28	Service		3468
3506	9			1954-05-10	1954-05-17				3468
3507	57				1957-07-03				3475
3508	26			1957-07-03					3475
3509	34			1957-07-16					3475
3510	9			1958-03-12					3475
3511	57				1958-02-21				3478
3512	34							no date	3478
3513	9			1958-10-09					3478
3514	57				1957-10-05				3477
3515	64	for appointment of board of commissioners			1957-10-28				3477
3516	55								3477
3517	82				1958-09-19				3477
3518	34				1959-07-14			no date	3477
3519	9			1959-10-22					3477
3520	26	if exceptions not filed within 10 days, will become absolute		1960-12-14		1960-12-24	Effective after 10 days		3481
3521	9			1961-05-18					3481
3522	57				1950-09-11				10997
3523	43			1953-12-01					10997
3524	34			1953-12-01					10997
3525	9			1954-03-09					10997
3526	58			1916-03-~01					3224
3527	52			1916-03-13					3224
3528	27			1916-05-15		1916-06-20	First Election		3224
3529	58			1903-04-02					3215
3530	73	of the Bucks County Intelligencer		1903-09-19					3215
3531	27			1903-12-08		1904-01-05	First Election		3215
3532	57								6528
3533	57				1955-06-03				6530
3534	58								8367
3535	55								8367
3536	82			1841-09-~01					8367
3537	26			1841-09-~01					8367
3538	34			1841-12-~01					8367
3539	55			1843-05-~01					8368
3540	82								8368
3541	26			1843-09-12					8368
3542	34			1843-12-13					8368
3543	55			1843-09-~01					8369
3544	82								8369
3545	34			1843-12-13					8369
3546	58								8370
3547	55			1846-04-~01					8370
3548	82			1846-05-28					8370
3549	26			1846-07-06					8370
3550	34			1846-09-21					8370
3551	58				1846-04-09				8371
3552	55			1846-04-09					8371
3553	82				1846-07-06				8371
3554	26			1846-07-06					8371
3555	34			1846-09-22					8371
3556	58								8372
3557	55			1847-04-10					8372
3558	82				1847-07-14				8372
3559	26			1847-07-14					8372
3560	55	to straighten line		1848-07-15					8372
3561	82				1848-09-26				8372
3562	26			1848-09-26					8372
3563	34			1848-11-23					8372
3564	58								8373
3565	55			1851-05-~01					8373
3566	82								8373
3567	58								8374
3568	55			1852-05-~01					8374
3569	82								8374
3570	26			1853-05-~01					8374
3571	34			1853-09-30					8374
3572	58								8375
3573	55			1853-02-~01					8375
3574	82								8375
3575	34			1853-09-~01					8375
3576	27			1875-05-29					4983
3577	27			1950-07-20					1871
3578	75			1951-03-29					1871
3579	27			1947-04-01					1854
3580	75			1947-11-07					1854
3581	34			1947-01-10					1846
3582	75			1947-03-17					1846
3583	57				1947-12-16				3464
3584	9			1948-05-07					3464
3585	57				1957-02-26				3474
3586	32			1957-03-27					3474
3587	51			1957-05-29		1957-07-02	Hearing		3474
3588	49	briefs to be filed within 10 days		1957-07-02					3474
3589	55			1957-11-15					3474
3590	49	allowing an additional 90 days to commissioners		1958-01-23					3474
3591	34			1961-02-09					3474
3592	75			1961-09-29					3474
3593	57				1953-08-20				5234
3594	9			1953-11-09					5234
3595	57				1953-05-14				5233
3596	9			1953-09-10					5233
3597	57			1940-07-09	1940-07-10				1815
3598	95					1940-07-10	Service on/before		1815
3599	57				1948-01-31				2080
3600	52			1948-01-31					2080
3601	9			1950-06-26					2080
3602	57				1948-01-31				2081
3603	95					1948-01-31	Service on/before		2081
3604	52			1948-01-31					2081
3605	9			1950-06-26					2081
3606	95					1948-01-31	Service on/before		2081
3607	57				1963-08-09				10636
3608	34			1964-05-19					10636
3609	57				1952-10-03				4407
3610	9			1954-05-10	1954-05-15				4407
3611	57				1953-11-14				4410
3612	34			1954-01-18					4410
3613	9			1954-05-10					4410
3614	57				1954-07-28				4412
3615	34			1954-08-30					4412
3616	9			1954-11-08					4412
3617	57				1950-04-12				6837
3618	61			1951-01-01					6837
3619	34			1951-01-~01					6837
3620	9			1951-06-27					6837
3621	57				1954-11-10				6840
3622	34			1954-12-11					6840
3623	9			1955-01-13					6840
3624	57								6839
3625	58	for appointment of commissioners		1954-10-30					6839
3626	55			1954-12-24					6839
3627	82			1955-02-21					6839
3628	34			1955-03-02					6839
3629	75			1955-09-19					6839
3630	9			1956-10-08					6839
3631	25	2nd Ward, West Precinct		1963-12-18					6844
3632	9			1964-05-14					6844
3633	57				1940-11-22				8320
3634	95				1940-11-26	1940-11-26	Service on/before	per PADE papers	8320
3635	9			1941-04-04	1941-04-07				8320
3636	57				1954-08-07				10576
3637	75			1955-11-09					10576
3638	43			1955-06-17					10576
3639	34			1955-06-17					10576
3640	34			1959-06-15		1959-04-29	Effective (nunc pro tunc)		9771
3641	9			1959-09-18					9771
3642	57				1953-06-22				4495
3643	40								4495
3644	60	for distribution of territory to wards							4495
3645	25	part creates 5th Ward; remainder to 3rd Ward		1953-08-20					4495
3646	9			1953-11-09					4495
3647	57				1952-08-09				4494
3648	40								4494
3649	60			1952-11-01					4494
3650	25	3rd Ward		1952-11-01					4494
3651	49	electors in annexed territory to vote at election in 3rd Ward		1952-11-01					4494
3652	9			1953-11-09					4494
3653	82				1949-10-17				2909
3654	26			1949-10-17					2909
3655	34			1949-11-21					2909
3656	9			1951-03-29					2909
3657	83				1951-03-05				2910
3658	58	for appointment of viewers		1951-02-27	1951-03-05				2910
3659	55			1951-03-05	1951-03-05				2910
3660	82				1951-06-04				2910
3661	34			1951-07-09					2910
3662	9			1951-11-28					2910
3663	82								2912
3664	58	for appointment of viewers		1951-12-20					2912
3665	55			1951-12-26					2912
3666	26			1952-01-21					2912
3667	34			1952-02-25					2912
3668	75			1952-05-20					2912
3669	83				1953-05-25				2917
3670	58	for appointment of viewers		1953-05-12	1953-05-25				2917
3671	55			1953-05-25	1953-05-25				2917
3672	82				1953-07-14				2917
3673	26	unless exceptions filed within 30 days, confirmed absolutely		1953-07-14	1953-07-14				2917
3674	9			1953-09-10	1953-09-15				2917
3675	57				1956-10-17				2924
3676	75			1956-12-03					2924
3677	93					1952-03-03	Service on/before		2644
3678	57				1952-03-03				2644
3679	9			1952-12-19					2644
3680	57				1959-12-18				2663
3681	57				1957-08-23				5064
3682	34			1959-12-04					5064
3683	9			1960-06-09					5064
3684	34			1960-01-18					2663
3685	9			1960-10-05					2663
3686	93					1959-07-07	Service on/before		2660
3687	57				1959-07-07				2660
3688	9			1961-09-29					2660
3689	20				1959-08-06				2660
3690	97	discontinuing appeal of Longswamp Township			1959-10-21				2660
3691	57				1954-10-30				4815
3692	34			1955-05-17					4815
3693	75			1955-09-19					4815
3694	57				1954-08-10				4949
3695	61			1954-09-14					4949
3696	34			1954-09-14					4949
3697	75			1955-01-13					4949
